Words;Score
MARIE;2257630
JEAN;1910930
PIERRE;893455
MICHEL;820765
ANDRÉ;712945
JEANNE;565910
LOUIS;539285
PHILIPPE;539060
RENÉ;516640
ALAIN;507010
JACQUES;483420
MARCEL;470740
BERNARD;469375
CLAUDE;468390
DANIEL;437620
PAUL;429850
ROGER;423780
ROBERT;419390
DOMINIQUE;410005
HENRI;407190
GEORGES;406500
NICOLAS;406400
CHRISTIAN;405885
FRANÇOISE;401455
MONIQUE;400075
FRANÇOIS;398985
PATRICK;395245
CATHERINE;394915
NATHALIE;383050
JOSEPH;380165
GÉRARD;379610
ISABELLE;378340
CHRISTOPHE;376085
JACQUELINE;372515
SYLVIE;364750
ANNE;364235
JULIEN;345185
MAURICE;337740
LAURENT;328570
FRÉDÉRIC;328125
MARTINE;320220
ERIC;318415
DAVID;316050
STÉPHANE;309725
PASCAL;307950
MADELEINE;306465
ALEXANDRE;305640
SÉBASTIEN;304225
NICOLE;294070
SUZANNE;292385
CAMILLE;291160
THIERRY;289590
LOUISE;284900
ANTOINE;284595
THOMAS;282110
HÉLÈNE;281815
CHRISTINE;280675
OLIVIER;280375
RAYMOND;272995
MARGUERITE;271505
GUY;265885
DENISE;263395
CHRISTIANE;259525
YVONNE;256950
VALÉRIE;253255
SOPHIE;247210
CHARLES;244985
SANDRINE;240200
CÉLINE;239370
STÉPHANIE;238705
MARC;238475
DIDIER;237310
VÉRONIQUE;235865
VINCENT;232940
CHANTAL;232495
YVES;229625
MARCELLE;229310
MAXIME;225650
GUILLAUME;222995
RENÉE;221750
BRUNO;220860
SIMONE;220155
SERGE;219405
LUCIEN;218995
JEANNINE;218720
ANDRÉE;215540
JEAN-PIERRE;215440
JULIE;215385
PAULETTE;213275
LUCIE;211075
GERMAINE;211045
ANNIE;210200
LÉA;208865
ALICE;208705
PATRICIA;207555
GABRIEL;207445
ALBERT;204435
YVETTE;203410
BRIGITTE;202750
EMILIE;193750
ROMAIN;192970
ODETTE;192650
LUCAS;186180
GENEVIÈVE;186155
AURÉLIE;182480
JEROME;182145
LAURENCE;181710
MICHÈLE;180280
GILBERT;180190
CÉCILE;177885
FRANCK;177735
THÉRÈSE;175880
GILLES;175735
CLÉMENT;175660
COLETTE;175390
JEAN-CLAUDE;174270
SARAH;174035
EMMA;173875
ANTHONY;173790
JULIETTE;173765
MANON;173590
JULES;173060
VIRGINIE;171575
LUCIENNE;170645
EMILE;168140
FRANCIS;166195
RAYMONDE;164850
CORINNE;162795
ELISABETH;162430
CLAIRE;160310
CLAUDINE;159000
CHLOÉ;158920
PAULINE;158530
RAPHAËL;158460
DANIELLE;158080
ELODIE;156845
CAROLINE;156560
CHRISTELLE;155760
HUGO;154900
JOSETTE;154070
CHARLOTTE;154035
DENIS;153180
GEORGETTE;152890
MATHIEU;152775
KEVIN;152675
BENJAMIN;152470
ALEXIS;150790
LAURA;149255
FLORENCE;148105
JOËL;146675
MATHILDE;146475
MARIA;143500
AUDREY;141740
BERNADETTE;141490
HERVÉ;139545
ADRIEN;139085
PATRICE;138865
ARTHUR;138480
GISÈLE;137350
EMMANUEL;136885
SYLVAIN;135935
VICTOR;135540
ARNAUD;134730
FABRICE;134615
MÉLANIE;133460
LÉON;133430
CEDRIC;133425
ANAÏS;133355
ROLAND;132475
LAETITIA;132365
NADINE;131755
GINETTE;131550
ANNICK;131540
BÉATRICE;131310
MIREILLE;129900
QUENTIN;128815
EVELYNE;128045
FLORIAN;127850
DELPHINE;127675
LUDOVIC;127230
THÉO;127170
HENRIETTE;126895
DAMIEN;126400
ANNA;126225
BENOÎT;125710
MARION;125620
JOSIANE;123100
MARTHE;123020
LÉO;122715
MICHELLE;122270
NATHAN;122070
KARINE;121135
ENZO;120125
ELISE;119920
MARINE;119025
FERNAND;118695
JEAN-LUC;117840
JEREMY;117085
VALENTIN;116360
ROSE;115720
ELIANE;113730
AGNÈS;113350
XAVIER;112695
LILIANE;112375
MICHELINE;111860
FABIEN;110980
MICKAEL;108450
BAPTISTE;107690
JADE;107690
EUGÈNE;106640
LOÏC;106020
CAROLE;105820
JONATHAN;105580
FABIENNE;105310
SIMONNE;105240
SANDRA;103925
JOCELYNE;103515
GABRIELLE;103460
INÈS;102655
PASCALE;102560
ANNE-MARIE;100610
CLARA;100545
MOHAMED;100110
JEAN-FRANÇOIS;99840
MYRIAM;99545
AMÉLIE;98310
SAMUEL;96430
AMANDINE;96145
SABRINA;95955
JUSTINE;94805
GASTON;94450
SIMON;94160
EVA;93840
JOËLLE;93695
ODILE;93560
ALEXANDRA;93495
TOM;93495
FRANCINE;92775
LIONEL;92450
MARYSE;91890
YANNICK;91765
ALINE;91205
JEAN-MARC;91125
SOLANGE;91110
MARIUS;90825
RÉMI;90465
HUGUETTE;90155
JOSEPHINE;90060
MATHIS;89595
MARIE-THÉRÈSE;89325
AXEL;89075
CYRIL;88425
JEAN-PAUL;88100
JEAN-MICHEL;87010
JEAN-MARIE;86980
AUGUSTE;86950
CLÉMENCE;86915
YANN;86845
OCÉANE;85740
ETIENNE;85320
FERNANDE;85035
RICHARD;84215
IRÈNE;84055
SONIA;83885
LAURE;83755
ADAM;82565
MATTHIEU;82325
PIERRETTE;81925
MICHAEL;81205
VANESSA;80860
JEAN-LOUIS;80830
JULIA;80775
FANNY;80450
EMMANUELLE;80395
AURÉLIEN;79985
GREGORY;79975
SEVERINE;79960
WILLIAM;79510
EDOUARD;79475
DANIELE;78965
ARLETTE;78575
LOLA;77550
ANGELIQUE;76085
MARIE-CHRISTINE;75615
MORGANE;75525
ESTELLE;74620
NADIA;74505
RÉMY;74245
MAGALI;74165
LINA;72990
ETHAN;72565
ANTOINETTE;72560
NOAH;72545
ANGÈLE;72055
MARTIN;71935
