Words,Score
Robert,1000
Marie,986
James,904
John,893
Jean,839
Michael,788
David,750
William,741
Mary,716
Joseph,600
Thomas,511
Charles,509
Daniel,504
Richard,477
Paul,407
Christopher,366
Pierre,355
Patricia,354
Michel,327
Anthony,318
Elizabeth,284
Jennifer,280
Louis,279
Eric,277
Matthew,277
Patrick,273
Catherine,270
Linda,264
Kevin,263
Barbara,259
George,255
Sarah,254
Jeanne,250
Donald,245
Roger,243
Raymond,241
Christian,236
Steven,236
Mark,234
André,225
Edward,225
Andrew,223
Kenneth,221
Bernard,220
Jacqueline,220
Nicole,218
Margaret,218
Philippe,214
Christine,213
Joshua,213
Jessica,209
Brian,205
Alain,202
Claude,202
Anna,202
Anne,200
Laura,196
Lisa,195
Susan,195
Jacques,193
Sandra,193
Dorothy,191
Marcel,189
Michelle,189
Benjamin,188
Jason,188
Ronald,188
Jonathan,186
Timothy,186
Emma,179
Betty,179
Alice,177
Helen,177
Karen,177
Nancy,177
Dominique,175
Nicolas,175
Julie,173
Monique,171
Ryan,171
Jeffrey,170
Denise,168
Albert,166
Louise,166
Samuel,166
Isabelle,164
Frank,163
René,163
Georges,161
Henri,161
Jacob,161
Gary,159
Maurice,157
Nathalie,155
Nicholas,155
Gregory,154
Suzanne,152
Ashley,150
Christophe,150
Maria,150
Stephen,150
Vincent,150
Emily,148
Kimberly,146
Sylvie,145
Donna,145
Ruth,145
Arthur,143
Carol,143
Justin,143
Annie,143
Nathan,141
Larry,139
Amanda,139
Deborah,139
Julien,138
Brandon,136
Gabriel,136
Scott,134
Rebecca,134
Cynthia,132
Melissa,132
Laurent,130
Alexis,129
Yvonne,129
Stephanie,129
François,127
Françoise,127
Madeleine,127
Martine,127
Rose,127
Sharon,127
Danielle,127
Adam,125
Camille,125
Jack,125
Kathleen,125
Henry,123
Marguerite,123
Alexandre,121
Amy,121
Guy,121
Jeremy,121
Pascal,121
Shirley,121
Francis,120
Gérard,120
Charlotte,120
Marc,118
Rachel,118
Angela,118
Alexander,116
Antoine,116
Florence,116
Sophie,116
Thierry,114
Aaron,113
Lucas,113
Virginia,113
Olivier,111
Walter,111
Katherine,111
Jerry,109
Jordan,109
Julia,109
Dennis,107
Victor,107
Brenda,107
Kelly,105
Tyler,105
Pamela,105
Samantha,105
Audrey,104
Frédéric,104
Willie,104
Christiane,104
Peter,102
Frances,102
Pauline,102
Victoria,102
Jerome,100
Caroline,100
Ethan,98
Evelyn,98
Jose,98
Stéphane,98
Diane,98
Douglas,96
Harold,96
Sébastien,96
Carolyn,96
Janet,96
Martha,96
Claire,95
Didier,95
Marion,95
Debra,95
Sandrine,95
Chantal,93
Gilbert,93
Zachary,93
Olivia,93
Paulette,93
Dylan,91
Marcelle,91
Simone,91
Terry,91
Yves,91
Heather,91
Jeannine,91
Yvette,91
Bruno,89
Carl,89
Hélène,89
Joyce,89
Maxime,89
Noah,89
Clara,88
Guillaume,88
Joan,88
Lucien,88
Serge,88
Josephine,88
Germaine,86
Grace,86
Christina,86
Kyle,84
Lauren,84
Lucie,84
Sara,84
Brigitte,82
Doris,82
Ann,82
Judith,82
Emilie,80
Eva,80
Joe,80
Martin,80
Valérie,80
Andrea,79
Laurence,79
Lawrence,79
Robin,79
Kathryn,79
Mildred,79
Alexandra,77
Gerald,77
Lillian,77
Megan,77
Odette,77
Romain,77
Cheryl,77
Bryan,75
Céline,75
Harry,75
Jesse,75
Keith,75
Stéphanie,75
Taylor,75
Véronique,75
Hannah,75
Vanessa,75
Colette,73
Ernest,73
Sean,73
Corinne,73
Gloria,73
Austin,71
Elisabeth,71
Janice,71
Leslie,71
Ralph,71
Roy,71
Juliette,71
Teresa,71
Theresa,71
Cindy,70
Franck,70
Gilles,70
Renée,70
Roland,70
