Words;Score
de;1093726
het;697889
en;685989
een;665766
ik;537880
van;536788
in;423582
dat;385146
is;342160
je;299891
te;295021
op;281156
met;255972
niet;247672
die;227395
maar;224347
voor;212022
zijn;210644
ook;196884
er;195766
om;155978
wat;153164
als;146781
aan;143187
nog;139208
dan;129985
ze;126085
mijn;124916
zo;116204
we;114167
was;109457
wel;109271
heb;106568
bij;104149
of;101379
naar;98129
al;95333
hij;94299
dit;81375
weer;80120
uit;79643
over;76947
door;76153
kan;71456
nu;71266
deze;71016
hebben;67817
meer;66100
dus;65326
heeft;63520
geen;60639
ben;60441
veel;57989
s;53918
worden;53185
toch;52911
heel;52547
daar;50844
goed;50390
me;49561
had;49409
haar;48945
wordt;47729
tot;47330
moet;47264
mij;46837
gaan;45021
zou;43122
waar;42774
even;41277
kunnen;40933
hier;40081
jaar;39252
eens;39159
gaat;37242
doen;37133
ons;37071
maken;36620
hoe;36465
want;36325
zich;36246
echt;34899
hun;34847
mensen;34785
leuk;34378
mee;33693
na;33531
andere;33407
iets;33088
wil;32333
zal;32170
tijd;31134
hem;30354
alleen;30021
zien;29242
zelf;28236
omdat;27733
dag;27474
erg;27444
altijd;27354
werd;27028
mooi;26792
onze;26717
toen;26691
alles;26374
vind;26216
komen;25802
komt;25610
wij;25554
alle;25107
nieuwe;24776
foto;24622
weet;24451
af;24090
jullie;23590
tegen;23581
twee;23363
eerste;23207
moeten;23026
keer;22993
helemaal;22809
zoals;22555
staat;22529
natuurlijk;22477
zij;22066
gemaakt;21933
ja;21790
ga;21713
gewoon;21709
leven;21514
waren;21065
u;21063
onder;20880
mooie;20823
week;20561
net;20432
allemaal;20184
laten;20128
lekker;19940
grote;19676
hele;19360
blog;19179
steeds;19155
toe;19028
eigen;18791
verder;18600
beetje;18590
laat;18535
staan;18380
hoor;18329
hebt;18256
weg;18003
elkaar;17968
terug;17652
zit;17345
vandaag;17196
huis;17191
misschien;17138
anders;17099
nooit;16781
eigenlijk;16040
kon;15962
zeker;15934
jij;15764
zonder;15708
tussen;15387
wie;15291
zie;15270
laatste;15228
vooral;15202
niets;15139
werk;15100
één;15088
dingen;15054
kwam;14946
zelfs;14945
kinderen;14880
paar;14791
mag;14697
snel;14603
zeggen;14473
the;14367
vinden;14344
geweest;14331
zitten;14314
leuke;14243
man;14180
ging;14143
denk;14136
lang;14003
willen;13947
vaak;13642
kijken;13558
boek;13546
nou;13530
binnen;13307
eerst;13268
uur;13204
graag;13052
heerlijk;13026
beter;13013
iedereen;12916
krijgen;12908
soms;12817
weten;12778
moest;12517
hadden;12516
samen;12512
goede;12336
geven;12320
bent;12302
dagen;12299
achter;12257
doet;12204
m;12116
doe;12012
gedaan;11993
hoop;11980
gelukkig;11902
volgende;11828
lijkt;11820
iemand;11790
bijna;11760
kleine;11685
volgens;11650
kunt;11519
minder;11422
wereld;11391
ziet;11183
maakt;11156
vond;11120
jou;11119
jaren;11072
nodig;10922
a;10852
elke;10738
moment;10564
waarom;10550
genoeg;10366
men;10364
houden;10360
later;10342
drie;10341
blijven;10330
vraag;10312
via;10275
zullen;10252
denken;10244
aantal;10224
tijdens;10186
lezen;10150
plaats;10134
zeg;9993
werken;9911
groot;9907
wanneer;9884
ander;9873
zegt;9697
wilde;9695
zoveel;9654
verhaal;9626
thuis;9616
prachtig;9529
geworden;9512
nemen;9509
geleden;9500
per;9461
terwijl;9369
manier;9363
gezien;9281
best;9225
eten;9190
geval;9184
blij;9074
blijft;9028
zag;9018
prachtige;8987
kom;8953
buiten;8938
pas;8929
lieve;8896
daarna;8883
afgelopen;8876
vast;8862
god;8858
oude;8841
fijn;8819
moeder;8730
enkele;8727
idee;8683
bezig;8509
zeer;8459
zei;8407
kreeg;8375
rond;8321
mogelijk;8308
zouden;8284
gehad;8206
kun;8202
weken;8177
nee;8161
weinig;8144
vragen;8121
soort;8100
geeft;8081
geld;8066
vol;8058
weekend;7945
klein;7937
tweede;7871
ligt;7846
fijne;7818
zetten;7814
stond;7716
verschillende;7671
werden;7670
duidelijk;7665
zodat;7661
echter;7599
super;7586
helaas;7579
hand;7560
zat;7557
water;7539
zin;7482
jouw;7421
liggen;7414
enige;7373
gebruikt;7365
heen;7363
deel;7348
kijk;7343
genieten;7342
waarin;7280
daarom;7279
vanaf;7276
morgen;7258
ieder;7243
vrouw;7234
eerder;7224
stuk;7208
kant;7203
ooit;7169
begin;7156
lopen;7148
meteen;7135
gisteren;7074
krijgt;7051
druk;7040
boven;7010
open;6982
euro;6973
geweldig;6960
namelijk;6942
land;6908
naam;6887
auto;6885
bijvoorbeeld;6877
i;6816
ten;6808
uw;6783
vorige;6760
gezellig;6744
klaar;6736
naast;6672
mogen;6665
juist;6662
dacht;6643
hoofd;6625
hen;6561
gebruik;6561
school;6543
gevoel;6533
langs;6517
mens;6508
welke;6487
ogen;6401
kind;6396
vroeg;6393
uiteindelijk;6369
vindt;6363
krijg;6363
inderdaad;6360
beste;6357
niks;6354
moeilijk;6308
maak;6307
sinds;6279
gebruiken;6244
gelijk;6232
wachten;6213
woorden;6201
inmiddels;6198
nieuw;6183
groetjes;6163
o;6125
vanuit;6120
kaart;6058
vader;5917
tuin;5906
brengen;5846
beginnen;5840
anderen;5808
halen;5802
schrijven;5779
deed;5747
trouwens;5744
horen;5700
precies;5686
extra;5672
boeken;5655
vrij;5644
wist;5632
valt;5629
woord;5582
avond;5568
maanden;5517
elk;5511
vele;5499
echte;5495
liefde;5485
vrouwen;5440
mocht;5439
papier;5435
stad;5427
mezelf;5386
niemand;5344
dochter;5329
gezegd;5315
rest;5302
geloof;5267
gekregen;5263
bedankt;5257
lief;5234
dezelfde;5230
succes;5229
minuten;5227
ergens;5227
der;5226
geniet;5222
maakte;5148
leren;5134
word;5126
hart;5100
lees;5090
vakantie;5078
ouders;5073
spelen;5053
licht;5052
wens;5048
volgen;5048
half;5033
probleem;4968
ter;4963
jammer;4945
maand;4938
vervolgens;4933
kopen;4917
zondag;4916
proberen;4903
gekocht;4865
lange;4859
gegeven;4852
zet;4837
werkt;4836
kleuren;4804
zoeken;4789
kleur;4784
waarschijnlijk;4777
eindelijk;4770
meest;4745
stukje;4709
blijkt;4701
hard;4686
vier;4664
benieuwd;4659
zichzelf;4651
opnieuw;4643
reactie;4623
handen;4618
dood;4615
den;4591
zoon;4585
vorm;4582
begon;4577
meestal;4576
gekomen;4573
iedere;4568
onderzoek;4560
begint;4560
wilt;4552
groep;4552
bed;4551
zoek;4540
mannen;4535
ver;4530
aandacht;4521
gegaan;4510
hetzelfde;4509
gevonden;4481
alsof;4475
vertellen;4474
internet;4465
plezier;4461
kans;4453
begonnen;4437
bekend;4432
zaken;4417
witte;4416
muziek;4399
kwamen;4373
zon;4371
zorgen;4355
voorbij;4347
ongeveer;4340
reden;4334
konden;4330
waarbij;4328
kamer;4318
ervan;4318
ene;4318
film;4310
kort;4309
houdt;4305
erbij;4304
nieuws;4279
zaterdag;4277
jezelf;4275
enkel;4255
slechts;4250
meeste;4203
vroeger;4193
einde;4184
waardoor;4171
belangrijk;4166
gingen;4162
oud;4145
stellen;4138
gezet;4133
familie;4131
eind;4121
kaartje;4086
bleek;4085
sommige;4076
plaatsen;4069
bestaat;4043
gek;4026
direct;4023
beeld;4021
media;4018
vrienden;4015
ruimte;4013
hoewel;3997
vergeten;3983
geschreven;3983
neem;3970
beide;3963
informatie;3957
vorig;3947
tekst;3947
hou;3947
plek;3936
waarop;3925
helpen;3922
winkel;3918
recht;3916
betreft;3909
hoi;3902
oh;3895
alweer;3881
allerlei;3873
post;3845
bijzonder;3845
deur;3830
feit;3827
ondertussen;3820
langer;3812
moeite;3808
zowel;3804
vijf;3802
richting;3796
delen;3795
rustig;3787
bovendien;3783
waarvan;3780
dank;3756
geheel;3751
voel;3745
kennen;3742
daarmee;3729
grond;3727
overal;3726
betekent;3697
ondanks;3691
geef;3689
resultaat;3673
daarbij;3672
overigens;3642
vallen;3641
problemen;3619
prima;3619
terecht;3617
reacties;3597
antwoord;3594
vrijdag;3589
regelmatig;3587
kerk;3583
heerlijke;3582
site;3581
rust;3561
genomen;3551
ineens;3543
pijn;3542
voelt;3536
los;3518
straks;3513
loopt;3512
kiezen;3510
vriendin;3505
uiteraard;3501
immers;3499
stof;3478
bestaan;3456
tafel;3443
erop;3435
v;3434
hopelijk;3427
hoog;3427
nogal;3421
rol;3411
wit;3403
haha;3397
komende;3395
voordat;3393
prijs;3393
rode;3383
moesten;3370
p;3356
dikke;3354
gaf;3351
doel;3350
ontzettend;3345
totaal;3341
jonge;3339
programma;3338
bloemen;3338
website;3336
kennis;3324
makkelijk;3313
normaal;3312
grootste;3307
bank;3301
leggen;3289
mama;3288
toekomst;3283
plan;3281
enorm;3280
artikel;3278
slecht;3277
meisje;3274
liever;3268
collega;3264
nummer;3258
wonen;3253
gebeuren;3251
hoort;3230
nadat;3227
energie;3222
lichaam;3214
leek;3211
stil;3200
noemen;3200
voelen;3169
verhalen;3167
liet;3153
ie;3144
volledig;3136
bepaalde;3131
koffie;3129
zomer;3120
warm;3120
neemt;3116
tijdje;3113
hoeft;3108
korte;3107
viel;3099
tja;3090
partij;3090
daarvoor;3090
gelezen;3089
alvast;3084
tien;3070
zorg;3069
eenmaal;3068
keuze;3060
eerlijk;3058
loop;3055
buurt;3050
spreken;3043
lag;3032
gefeliciteerd;3032
denkt;3020
hangen;3015
persoon;3014
hé;3013
ervaring;3005
mei;3000
maandag;2995
gebeurt;2990
trekken;2989
slapen;2986
ding;2984
politieke;2982
mis;2979
ken;2979
gebied;2976
gezicht;2970
nacht;2964
bericht;2961
slag;2957
omgeving;2955
kop;2950
last;2946
stap;2937
aangezien;2933
politiek;2926
zomaar;2916
blijkbaar;2914
vaker;2912
vanwege;2906
daarnaast;2905
verjaardag;2903
rijden;2900
vriend;2896
hoge;2891
gedachten;2888
ruim;2887
gratis;2887
zoiets;2881
basis;2880
probeer;2878
ervoor;2876
praten;2873
kracht;2871
derde;2868
organisatie;2865
contact;2848
blijf;2845
sterk;2843
landen;2838
schreef;2835
project;2832
gezin;2829
lucht;2823
bang;2822
sociale;2819
dieren;2819
liep;2813
geluk;2809
dicht;2805
top;2804
wijze;2790
aarde;2789
kent;2785
stel;2783
midden;2783
heet;2776
ach;2769
situatie;2755
juiste;2754
vraagt;2753
smaak;2741
markt;2741
verwacht;2738
gesprek;2738
voorbeeld;2735
voorstellen;2734
maart;2734
jan;2719
straat;2718
januari;2707
spullen;2706
flink;2705
meter;2696
punt;2695
zwarte;2692
waarmee;2689
liefs;2687
hoeveel;2683
bleef;2679
kwijt;2678
kosten;2671
mening;2670
binnenkort;2664
links;2659
bezoek;2658
betalen;2657
sterkte;2653
periode;2653
trots;2652
koop;2652
oog;2649
liefst;2644
natuur;2643
geloven;2641
past;2638
klinkt;2631
pakken;2623
voelde;2612
rug;2603
oma;2602
tegenwoordig;2596
daardoor;2594
keuken;2592
eentje;2590
tv;2586
groter;2586
hè;2585
kast;2584
lukt;2583
sneeuw;2577
zaak;2575
kerst;2573
erin;2572
blogs;2560
wellicht;2553
april;2552
behalve;2549
las;2548
gebracht;2547
bedrijf;2545
kaarten;2544
diverse;2543
winter;2542
wakker;2541
lachen;2538
kregen;2536
hond;2533
daarvan;2524
gemeente;2517
kijkt;2515
avonds;2496
huidige;2495
teveel;2493
waard;2492
vanavond;2492
fiets;2488
én;2484
