Words;Score
the;1858421
and;1092431
to;1066354
i;905153
a;901071
of;875333
in;594363
it;484425
that;483818
is;432480
for;363311
you;327171
s;319700
with;286554
was;278282
on;274465
my;270744
this;258953
as;223723
have;218768
be;208480
we;207266
but;206072
are;193918
t;191046
not;174274
at;171843
so;165458
he;159430
they;152312
from;148264
all;144977
or;144069
me;139965
one;126482
by;122595
can;118951
what;115280
about;115251
will;112751
his;109980
an;109964
out;109021
if;108796
there;108015
had;106996
up;106520
her;106253
when;104182
just;100608
she;100291
your;99535
like;98711
has;93165
more;92734
do;91806
their;89777
some;88845
time;88625
who;87573
our;85077
would;82238
them;80465
been;77925
were;77604
which;71969
m;71858
get;70904
no;68245
how;66472
into;62832
then;61708
people;61003
know;60347
now;60178
because;57957
don;56683
other;56286
also;55335
new;54471
only;52460
even;52040
day;50981
over;50928
first;50874
make;50651
back;50567
than;50325
us;50252
see;50101
really;49925
him;49760
here;49108
much;48916
good;48790
am;48679
very;48231
these;47982
well;47891
think;47668
way;47092
after;46513
little;45684
could;45263
love;45051
go;42822
two;40713
life;40579
many;39961
most;39777
any;39751
going;39565
did;39102
where;39027
being;38742
things;38627
still;37918
those;37676
want;37575
too;37432
work;37194
before;36922
said;36671
made;36613
last;35920
through;35239
while;34992
down;34553
something;34443
right;34143
off;33643
its;33639
year;33368
take;33249
years;33086
around;32607
re;32526
may;32307
few;31761
got;31594
never;31167
say;31152
great;30958
ll;30279
world;30064
need;29699
d;29556
should;28261
every;27973
another;27962
own;27901
book;27862
home;27394
week;27126
always;26646
again;26395
look;26095
find;26027
why;26019
come;25650
each;25638
today;25223
god;25203
next;24922
long;24911
such;24636
use;24467
let;24402
feel;24384
since;24261
thing;23947
same;23777
used;23164
place;22960
best;22481
sure;22449
until;21880
lot;21575
though;21433
thought;21227
put;21185
read;21011
part;21005
both;20967
old;20924
away;20704
better;20675
does;20419
family;20320
days;20087
went;19736
end;19696
bit;19655
might;19384
found;19307
ever;19291
man;19243
night;19222
give;19156
story;18992
big;18904
without;18798
enough;18759
different;18745
house;18694
help;18436
actually;18109
myself;18009
once;18007
having;17919
keep;17886
school;17796
post;17752
came;17596
three;17517
doing;17425
between;16966
getting;16771
times;16734
done;16711
show;16595
friends;16534
children;16489
yet;16363
left;16340
set;16225
course;16143
pretty;15954
together;15925
point;15867
started;15820
must;15795
took;15728
wanted;15675
making;15574
however;15347
tell;15338
hope;15282
someone;15148
everything;15135
anything;15106
try;15098
start;15048
looking;14965
fun;14832
fact;14591
able;14546
everyone;14540
small;14526
quite;14501
during;14476
hard;14403
told;14336
kids;14328
far;14199
room;14131
makes;14131
nothing;14097
maybe;14014
top;13878
person;13862
called;13764
food;13744
least;13735
real;13679
water;13648
white;13646
already;13623
kind;13505
head;13486
happy;13364
trying;13225
believe;13150
mind;13109
whole;13095
books;13030
often;12964
live;12879
name;12872
using;12870
high;12813
side;12806
under;12762
past;12676
writing;12617
friend;12598
bad;12590
probably;12585
along;12573
later;12547
working;12489
others;12453
add;12453
remember;12320
ago;12303
full;12292
free;12290
idea;12267
minutes;12256
yes;12206
against;12193
almost;12188
black;12100
heart;12094
money;11998
morning;11938
second;11863
less;11860
decided;11762
change;11739
words;11601
couple;11493
comes;11471
city;11430
become;11393
women;11355
rather;11320
hand;11298
seen;11200
else;11092
seems;11064
reading;11047
felt;11026
won;10992
asked;10966
nice;10878
case;10842
weeks;10817
play;10808
call;10799
music;10797
run;10735
sometimes;10733
state;10728
finally;10657
light;10621
means;10522
oh;10499
face;10486
beer;10475
mother;10452
job;10449
card;10419
instead;10390
write;10334
young;10318
says;10313
months;10284
please;10221
important;10181
hours;10159
knew;10118
share;10107
given;10102
beautiful;10031
leave;10027
mean;9983
saw;9940
group;9873
coming;9872
anyone;9872
word;9851
several;9835
month;9824
taking;9819
thinking;9803
experience;9798
paper;9751
stop;9741
child;9735
girl;9732
open;9700
easy;9694
body;9681
film;9612
soon;9534
men;9519
order;9510
cut;9500
either;9487
country;9458
number;9428
true;9427
care;9421
favorite;9345
power;9307
although;9249
half;9248
living;9219
reason;9187
business;9162
baby;9129
stuff;9107
party;9095
game;9079
woman;9076
public;9056
perfect;9011
early;8986
especially;8973
list;8965
line;8962
moment;8960
government;8922
eyes;8884
large;8831
ask;8817
talk;8808
above;8776
turn;8764
movie;8752
feeling;8751
within;8654
weekend;8635
rest;8607
local;8589
challenge;8565
four;8551
needed;8518
red;8482
behind;8482
short;8423
looked;8403
enjoy;8398
car;8381
matter;8367
taken;8363
across;8323
lives;8290
team;8266
art;8237
simply;8195
sense;8195
mom;8191
front;8179
lost;8166
bring;8144
wrong;8078
hear;8046
wonderful;8038
picture;8014
goes;8001
problem;8000
perhaps;7962
check;7959
gave;7907
outside;7888
close;7880
wait;7863
project;7855
parents;7840
whether;7839
thank;7830
heard;7817
news;7805
question;7798
series;7791
understand;7790
including;7783
human;7776
special;7762
saying;7745
information;7744
turned;7732
needs;7714
father;7702
ready;7700
class;7691
move;7666
summer;7642
death;7621
loved;7582
seem;7564
watch;7559
amazing;7556
buy;7533
ones;7513
running;7493
eat;7492
tried;7478
area;7463
simple;7462
inside;7458
company;7457
haven;7442
church;7429
interesting;7408
future;7403
plan;7400
possible;7393
usually;7382
support;7373
history;7358
process;7324
known;7312
looks;7276
sweet;7238
system;7205
green;7193
store;7178
husband;7174
gets;7148
yourself;7144
stay;7140
walk;7122
piece;7097
social;7055
thanks;7041
five;7011
learn;6997
upon;6993
following;6961
character;6927
longer;6906
spent;6894
son;6893
talking;6878
himself;6878
themselves;6827
space;6779
completely;6766
pictures;6754
john;6750
anyway;6733
stories;6731
create;6723
ways;6701
happened;6692
late;6690
takes;6673
added;6670
guy;6651
door;6640
cannot;6633
works;6626
cool;6618
law;6612
form;6604
girls;6598
lots;6586
guess;6586
town;6582
age;6578
dark;6577
war;6557
season;6555
clear;6547
gone;6543
example;6523
community;6514
visit;6483
hot;6481
boy;6472
recently;6450
hands;6441
lord;6412
etc;6382
playing;6371
bed;6356
street;6348
huge;6340
song;6334
hair;6331
single;6318
forward;6314
written;6303
yesterday;6287
whatever;6282
happen;6270
available;6269
personal;6257
deal;6249
media;6241
fall;6211
below;6178
itself;6156
national;6135
students;6126
design;6115
color;6109
pay;6079
level;6069
chance;6035
hit;6028
control;6001
cover;5992
blue;5986
due;5985
hour;5975
certain;5964
based;5964
characters;5952
health;5950
south;5947
hold;5932
sort;5913
page;5907
police;5904
road;5898
worth;5887
began;5880
wish;5861
entire;5861
office;5838
trip;5833
worked;5824
sound;5824
watching;5818
definitely;5794
strong;5778
dinner;5776
questions;5758
giving;5749
alone;5712
brought;5705
style;5704
lovely;5691
phone;5689
exactly;5681
note;5674
continue;5660
middle;5649
wants;5611
recipe;5606
earth;5605
seeing;5579
table;5575
states;5574
image;5574
further;5566
market;5564
cold;5546
service;5545
ideas;5532
spend;5531
event;5531
truth;5529
com;5520
became;5515
seemed;5510
answer;5510
break;5508
according;5504
knows;5491
follow;5491
waiting;5483
meet;5478
fine;5477
act;5460
oil;5456
quickly;5447
daughter;5433
main;5413
photo;5404
air;5400
created;5396
difficult;5387
excited;5375
spring;5353
certainly;5352
photos;5351
issue;5350
birthday;5349
cup;5338
members;5332
view;5311
pick;5308
attention;5289
building;5283
bought;5282
step;5260
general;5257
truly;5253
kept;5248
video;5239
met;5235
