Words;Score
de;1483286
la;825130
et;739116
le;690768
à;597935
l;577109
les;570883
un;457396
en;446406
d;439874
des;424887
est;422816
que;400348
une;344236
pour;302852
qui;297644
je;291339
du;282090
il;281659
pas;279304
dans;267070
a;253815
ce;209920
qu;188624
ne;187740
au;182820
sur;174615
plus;172847
j;168299
c;167076
n;163343
on;162604
mais;154100
par;153515
se;143646
avec;135482
s;124042
nous;119457
vous;118893
ai;115284
tout;107313
ou;104334
son;102059
comme;97284
bien;94499
elle;94257
sont;92385
me;91496
y;89539
cette;88142
si;84190
fait;83380
même;76674
faire;73417
sa;66725
mon;66037
aux;65962
ont;64285
ça;63564
être;61844
ils;60394
m;60271
ses;60088
ces;57511
leur;56364
aussi;55748
était;53875
sans;53681
très;52340
peu;51727
lui;49922
été;49843
suis;46436
ma;44992
deux;43916
temps;43747
donc;42732
tous;42724
où;42549
encore;42504
alors;42441
quand;42335
moi;40242
autres;38238
peut;37249
autre;36284
mes;35664
avoir;35093
non;34808
entre;34590
avait;33969
après;33506
là;33503
monde;33482
vie;32884
tu;32788
fois;31934
cela;31653
notre;31617
toujours;31406
quelques;30995
rien;29363
moins;29362
depuis;27949
dire;27916
car;27666
bon;27334
dont;26654
leurs;26623
trop;26531
dit;26085
ans;25924
avant;25842
faut;25653
petit;25619
va;25269
toute;24271
voir;24201
parce;24138
puis;23559
soit;23501
nos;23459
déjà;22987
beaucoup;22775
contre;22697
jamais;22320
sous;21877
ainsi;21592
jour;21477
toutes;21135
votre;20679
chez;20582
pays;20557
grand;19757
histoire;19260
jusqu;19239
ici;18645
cet;18599
vraiment;18410
chose;18183
ceux;17782
homme;17745
oui;17666
chaque;17443
moment;17426
eu;17137
fin;17057
avais;16995
elles;16778
mal;16601
sera;16417
premier;16288
vers;16041
pendant;16040
jours;15974
place;15971
mois;15825
surtout;15806
cas;15601
petite;15452
livre;15376
quoi;15364
année;15364
juste;15336
années;15296
comment;15226
reste;15198
pourquoi;15189
ni;15184
part;14847
mettre;14821
ailleurs;14807
travail;14684
gens;14657
enfants;14610
première;14420
pouvoir;14342
bonne;14294
partie;14161
grande;14118
enfin;14019
avons;13966
point;13831
souvent;13822
trois;13793
celui;13731
tant;13709
assez;13531
politique;13530
question;13497
plusieurs;13460
aime;13460
sais;13425
prendre;13401
certains;13333
mieux;13318
personne;13291
doit;13190
sens;13087
coup;12989
t;12950
dernier;12869
aller;12773
vu;12707
devant;12636
nouveau;12516
choses;12324
nouvelle;12219
selon;12135
eau;12105
plutôt;12078
peut-être;12027
étaient;11870
te;11840
également;11818
côté;11789
eux;11771
autant;11732
quelque;11728
maintenant;11677
celle;11634
trouve;11524
droit;11475
français;11428
seul;11421
vais;11397
vos;11353
serait;11341
personnes;11276
femme;11141
compte;11095
tête;11092
savoir;10931
film;10905
effet;10882
état;10773
voilà;10748
suite;10739
parfois;10657
exemple;10645
lieu;10618
loin;10577
maison;10569
aurait;10546
pourtant;10524
amour;10485
semaine;10444
petits;10420
minutes;10364
font;10356
seulement;10344
envie;10329
nom;10307
sommes;10276
idée;10184
pu;10165
lors;10143
yeux;10128
blog;10046
passer;9997
soir;9933
façon;9918
article;9789
passé;9779
passe;9769
veut;9768
mort;9645
VRAI;9618
seule;9596
famille;9556
face;9529
heures;9521
jeune;9506
terre;9496
ton;9464
besoin;9448
cours;9413
pris;9397
étais;9396
parler;9344
pense;9331
femmes;9304
demande;9284
ville;9280
société;9275
avez;9249
laisser;9128
guerre;9127
semble;9067
prix;9052
hommes;9037
début;8977
lorsque;8885
trouver;8882
belle;8856
fille;8847
matin;8842
corps;8837
ensuite;8819
ensemble;8756
gouvernement;8752
donne;8733
afin;8707
main;8687
raison;8646
donner;8642
mis;8641
simple;8612
vient;8597
lire;8523
presque;8509
genre;8490
fut;8470
site;8454
est-ce;8394
beau;8379
vite;8359
aucun;8341
dès;8329
près;8300
heure;8297
possible;8210
dernière;8208
nombre;8205
nuit;8195
doute;8141
voici;8116
pourrait;8077
plein;8073
quel;8061
paris;8052
sûr;8048
sait;8019
père;8017
forme;7975
fond;7956
manière;7943
toi;7929
mots;7925
cause;7911
gros;7909
groupe;7908
système;7804
air;7800
peuvent;7768
mère;7740
fort;7715
malgré;7692
parle;7686
etc;7678
journée;7675
avaient;7608
tour;7601
parti;7599
peux;7596
partir;7589
dieu;7578
sujet;7572
étant;7561
enfant;7549
jeunes;7542
choix;7530
porte;7522
agit;7521
peur;7512
aura;7492
tard;7458
vivre;7454
aucune;7418
président;7392
esprit;7384
long;7377
plaisir;7366
arrive;7366
projet;7314
fais;7303
problème;7282
public;7271
auteur;7234
force;7227
loi;7190
bref;7170
abord;7156
niveau;7150
longtemps;7141
simplement;7087
vue;7076
autour;7031
bout;7027
veux;7015
roman;7003
tellement;6984
ajouter;6966
amis;6957
merci;6933
vont;6926
époque;6855
finalement;6849
mise;6847
rapport;6845
or;6837
situation;6813
photos;6795
retour;6769
chacun;6739
grâce;6665
jeu;6646
peine;6640
nouvelles;6590
ayant;6548
as;6505
tel;6489
recherche;6481
permet;6462
gauche;6426
notamment;6425
grands;6397
an;6351
propre;6339
puisque;6336
comprendre;6282
peuple;6260
crois;6250
trouvé;6238
laisse;6215
haut;6215
photo;6190
réalité;6182
hier;6181
mot;6160
prend;6143
environ;6115
dis;6102
titre;6094
feu;6037
voit;6009
donné;6008
argent;6001
petites;5998
certaines;5984
musique;5962
travers;5934
livres;5924
rendre;5904
internet;5900
crise;5893
difficile;5882
parents;5868
laquelle;5857
aide;5849
politiques;5843
lorsqu;5827
nombreux;5803
noël;5796
quelle;5760
base;5743
liberté;5741
seront;5737
occasion;5726
voix;5721
soleil;5693
penser;5686
service;5682
rue;5676
commence;5675
nature;5670
lecture;5670
écrit;5667
blanc;5652
fils;5632
euros;5625
image;5621
école;5616
p;5574
millions;5557
ta;5529
droite;5516
questions;5515
mains;5509
ligne;5497
noir;5492
existe;5492
compris;5461
manque;5446
quatre;5443
centre;5339
ben;5329
droits;5321
marché;5308
sorte;5303
général;5272
sortir;5267
importe;5261
page;5252
idées;5245
bas;5245
croire;5236
parmi;5235
mesure;5221
attention;5221
personnages;5217
ministre;5203
texte;5185
êtes;5179
cœur;5179
deuxième;5177
venir;5175
sucre;5172
série;5165
quelqu;5158
semaines;5149
train;5143
ordre;5092
mouvement;5073
scène;5065
celles;5065
derrière;5064
santé;5047
cependant;5032
sauf;5022
produits;5013
plan;4991
milieu;4945
affaire;4934
action;4931
but;4904
es;4896
rouge;4892
lequel;4892
terme;4872
tes;4866
bonheur;4861
dessus;4857
presse;4853
économique;4809
rôle;4792
moyen;4778
pâte;4773
culture;4772
art;4763
vieux;4760
facile;4752
pages;4739
intérêt;4732
pouvez;4728
française;4721
important;4713
chef;4707
découvrir;4690
soient;4685
propos;4684
risque;4682
décidé;4682
telle;4670
nationale;4655
ait;4631
écrire;4600
chance;4597
met;4595
impression;4595
faisait;4585
présent;4578
devrait;4577
durant;4576
siècle;4566
regard;4565
allez;4565
crème;4549
devient;4547
aurais;4545
grandes;4532
goût;4527
ceci;4516
chemin;4515
vois;4513
route;4503
membres;4503
partout;4494
population;4486
certain;4482
conseil;4480
filles;4477
retrouve;4457
information;4452
décembre;4448
retrouver;4443
âge;4439
mode;4431
ah;4416
produit;4413
papier;4411
mêmes;4411
passage;4404
faites;4400
expérience;4394
type;4393
dois;4386
appelle;4362
développement;4352
qualité;4341
janvier;4340
ami;4332
devenir;4330
demain;4325
derniers;4315
équipe;4308
huile;4307
accord;4305
moyens;4303
période;4301
doivent;4301
véritable;4293
nouveaux;4293
différents;4293
lumière;4291
avis;4281
peau;4279
monsieur;4275
origine;4273
médias;4267
sinon;4266
billet;4261
intérieur;4258
voyage;4235
départ;4234
super;4233
couleur;4216
changer;4211
pierre;4205
jouer;4201
quant;4200
pire;4191
espace;4184
bientôt;4177
instant;4176
sécurité;4175
meilleur;4153
libre;4147
vérité;4144
espère;4142
plupart;4139
réponse;4112
prise;4111
bras;4106
sociale;4105
rapidement;4105
premiers;4093
rencontre;4089
particulièrement;4076
conscience;4076
demander;4074
faisant;4069
résultat;4068
services;4064
pouvait;4062
présente;4061
dimanche;4034
perdu;4026
problèmes;4010
cadre;4005
création;4002
programme;3998
désormais;3997
classe;3997
bois;3995
beurre;3993
propose;3992
région;3986
suivre;3982
sortie;3982
univers;3981
maman;3980
recette;3974
entendu;3972
police;3967
album;3963
attendre;3961
septembre;3956
chocolat;3948
valeur;3947
sud;3941
particulier;3934
vacances;3933
rester;3932
lit;3929
commencé;3926
créer;3923
four;3915
lu;3913
i;3912
couleurs;3897
chercher;3888
dû;3885
montre;3884
contraire;3880
sort;3866
modèle;3860
présence;3838
frais;3836
lait;3835
mélanger;3829
pratique;3827
lui-même;3824
sein;3814
évidemment;3807
images;3804
table;3784
cuire;3778
nombreuses;3774
personnage;3763
fini;3763
utiliser;3760
ciel;3753
salle;3751
conditions;3747
mélange;3746
anglais;3741
style;3739
nord;3739
carte;3735
soi;3733
justice;3732
offre;3727
ancien;3725
campagne;3724
voiture;3720
avenir;3718
énergie;3713
connu;3712
complètement;3711
matière;3707
chambre;3707
liste;3702
travailler;3699
direction;3697
pied;3690
version;3688
cinq;3686
endroit;3677
économie;3675
totalement;3675
explique;3663
jean;3662
manger;3654
objet;3649
arrivée;3649
mai;3643
in;3643
source;3640
revenir;3626
mars;3622
rêve;3621
certes;3619
différentes;3616
regarder;3614
points;3611
voire;3608
novembre;3608
appel;3604
production;3597
aimé;3597
fil;3596
lien;3594
entreprise;3594
date;3590
journal;3579
octobre;3575
puisse;3563
dernières;3561
pieds;3543
affaires;3542
prochain;3538
marche;3535
nécessaire;3532
bonnes;3521
e;3502
éviter;3501
pleine;3495
permis;3494
seconde;3488
soirée;3483
entendre;3482
langue;3477
acheter;3457
longue;3455
volonté;3446
succès;3444
aider;3444
arriver;3437
paix;3434
servir;3432
sang;3428
régime;3428
montrer;3426
discours;3422
porter;3419
informations;3419
cuisine;3416
humain;3415
visage;3409
sourire;3399
national;3399
âme;3398
mer;3385
samedi;3382
fonction;3379
thé;3378
cher;3374
fallait;3373
social;3366
forces;3365
garde;3362
froid;3358
emploi;3356
regarde;3354
entreprises;3351
publique;3350
impossible;3344
