Words;Score
und;676174
die;637417
der;490539
ich;465379
das;324106
in;315031
nicht;263126
ist;256874
zu;254586
es;240449
den;220007
mit;202522
ein;194943
auch;189386
sie;173559
auf;165809
von;164280
sich;158633
so;146658
eine;138218
aber;136564
für;128980
im;123789
dem;122130
noch;120191
dass;120018
man;117736
wie;109641
als;105753
an;103688
hat;96951
dann;95521
mir;94478
er;93824
war;92899
wir;92039
was;89995
nur;88178
mich;86620
wenn;83455
oder;81772
aus;80937
sind;80272
da;79325
bei;73967
einen;73510
des;73167
mal;72303
kann;71550
schon;71038
wird;70733
nach;70727
habe;70133
ja;67958
um;67500
haben;65682
wieder;61926
werden;60105
mehr;57656
einem;55306
immer;55160
am;54931
zum;54735
doch;53725
einer;52999
vor;51441
sein;49202
über;48155
hier;47199
sehr;44147
ihr;43341
diese;42085
jetzt;41127
bin;40237
ganz;39272
meine;39200
du;38185
hatte;37345
uns;37292
also;35746
alles;35201
gut;35165
durch;34921
denn;34367
gibt;34182
etwas;33586
muss;32027
weil;31833
keine;31731
nun;31128
heute;30845
bis;30765
alle;30424
viel;30239
zur;29912
einfach;29743
mein;28922
wurde;28684
zeit;28605
dieser;27731
können;26977
geht;25137
ihre;24976
wirklich;23423
damit;23226
hab;23097
machen;22437
anderen;22326
selbst;22301
nichts;21846
vom;21786
ohne;21442
seine;21417
will;21403
waren;21193
würde;20890
unter;20724
ob;20711
vielleicht;20200
leben;19845
eigentlich;19715
s;19650
gar;19595
natürlich;19310
dieses;19222
ihn;19156
kein;19029
wo;18723
zwei;18717
beim;18595
sondern;18473
euch;18385
wohl;18198
andere;18193
wäre;18037
kommt;17943
viele;17892
diesem;17843
dabei;17781
erst;17742
dort;17567
dazu;17557
meiner;17544
sollte;17540
einmal;17488
macht;17401
lassen;17183
hätte;17170
paar;17134
gerade;17089
gegen;17023
wer;16931
eines;16729
soll;16717
ihm;16527
ab;15837
meinen;15584
weiß;15245
seit;15023
weg;14536
meinem;14369
sehen;14356
sagen;14224
weiter;14215
ins;14145
wenig;14009
dafür;13719
werde;13563
konnte;13438
diesen;13327
nie;13320
ihren;13190
könnte;13044
gemacht;12685
gehen;12599
leider;12555
ersten;12553
müssen;12539
ihnen;12469
wollte;12463
kommen;12463
ihrer;12360
fast;12285
genau;12267
liebe;12158
sei;12143
seiner;12128
letzten;12080
gleich;12017
zwar;11990
schön;11981
allerdings;11962
warum;11918
ende;11875
neue;11831
sogar;11743
richtig;11699
dir;11634
recht;11571
lange;11527
tun;11473
jeder;11303
dies;11252
eben;11161
seinen;11097
schnell;11087
besser;11017
möchte;10971
dich;10955
davon;10917
zwischen;10848
morgen;10641
ganze;10574
steht;10528
einige;10495
denen;10436
während;10419
allem;10352
drei;10327
wollen;10253
wurden;10232
eher;10165
frage;10119
kam;10090
kleine;9983
a;9776
wissen;9760
gab;9691
gestern;9676
gerne;9656
sicher;9616
hatten;9614
kleinen;9506
geben;9485
bereits;9444
irgendwie;9369
endlich;9282
keinen;9273
unsere;9206
neuen;9166
kurz;9049
sieht;8992
jeden;8988
ging;8831
darauf;8726
oft;8620
klar;8613
zurück;8575
später;8496
finden;8471
sonst;8422
ihrem;8408
allen;8396
bekommen;8394
beiden;8336
seinem;8262
teil;8234
finde;8217
jedoch;8199
hin;8192
vielen;8144
gute;8117
nein;8114
tage;7967
mag;7895
anders;7895
musste;7879
erste;7872
zusammen;7851
überhaupt;7779
nächsten;7771
besonders;7745
wegen;7624
liegt;7609
lesen;7586
kaum;7574
daran;7565
stehen;7540
darf;7540
nämlich;7489
weniger;7487
sagt;7412
welche;7368
b;7367
gesagt;7354
trotzdem;7283
eigenen;7199
großen;7186
bitte;7172
lässt;7160
darüber;7138
ganzen;7027
große;6961
ziemlich;6949
sagte;6916
jemand;6886
stunden;6867
deshalb;6847
manchmal;6815
essen;6769
nehmen;6764
etwa;6746
all;6746
bleibt;6737
gesehen;6669
obwohl;6640
zumindest;6632
deutschen;6628
gewesen;6626
nachdem;6496
fragen;6379
weit;6361
genug;6229
dinge;6218
danach;6215
bisschen;6213
damals;6178
hause;6175
tatsächlich;6155
neben;6050
schreiben;6018
echt;5992
hast;5948
schließlich;5937
gehört;5877
übrigens;5854
irgendwann;5838
findet;5838
scheint;5826
daher;5820
lieber;5793
glaube;5790
hinter;5776
halt;5731
bleiben;5692
unser;5688
z;5681
oben;5656
solche;5655
deren;5604
worden;5587
stand;5566
denke;5536
stellen;5498
völlig;5488
bald;5484
halten;5457
fand;5398
allein;5390
alten;5379
egal;5370
geworden;5369
na;5340
direkt;5329
heißt;5328
stelle;5305
los;5295
i;5269
guten;5267
lang;5250
leicht;5246
sollen;5244
jede;5241
letzte;5180
de;5168
her;5159
außerdem;5146
sofort;5132
schwer;5120
besten;5110
statt;5065
tagen;5052
jedenfalls;5026
d;5020
würden;4997
sowie;4997
ach;4985
sollten;4983
möglich;4936
denken;4900
unserer;4879
anderes;4862
angst;4855
weitere;4852
langsam;4834
selber;4790
aller;4786
meisten;4767
tut;4763
fertig;4749
platz;4747
nochmal;4741
je;4740
bringen;4728
bevor;4717
dachte;4700
gefunden;4679
bist;4654
dessen;4635
deutsche;4606
vorbei;4581
arbeiten;4572
braucht;4544
blick;4544
voll;4531
dank;4518
schöne;4516
deine;4481
fest;4480
hoffe;4471
o;4447
gern;4431
keiner;4429
bisher;4422
jedem;4406
beide;4406
sah;4387
ebenfalls;4376
vier;4373
schlecht;4352
weise;4340
wahrscheinlich;4325
fahren;4309
alte;4291
vergessen;4248
danke;4237
glauben;4216
nächste;4213
niemand;4201
früher;4198
plötzlich;4184
eigene;4178
vorher;4126
kaufen;4115
passiert;4101
jedes;4101
neues;4095
schönen;4087
stunde;4082
zeigen;4076
inzwischen;4068
toll;4067
gegenüber;4062
hätten;4056
laut;4044
bekommt;4040
deutlich;4030
bestimmt;4029
gelesen;4018
dennoch;3987
trotz;3978
fällt;3968
liegen;3945
hoch;3940
raus;3932
wichtig;3921
lieben;3895
durchaus;3867
spielen;3864
versucht;3836
geschrieben;3835
zeigt;3809
verstehen;3805
immerhin;3799
total;3797
meines;3780
schule;3763
einigen;3763
eh;3762
unbedingt;3749
sehe;3742
gekommen;3711
kennen;3677
neu;3675
meist;3666
sonne;3661
freund;3656
gefallen;3645
wünsche;3588
drauf;3587
super;3575
m;3574
mittlerweile;3565
ebenso;3558
darum;3558
freunde;3520
rein;3508
kennt;3473
einzige;3471
junge;3467
hören;3463
bringt;3443
stellt;3440
somit;3424
genauso;3406
hält;3405
dadurch;3405
wobei;3395
dein;3388
dürfen;3381
nimmt;3367
warten;3360
groß;3359
alleine;3359
unseren;3337
frei;3299
ansonsten;3271
läuft;3268
gegeben;3263
unten;3250
gilt;3247
darin;3240
bekannt;3229
genommen;3218
wenigstens;3212
treffen;3206
zweiten;3193
deswegen;3178
länger;3177
vermutlich;3176
erzählt;3171
welches;3167
eure;3162
licht;3157
wären;3153
unserem;3152
menge;3152
folgen;3140
g;3138
mache;3136
wann;3125
habt;3122
gleichzeitig;3120
lernen;3081
gedacht;3079
stark;3070
passt;3052
laufen;3044
konnten;3044
manche;3043
solchen;3038
dagegen;3036
abends;3015
könnten;3006
reden;3000
diesmal;2996
jungen;2995
tat;2993
bedeutet;2991
machte;2989
suchen;2988
ziel;2986
ziehen;2985
überall;2975
wert;2969
weder;2951
kleiner;2941
n;2929
fünf;2926
rolle;2891
beste;2888
alter;2888
dran;2884
sitzen;2880
irgendwo;2870
heraus;2869
gebracht;2861
rund;2846
suche;2843
oh;2827
schauen;2822
führen;2822
erhalten;2821
kleines;2818
helfen;2817
links;2814
interessant;2793
herum;2790
falls;2790
sowieso;2787
ruhe;2785
alt;2758
per;2757
klasse;2748
u;2733
versuchen;2731
krieg;2721
erkennen;2716
wollten;2710
gekauft;2710
zuerst;2704
außer;2704
gefällt;2702
handelt;2696
kenne;2695
ehrlich;2689
ständig;2688
gehe;2682
führt;2682
mindestens;2680
sprechen;2676
weiteren;2659
meinte;2659
absolut;2657
zudem;2653
kannst;2644
anderer;2644
müsste;2641
freue;2634
falsch;2632
unternehmen;2629
gleichen;2629
selten;2627
weiterhin;2624
band;2623
richtige;2622
gegangen;2621
lag;2618
eins;2611
