Words;Score
yang;1168252
dan;838489
di;541021
dengan;412791
ini;372811
itu;362132
tidak;318369
untuk;311755
dari;301519
aku;276955
dalam;251047
akan;192945
ada;190691
pada;187156
saya;177365
kita;174702
mereka;161113
adalah;157227
bisa;156703
ke;152625
juga;151378
dia;144940
karena;141392
atau;139486
orang;137385
ia;118888
sudah;117789
lebih;110783
tak;108884
tapi;104903
menjadi;103997
oleh;103130
seperti;98512
lagi;95400
hanya;93446
apa;92018
anda;91948
sebagai;90821
saja;86422
saat;85165
dapat;83964
bahwa;82564
tersebut;81457
kau;79775
banyak;78545
satu;78016
telah;77035
harus;76440
sangat;73305
tahun;73037
kami;72355
lain;72335
masih;72067
kepada;67088
hari;66140
jika;65863
jadi;65417
semua;65199
kalau;63312
hal;63123
maka;62919
ya;59268
seorang;58127
lalu;57518
sama;56742
sebuah;56545
allah;56311
pun;55521
bukan;55244
baik;54907
para;54711
baru;53928
setelah;53871
ketika;53315
indonesia;52591
secara;51989
beberapa;51711
namun;50840
sendiri;50539
bagi;49843
anak;48852
sampai;48750
mau;48515
waktu;48348
pernah;47464
membuat;47359
kata;47304
mungkin;46649
atas;45961
salah;44175
besar;43550
kemudian;43527
tentang;43231
ingin;42688
memang;42443
memiliki;42317
melihat;42037
kamu;41945
sekarang;41130
rumah;39354
belum;39193
begitu;38724
dunia;38579
kembali;38511
diri;38227
tetapi;38039
manusia;37946
sekali;37805
tahu;37696
tempat;37332
merupakan;37235
dua;37125
selalu;36870
sehingga;36320
setiap;36310
tanpa;35929
kali;35920
bahkan;35297
sedang;35131
melakukan;35079
terjadi;34309
mulai;34076
hidup;33922
langsung;33502
air;32769
terhadap;31453
islam;31432
hingga;31282
selama;30952
suatu;30906
si;30790
jangan;30782
paling;30664
terus;30536
pertama;30447
masuk;30406
akhirnya;30252
hati;30251
agar;30189
antara;29989
sambil;29831
bagaimana;29675
masyarakat;29346
jalan;29335
tetap;28939
serta;28675
negara;28554
cara;28068
kedua;27769
yaitu;27764
cukup;27442
buat;27367
gue;27034
kan;26869
lama;26371
kecil;26037
kenapa;26026
masa;25748
punya;25708
dilakukan;25461
pasti;25408
merasa;25296
mata;25191
apakah;24973
perlu;24895
ternyata;24867
datang;24824
menggunakan;24713
bulan;24537
memberikan;24447
aja;23421
semakin;23389
lainnya;23332
rasa;23190
bersama;23111
nama;23096
makan;22941
sedikit;22878
tinggi;22873
menurut;22826
malam;22806
sebelum;22524
kalian;22509
masalah;22479
orang-orang;22381
kota;22107
bagian;21975
berada;21849
mana;21833
berkata;21788
cinta;21759
berbagai;21709
luar;21707
siapa;21625
wanita;21554
tadi;21503
jam;21480
tangan;21400
depan;21354
bila;21331
sesuatu;21323
selain;21191
sering;21100
ku;20959
mengatakan;20907
pergi;20567
keluar;20366
buku;20234
suka;20188
tuhan;20019
melalui;20010
biasa;19983
beliau;19978
sebenarnya;19963
pula;19951
benar;19850
ibu;19745
suara;19614
sekolah;19593
sekitar;19585
mampu;19578
jelas;19490
sejak;19379
jauh;19320
segera;19184
boleh;18993
tentu;18976
seseorang;18597
bahasa;18597
tanya;18568
daerah;18453
terlalu;18406
sakit;18378
hukum;18132
hasil;18118
sang;18088
seluruh;17968
tubuh;17955
pemerintah;17880
penting;17606
demikian;17551
sementara;17548
ilmu;17422
kehidupan;17360
kerja;17207
mendapatkan;17178
jakarta;17141
termasuk;17140
cepat;17050
sistem;17007
proses;16772
agama;16740
uang;16669
tau;16627
keluarga;16627
tiga;16574
ah;16517
mencari;16217
terlihat;16196
segala;16188
kurang;16184
pendidikan;16169
belajar;16165
berjalan;16107
kepala;16014
sih;15893
mudah;15874
maupun;15822
kini;15782
tengah;15739
nya;15648
tua;15517
dirinya;15274
nabi;15260
pulang;15153
sesuai;15137
mempunyai;15091
biasanya;15091
benar-benar;14940
