Words;Score
i;712181
w;699612
się;540465
na;506678
nie;493872
z;443128
to;366595
do;312994
że;271466
jest;232866
a;215529
jak;162777
o;158959
ale;148683
co;127799
po;126153
tak;115218
za;104041
od;95693
tym;92490
już;83522
mnie;83362
mi;78850
dla;78654
bo;75282
czy;74184
tylko;73088
tego;71675
przez;68373
są;67971
bardzo;67843
może;60969
ja;60649
ma;60630
ze;59982
też;55072
jeszcze;53612
sobie;53244
mam;48311
które;46763
jednak;45785
było;44232
ten;44078
ich;41108
będzie;40567
być;40351
jego;40338
jej;39615
nawet;39522
więc;39231
można;38321
który;37777
by;37443
go;34162
tej;33714
te;32938
wszystko;32088
oraz;32042
pod;31570
coś;31446
jeśli;31230
gdy;31181
przy;30831
był;30257
kiedy;30146
bez;29728
lub;29599
roku;29596
no;29552
u;29384
jako;28689
teraz;28420
tu;27185
jestem;27012
nas;26727
takie;26409
przed;26011
tam;25783
tych;25294
która;24213
nic;24108
je;23667
żeby;23622
chyba;23547
zawsze;23529
czas;23488
wiem;23086
aby;22803
właśnie;22694
bardziej;22431
również;22291
lat;22085
była;22078
także;21965
kilka;21332
niż;20550
więcej;20272
dobrze;20144
ta;20105
gdzie;19869
czasu;19746
wiele;19687
trzeba;19581
siebie;19319
nich;19305
albo;19251
raz;19243
ci;19201
ją;19103
trochę;18807
nam;18771
moje;17815
choć;17703
on;17684
nad;17576
wszystkie;17235
oczywiście;17204
sposób;17166
dlatego;16774
mu;16707
dziś;16665
czyli;16588
nim;16459
taki;16441
aż;16338
ludzi;16332
którzy;16325
domu;16301
których;16151
naprawdę;16117
razem;15830
niestety;15616
były;15573
mają;15316
innych;15260
potem;15254
wtedy;15244
mamy;15070
swoje;14825
tyle;14816
życia;14797
temu;14757
pracy;14505
dzięki;14503
nigdy;14199
ani;14185
mój;14079
którym;13848
sam;13829
kto;13776
każdy;13567
prostu;13550
wszystkich;13456
życie;13356
im;13272
dużo;13258
wszystkim;13249
dzieci;13215
której;13162
ktoś;13137
pozdrawiam;13114
dzień;13113
mogę;13107
niej;12909
rzeczy;12889
będę;12829
moim;12758
dwa;12716
d;12709
jeden;12644
we;12497
sama;12478
wielu;12440
niego;12362
często;12321
moja;12086
czym;12083
będą;12079
