Words;Score
de;537178
a;435941
que;435249
e;435106
o;390939
do;173850
não;172573
é;170731
para;155526
em;155168
um;151028
da;145572
com;139522
se;121029
uma;116646
os;108444
no;100220
por;92866
na;87311
as;84328
mais;83693
eu;82849
como;71309
mas;63778
você;59070
ou;52521
ao;51146
ele;49498
ser;49119
dos;48231
me;47819
sua;46626
seu;45182
quando;37474
foi;37437
são;36667
nos;35976
vida;34910
muito;32937
das;32747
tem;32585
isso;31476
ela;30254
deus;29922
meu;29401
já;28006
tudo;27531
mesmo;27456
sem;27242
está;26763
dia;25917
só;25887
à;25793
minha;25140
também;25126
todos;24962
até;23685
sempre;23176
pra;23156
pode;23085
bem;22502
pelo;22476
pessoas;22042
amor;21986
seus;21560
era;20909
ter;20858
ainda;20776
quem;20503
pela;20248
tempo;20191
porque;19920
sobre;19572
fazer;19307
assim;19127
mundo;18554
vai;18528
te;18428
pois;17481
cada;16169
nem;15876
anos;15640
onde;15148
entre;14992
nós;14685
nada;14658
há;14616
então;14521
esse;14496
hoje;14491
depois;14457
suas;14230
eles;14057
essa;13892
estava;13838
aos;13754
nas;13629
mim;13295
todo;13286
agora;13236
apenas;13049
grande;13039
vez;12948
tão;12945
seja;12881
melhor;12461
nunca;12418
esta;12348
outros;12300
vezes;12103
nossa;12072
coisas;11909
pessoa;11592
será;11570
bom;11479
casa;11340
nosso;11102
este;11048
faz;10979
outro;10970
aqui;10851
coração;10791
disse;10641
forma;10640
estão;10592
homem;10287
sou;10252
ver;10176
coisa;10156
todas;10074
jesus;10004
sei;9859
tinha;9773
vou;9759
parte;9731
estou;9686
senhor;9549
tenho;9507
ano;9499
toda;9379
dias;9196
qualquer;9152
dois;9127
meus;9126
antes;9015
às;9008
gente;8769
dizer;8743
pouco;8697
verdade;8654
quero;8652
alguém;8581
trabalho;8573
foram;8528
momento;8427
muitas;8390
maior;8250
alguns;8209
lado;8207
quer;8130
menos;8126
meio;8096
deve;8076
lá;8035
novo;8033
sabe;8005
qual;7940
outra;7930
mulher;7898
segundo;7873
estar;7844
brasil;7842
diz;7786
sendo;7755
algo;7732
sim;7722
além;7708
dentro;7651
dar;7564
pai;7551
outras;7427
lugar;7373
primeiro;7366
poder;7363
amigos;7311
nome;7267
corpo;7252
tanto;7247
quanto;7247
falar;7161
ficar;7151
muitos;7143
podem;7066
olhos;7050
saber;6903
lhe;6884
mãe;6842
terra;6772
vocês;6745
dele;6568
contra;6534
durante;6528
feliz;6467
q;6443
ninguém;6326
fim;6325
num;6306
algumas;6277
noite;6238
hora;6230
viver;6229
filho;6112
cidade;6103
nova;6073
mesma;6073
enquanto;6043
pelos;6041
história;6028
fez;6027
temos;5915
vem;5908
paulo;5879
aquele;5858
desde;5833
medo;5830
elas;5827
nossos;5805
caso;5799
após;5740
duas;5664
primeira;5607
seria;5533
cristo;5525
palavras;5513
água;5471
três;5433
vamos;5425
boa;5394
quase;5392
fica;5375
luz;5329
tipo;5261
caminho;5260
mal;5247
importante;5174
existe;5167
palavra;5163
fora;5120
família;5090
conta;5090
amigo;5083
dá;5082
realmente;5037
havia;5032
preciso;5002
volta;4974
numa;4973
morte;4971
homens;4968
através;4904
r;4896
ir;4886
neste;4879
alguma;4854
filhos;4841
vontade;4835
porém;4833
final;4832
dela;4818
logo;4793
frente;4786
isto;4774
nossas;4770
estado;4767
têm;4758
posso;4755
igreja;4752
certo;4748
deixar;4743
exemplo;4739
