Words;Score
de;847079
a;785751
que;717616
e;670537
o;598953
não;273317
do;267225
para;249822
da;241088
um;240446
é;234986
com;215068
em;205044
os;196872
uma;194524
se;168476
por;146451
no;146227
as;141314
mais;134350
na;127928
mas;115433
como;108250
ao;102040
dos;94132
à;81535
ou;80296
eu;68677
já;67785
ser;65546
das;64056
me;62133
muito;59540
foi;59214
nos;52561
quando;48075
são;45627
bem;44699
sua;42873
porque;42849
só;42193
tem;40955
ainda;40902
sem;40557
mesmo;40369
dia;40277
até;40105
também;39503
há;39441
ter;39439
está;38437
este;38371
tudo;37302
seu;37190
minha;37106
todos;36845
sempre;36430
meu;36265
pelo;35635
fazer;34055
era;33786
quem;33581
ele;33312
esta;32878
depois;32367
vida;32155
pela;32000
isso;31363
assim;30409
anos;30377
tempo;29776
nem;29386
onde;27609
aos;27337
vez;27310
sobre;26297
lá;25974
hoje;25735
agora;25557
vai;24796
nada;24468
nas;24092
ela;23782
aqui;23580
casa;23389
entre;22950
ver;22807
num;22685
tenho;22433
tinha;22046
pode;21579
pessoas;21083
tão;20899
às;20594
nunca;19899
isto;19703
estava;19602
melhor;19576
pois;19208
cada;19103
numa;19061
grande;18944
apenas;18890
dias;18756
ano;18498
outros;18292
pouco;17913
mim;17629
menos;17628
mundo;17425
seus;17346
forma;17346
coisa;17325
dizer;16987
vezes;16921
qualquer;16802
dois;16604
parte;16491
seja;16213
sei;16213
nós;16016
coisas;15898
lhe;15877
outro;15790
vou;15329
será;14780
estou;14778
bom;14543
estar;14454
então;14441
dar;14151
nossa;13834
estão;13744
lado;13705
todas;13611
faz;13608
amor;13600
têm;13513
tal;13325
sim;13260
trabalho;13124
toda;13048
todo;12846
sou;12678
te;12650
outra;12579
suas;12527
país;12466
nosso;12444
foram;12432
alguns;12424
uns;12397
ir;12390
quase;12341
antes;12034
desde;11989
estado;11973
durante;11966
novo;11854
duas;11839
noite;11736
neste;11735
meus;11735
fim;11686
primeiro;11598
eles;11197
qual;11066
desta;10992
quer;10927
diz;10819
tanto;10732
outras;10685
disse;10684
pelos;10651
deste;10600
história;10527
mãe;10456
verdade;10359
muitos;10329
caso;10203
mal;10198
muitas;10188
homem;10105
enquanto;10104
primeira;10086
sido;10044
momento;9997
falar;9974
saber;9941
temos;9925
essa;9842
pessoa;9834
alguém;9759
gosto;9634
esse;9596
semana;9584
algumas;9563
maior;9533
ninguém;9529
três;9380
meio;9332
vão;9301
gente;9194
poder;9172
parece;9111
quero;9100
logo;9046
algo;9037
além;8982
livro;8897
podem;8780
ficar;8758
nome;8742
boa;8736
governo;8720
apesar;8707
nova;8686
mesma;8678
amigos;8648
facto;8636
deve;8570
alguma;8550
quanto;8526
olhos;8523
lugar;8505
segundo;8421
umas;8417
pai;8379
fui;8372
água;8352
dentro;8285
claro;8261
fora;8250
contra;8229
passado;8223
tu;8222
vamos;8216
