Words;Score
de;840407
la;551964
que;520465
y;447667
el;410742
en;374465
a;331506
los;223849
se;187650
no;186905
un;170575
por;153259
con;148771
del;145168
las;142990
es;130463
una;129848
para;121746
lo;111276
su;97076
al;84174
como;82766
me;79496
o;65087
más;56887
pero;56679
si;52141
mi;49516
sus;41457
le;40438
cuando;33974
todo;32836
ya;32681
te;32524
sin;32153
esta;31817
este;31598
ser;31187
nos;29994
porque;25993
son;25943
yo;24492
fue;23917
todos;23131
vida;22143
sobre;22076
hay;21578
era;21482
vez;20991
muy;20795
tu;20777
entre;20642
también;20295
hasta;19899
puede;18971
desde;18843
donde;18235
años;18179
ni;18113
cada;18004
está;17967
así;17579
tiene;17556
tiempo;17425
bien;17361
eso;17230
ese;17126
dos;16944
qué;16808
ha;16769
uno;16503
siempre;16275
ver;15549
mas;15347
día;15251
hace;14885
había;14823
solo;14416
algo;14388
nada;14338
otro;14201
esa;14081
hacer;13748
hoy;13597
esto;13572
mismo;13463
tan;12999
ella;12986
mis;12916
mundo;12856
ahora;12434
otra;12327
parte;12298
amor;12135
les;12074
tanto;11957
e;11692
estaba;11457
otros;11433
sólo;11085
lugar;11058
él;10997
cosas;10970
mejor;10828
mucho;10758
casa;10615
trabajo;10455
después;10449
menos;10369
poco;10293
quien;10224
momento;9980
forma;9921
sea;9789
nunca;9747
personas;9677
ellos;9571
tener;9452
año;9399
aunque;9328
gran;9285
antes;9271
mientras;9203
luego;9068
veces;9031
va;9006
decir;8999
poder;8906
han;8817
nuestro;8811
todas;8800
sino;8793
cuenta;8775
estos;8764
gente;8731
nuestra;8587
dijo;8577
entonces;8562
cual;8480
tal;8469
están;8437
dios;8410
días;8292
toda;8086
debe;8026
hombre;7972
caso;7949
hacia;7885
estado;7730
estar;7716
estas;7706
durante;7685
tienen;7681
quiero;7542
tengo;7497
argentina;7457
cómo;7332
casi;7324
sí;7304
pueden;7257
manera;7250
bueno;7213
país;7126
noche;7124
hecho;7084
algunos;7066
otras;7027
tres;7020
ante;7008
muchos;7004
además;6992
nosotros;6909
unos;6886
dice;6884
contra;6830
lado;6762
estoy;6714
fin;6709
primera;6704
persona;6693
nuevo;6646
ley;6646
misma;6631
medio;6512
historia;6491
mujer;6488
será;6480
tipo;6468
nadie;6468
soy;6397
sido;6366
nacional;6312
vos;6291
primer;6196
ciudad;6195
ojos;6182
voy;6105
muchas;6072
tus;6071
gobierno;6057
realidad;6040
cualquier;6031
mayor;5996
fueron;5891
tenía;5808
verdad;5801
partido;5784
cuerpo;5734
social;5723
alguna;5644
puedo;5628
según;5597
alguien;5548
buenos;5506
mal;5492
dentro;5448
creo;5444
ir;5384
aún;5279
esos;5260
hizo;5252
pasado;5232
haber;5232
frente;5230
importante;5206
saber;5197
palabras;5161
derecho;5141
parece;5122
mano;5120
da;5112
general;5056
ahí;5028
horas;5022
aquí;5005
nombre;4995
pues;4991
agua;4953
hora;4948
sistema;4945
nuestros;4939
final;4918
mañana;4902
nueva;4895
familia;4892
paso;4870
mí;4870
san;4868
bajo;4842
camino;4840
sociedad;4831
algún;4778
padre;4760
ejemplo;4747
corazón;4722
estamos;4719
falta;4715
través;4711
he;4707
fuera;4698
tema;4677
tarde;4654
madre;4654
dar;4626
tenemos;4619
grupo;4587
cosa;4538
quienes;4533
gracias;4521
luz;4514
punto;4513
allí;4509
llegar;4466
hijos;4418
mujeres;4415
claro;4387
van;4376
embargo;4369
vamos;4366
igual;4364
hijo;4355
aires;4346
manos;4342
eran;4325
buena;4318
amigos;4285
cambio;4281
relación;4266
niños;4260
sentido;4247
algunas;4243
tierra;4225
equipo;4214
pasa;4183
pueblo;4181
sé;4161
situación;4136
usted;4110
grandes;4109
información;4078
ello;4070
esas;4058
posible;4041
quiere;4035
muerte;4027
vs;4000
etc;3999
pensar;3965
hombres;3941
empresa;3927
cabeza;3883
podemos;3880
vivir;3878
sabe;3873
alma;3857
juan;3833
semana;3812
problemas;3809
junto;3737
somos;3723
seguir;3718
hacen;3690
desarrollo;3690
hablar;3673
buen;3653
acuerdo;3648
iba;3626
sol;3599
boca;3593
idea;3587
primero;3569
modo;3557
voz;3539
pasar;3535
segundo;3532
dejar;3520
salud;3519
último;3506
cuanto;3491
proceso;3490
demás;3483
meses;3482
artículo;3461
problema;3454
minutos;3452
podría;3443
puerta;3435
millones;3408
juego;3386
personal;3369
nivel;3351
nuestras;3349
siendo;3348
presente;3343
partir;3315
niño;3314
haciendo;3309
allá;3307
cuatro;3302
padres;3301
único;3298
cara;3290
dinero;3289
derechos;3282
aquel;3269
palabra;3268
libro;3266
trata;3250
dio;3238
sería;3230
presidente;3227
tuvo;3216
cierto;3214
amigo;3214
podía;3201
largo;3196
política;3183
tras;3180
fecha;3177
casos;3176
señor;3174
real;3171
aquellos;3153
medios;3151
tomar;3143
educación;3140
dicho;3132
dolor;3118
salir;3105
varios;3102
diferentes;3097
todavía;3096
calle;3095
obra;3089
centro;3068
quién;3052
seguridad;3042
propia;3040
razón;3037
proyecto;3031
miedo;3031
mil;3027
deben;3027
encuentro;3026
mayoría;3010
escuela;2996
siento;2992
fuerza;2990
mar;2987
existe;2985
volver;2980
atención;2962
unas;2952
espacio;2940
queda;2934
público;2933
sueño;2920
respecto;2915
haya;2910
futuro;2910
causa;2892
viene;2891
grande;2884
art;2870
sigue;2869
propio;2867
tampoco;2866
habían;2844
cielo;2844
ellas;2839
valor;2832
chicos;2829
siguiente;2817
pesar;2815
justicia;2812
dicen;2812
mente;2807
quizás;2803
vivo;2802
mismos;2801
estaban;2790
cerca;2764
ve;2763
libertad;2762
incluso;2758
recuerdo;2757
mirada;2753
digo;2751
paz;2746
uso;2732
vista;2723
necesario;2716
datos;2713
pueda;2705
zona;2703
cinco;2694
feliz;2687
campo;2678
aire;2676
realmente;2671
gusta;2660
sentir;2647
edad;2647
favor;2644
servicio;2642
ti;2637
música;2632
fuerte;2629
hemos;2620
encontrar;2617
ningún;2613
acción;2612
silencio;2596
países;2590
argentino;2585
servicios;2576
especial;2575
momentos;2568
mes;2566
total;2562
respuesta;2560
estados;2550
d;2545
experiencia;2533
ustedes;2522
humanos;2521
programa;2519
comunicación;2519
sociales;2517
plata;2512
cantidad;2512
lejos;2511
encuentra;2509
libre;2505
actividad;2505
sola;2502
mundial;2498
aun;2496
imagen;2495
principio;2480
ayer;2480
cargo;2477
necesidad;2476
conocer;2474
dije;2470
fe;2460
base;2442
puntos;2439
número;2438
condiciones;2435
mucha;2428
medida;2428
resultado;2415
trabajar;2411
suerte;2409
control;2401
ambos;2397
blog;2387
empresas;2375
nuevas;2370
sangre;2369
difícil;2368
interior;2366
seguro;2357
cuales;2356
capacidad;2356
aquella;2355
demasiado;2352
llegó;2351
segunda;2343
deja;2343
ganas;2340
varias;2337
provincia;2335
mediante;2333
ayuda;2331
orden;2325
dado;2325
calidad;2324
acá;2321
posibilidad;2317
internacional;2312
puesto;2309
lleva;2308
producto;2307
ex;2305
nuevos;2304
maría;2299
buscar;2294
ninguna;2289
quería;2286
poner;2273
color;2269
última;2266
llega;2266
sean;2265
veo;2263
presencia;2254
sueños;2251
tiempos;2250
humano;2244
destino;2240
papel;2239
atrás;2238
julio;2231
oportunidad;2228
guerra;2221
pudo;2220
vuelta;2217
alto;2214
resto;2212
capital;2208
hubiera;2200
hacerlo;2198
club;2195
bastante;2183
permite;2181
estudio;2181
realizar;2179
conocimiento;2179
llevar;2178
ideas;2177
fondo;2177
pasó;2176
éste;2175
fui;2174
clase;2171
naturaleza;2167
directo;2166
piel;2165
arte;2165
cultura;2164
jamás;2163
común;2163
actividades;2160
joven;2155
anterior;2155
objetivo;2154
comunidad;2149
cambiar;2148
simplemente;2147
deseo;2146
escribir;2139
acciones;2139
cuestión;2138
u;2128
viejo;2125
pregunta;2120
partes;2115
hacía;2111
entender;2107
pronto;2097
mercado;2095
jóvenes;2095
diario;2088
decía;2084
fácil;2083
domingo;2083
vas;2077
media;2076
importa;2059
trabajadores;2058
acerca;2051
actual;2048
