Words;Score
de;1794843
que;1120839
la;1115604
y;905804
el;822622
en;794062
a;675057
los;471632
no;375829
se;365311
un;363342
por;313744
las;299757
con;297782
es;295329
del;290331
una;280667
para;246594
lo;232400
su;197850
como;175679
al;170886
me;153874
más;141046
pero;125727
o;125592
si;104820
sus;87656
mi;87516
ha;77115
le;74604
ya;74048
este;73575
todo;70754
esta;65265
cuando;64888
sin;64354
te;63871
nos;63659
ser;61692
son;59610
yo;54886
muy;52786
porque;52012
sobre;51125
tu;48752
hay;47905
todos;46861
también;45096
está;44475
entre;44002
fue;42242
vida;41916
así;40570
hasta;40262
era;40198
años;39758
desde;39720
vez;38608
ni;38282
eso;37912
puede;37449
qué;37126
tiene;37069
han;36654
donde;35970
dos;35855
bien;35480
tiempo;33737
cada;33266
hace;32219
mundo;32087
uno;32017
día;31876
algo;31502
ahora;31218
siempre;30934
hacer;30675
ese;30116
esto;29873
nada;29448
tan;29192
mismo;28448
parte;28184
ver;27361
solo;27339
he;27066
otro;26962
mucho;26947
había;26934
sólo;26390
les;25970
poco;25766
esa;25649
aunque;25463
e;25431
él;25213
ella;24953
dios;24617
menos;24472
otra;24371
mejor;24139
tanto;24117
otros;23856
mas;23727
gran;23014
hoy;23009
ellos;22775
cosas;22602
mis;22461
después;22329
personas;22296
forma;21813
pues;21121
estaba;21093
decir;20735
estos;20714
año;20617
antes;20585
sido;20355
sea;20248
unos;20161
momento;19911
hecho;19894
están;19857
todas;19390
contra;19357
casa;19341
sí;19336
durante;19105
sino;18995
poder;18799
nuestro;18622
lugar;18407
mientras;18335
tener;18331
nunca;18233
estado;18217
nuevo;17747
gente;17740
muchos;17727
va;17713
quien;17618
estas;17492
trabajo;17465
nuestra;17272
dijo;17254
aquí;17198
además;17178
cuenta;17115
toda;17026
tienen;16815
país;16670
cómo;16457
veces;16422
caso;16239
amor;15964
algunos;15676
cual;15651
entonces;15643
días;15592
luego;15537
manera;15276
otras;15225
hacia;15214
historia;15187
tal;15155
dice;15003
tres;14927
hombre;14920
verdad;14919
bueno;14856
tengo;14575
estar;14571
fin;14307
pueden;14293
creo;14288
nosotros;14257
según;14231
casi;14191
primera;14176
cualquier;14012
gobierno;13949
muchas;13845
parece;13789
mayor;13322
pasado;13299
os;13282
medio;13164
nadie;13133
estoy;13109
persona;13002
ante;12779
aún;12685
debe;12592
misma;12456
tipo;12351
sistema;12307
será;12286
soy;12261
tus;12138
lado;12102
da;12093
quiero;12070
primer;12028
nueva;12026
dentro;11906
gracias;11750
ciudad;11716
realidad;11628
fuera;11605
noche;11594
tenía;11444
nombre;11234
claro;11207
final;11142
tras;11040
tierra;10997
grandes;10993
embargo;10973
fueron;10896
mí;10864
haber;10858
ejemplo;10855
mal;10844
incluso;10778
punto;10752
cosa;10723
millones;10710
tenemos;10672
agua;10639
mujer;10627
esos;10608
ojos;10578
importante;10536
grupo;10496
alguien;10494
alguna;10491
ir;10490
unas;10296
cuerpo;10293
bajo;10233
ello;10200
nuestros;10181
libro;10177
hemos;10149
sé;9987
información;9944
dar;9917
través;9831
social;9788
horas;9738
igual;9644
allí;9640
estamos;9629
señor;9610
palabras;9515
tú;9503
voy;9486
pueblo;9462
general;9373
cierto;9317
saber;9306
algunas;9305
padre;9273
madre;9181
paso;9151
ahí;9146
posible;9134
muerte;9130
familia;9117
dinero;9117
camino;9117
llegar;9116
podemos;9083
luz;9080
puedo;9067
buena;9038
presidente;9024
hora;8992
algún;8992
mañana;8934
