Words;Score
och;880954
att;778895
det;712617
jag;635734
i;571915
är;511512
som;489097
på;468750
en;449587
inte;341216
för;331527
med;313444
så;300670
har;288456
till;249851
om;235417
av;234827
den;226421
men;208438
vi;198235
de;194344
ett;177104
var;173020
man;162977
kan;127099
han;115278
ska;112941
när;112078
mig;110060
nu;109692
sig;107802
eller;88139
då;80494
lite;80247
hon;79635
här;78927
bara;77480
där;75631
från;75173
alla;73708
vara;72048
vad;70958
kommer;70344
skulle;69836
hade;69800
ju;69569
min;66786
hur;64846
får;63778
ut;61598
mycket;60145
du;58856
blir;57142
ha;56784
upp;55295
vill;54447
efter;53453
bra;52951
också;51597
få;50635
in;50612
än;47643
detta;47598
mer;47084
andra;46723
något;46602
finns;44554
fick;44434
idag;44195
allt;43203
över;41879
någon;40892
även;40527
bli;40026
utan;39365
göra;39338
blev;38547
år;38456
sedan;38125
sin;37998
kanske;37969
under;37946
ta;37838
måste;37145
helt;36850
sen;36796
gör;36687
mot;36418
se;36138
många;35929
går;35578
varit;33892
oss;33526
vet;33211
hela;32968
vid;31014
ni;29999
dem;29956
några;29937
väl;29239
gå;29098
två;28738
dom;28713
kom;28473
mitt;28184
själv;27909
igen;27579
ja;26514
nog;26246
gick;26031
denna;26003
tror;25786
ingen;25598
ser;25596
mina;24717
just;24220
tycker;24037
dag;23706
del;23151
innan;22772
fram;22740
hem;22520
sina;22337
säger;22039
annat;21993
eftersom;21917
ner;21679
rätt;21577
o;21415
första;21374
aldrig;21265
riktigt;20815
åt;20547
honom;20231
dessa;19850
samma;19763
kunde;19576
nya;19462
fall;19429
fått;19427
vilket;19367
tid;19252
barn;19236
kunna;19077
genom;19036
alltid;19024
sätt;18899
ändå;18832
gång;18697
tar;18603
väldigt;18585
människor;18317
bättre;17733
komma;17710
hans;17706
faktiskt;17565
henne;17215
sitt;17185
verkligen;17030
olika;16817
säga;16762
varför;16741
skall;16432
tog;16421
tiden;16343
gjorde;16316
s;16186
gjort;15988
inget;15983
känner;15930
redan;15875
både;15715
hos;15661
dig;15528
vår;15440
känns;15374
mellan;15287
varje;15199
lika;15190
stora;15095
alltså;15085
dock;14749
behöver;14745
annan;14627
hemma;14326
bort;14268
deras;14256
svenska;14124
sa;14119
saker;14050
igår;14027
hoppas;13841
står;13821
runt;13783
fast;13678
mest;13605
ganska;13515
istället;13481
stor;13404
länge;13387
dagen;13341
ur;13318
tillbaka;13277
precis;13188
liv;13188
kvar;13115
liten;12885
flera;12748
våra;12694
nästan;12681
tre;12612
såg;12582
haft;12563
blivit;12561
därför;12532
tidigare;12514
dessutom;12460
egentligen;12429
börjar;12383
trots;12289
hennes;12279
folk;12253
ville;12155
ibland;11977
ens;11837
gäller;11606
borde;11597
fel;11594
ännu;11483
längre;11448
snart;11421
ge;11384
svårt;11330
er;11324
ligger;11288
inom;11273
fortfarande;11230
ute;11143
mamma;11115
helst;11113
började;11107
gott;10994
nej;10812
sitter;10811
bland;10696
först;10605
heller;10594
själva;10541
tänker;10448
bästa;10411
enligt;10331
ofta;10292
samtidigt;10260
ger;10180
enda;10145
nästa;10110
ny;10030
a;10003
fler;9970
mindre;9952
håller;9856
verkar;9802
klart;9787
sista;9745
gått;9734
handlar;9727
tag;9690
sett;9674
sagt;9634
skriva;9551
kul;9479
dagar;9467
senare;9462
lilla;9445
par;9434
skriver;9378
alls;9351
vem;9279
