Words;Score
không;229146
là;216181
có;204944
của;179283
một;178102
và;144703
người;143700
trong;110350
cho;106149
được;103919
như;100168
những;99509
tôi;95745
lại;94716
đã;94144
cũng;90243
ra;86875
với;81731
ta;79501
anh;78685
mà;77170
này;77012
đi;76007
nói;73384
mình;71417
các;70841
làm;70230
đến;69680
thì;69214
đó;68148
phải;67032
thể;64796
ở;64465
để;64228
về;61752
khi;60728
nhưng;60228
vào;59706
con;58895
thế;57882
cái;57270
chỉ;56435
còn;55994
sự;49372
nhà;48430
gì;48035
thấy;47355
từ;47038
đầu;46937
rồi;46879
sẽ;45186
lên;44976
biết;44732
trên;44606
em;43653
công;43536
ông;42651
cả;42285
nào;42253
vì;41720
cô;40761
sau;40587
bị;40374
hắn;39683
sao;39152
nhân;38975
nước;38768
chính;38226
ngày;37982
nhiều;37894
năm;37714
nhìn;37562
nó;36582
thành;36249
vậy;35688
rất;35600
hai;35168
cùng;34274
mới;33812
chúng;33656
việc;33411
bạn;33255
trước;32952
mặt;32930
tay;32857
nên;32712
đang;32414
hơn;32183
họ;31956
học;31668
nam;31146
muốn;31068
đây;31022
qua;30889
nhất;30762
theo;30601
vẫn;29732
mắt;29496
tình;29474
dân;29407
hay;28771
thật;28285
quan;28198
lúc;27995
cách;27899
cậu;27773
giờ;27724
khác;27595
hiện;27080
nàng;27072
tự;26825
cảm;26153
động;25446
chuyện;25155
tới;24975
nữa;24902
văn;24895
ý;24875
gia;24824
thời;24701
điều;24482
ấy;24440
nếu;24418
tại;24318
ai;24152
nhiên;24135
việt;24083
quốc;23721
định;23463
ăn;23320
yêu;23312
quá;23048
đại;22872
bên;22854
tiếng;22809
nay;22346
đồng;22319
chủ;22131
cười;22114
vừa;22031
tâm;22029
sinh;21840
lần;21625
trung;21557
thực;21456
hình;21331
đường;21161
chưa;21128
đối;21000
thân;20927
nghĩ;20849
mẹ;20829
hội;20815
rằng;20780
do;20748
nhận;20745
bộ;20656
số;20603
nhau;20416
nghe;20345
sống;20341
ngươi;20092
bản;20052
cuộc;19787
lý;19391
vô;19316
lời;19259
cần;18966
đều;18956
bao;18937
bằng;18584
thứ;18471
thường;18291
lòng;18218
tử;18189
bảo;18085
trường;17949
cơ;17620
hỏi;17502
đâu;17452
tin;17337
phát;17323
cứ;17260
chẳng;17188
bất;17136
hàng;17043
cao;17014
trở;16903
lấy;16771
bình;16691
hết;16663
ngoài;16631
lớn;16611
ba;16573
bà;16540
mọi;16508
thanh;16427
tư;16390
tiếp;16328
xuống;16281
thôi;16015
thích;15959
câu;15879
hoa;15801
quyền;15800
thương;15759
tính;15665
hành;15648
kinh;15646
kia;15470
chút;15442
tiểu;15280
bắt;15237
hiểu;15221
toàn;15137
đời;15073
nhỏ;15054
thức;14868
đất;14864
giới;14736
mấy;14708
bài;14553
xem;14470
hôm;14405
gian;14375
sáng;14288
viên;14163
an;14159
tìm;14081
đề;14034
phòng;13801
dù;13781
đưa;13774
báo;13746
tiền;13726
nhớ;13709
nơi;13677
pháp;13609
thông;13574
vị;13551
hoàng;13546
viết;13405
gọi;13391
xe;13343
tác;13340
ngay;13326
tốt;13302
từng;13301
minh;13208
nghĩa;13161
tế;13106
tên;13105
phần;13025
kỳ;12973
tất;12965
ngồi;12893
đúng;12816
luôn;12786
lực;12777
giáo;12769
trọng;12622
càng;12606
quân;12601
hợp;12592
tiên;12502
tháng;12424
phong;12405
mất;12356
chân;12299
thêm;12087
độ;12071
phương;12063
đứng;12058
mang;11998
chiến;11832
giá;11820
giải;11791
kết;11752
xa;11735
thiên;11698
mỗi;11690
cửa;11659
quả;11657
chết;11641
bỏ;11622
thần;11594
đánh;11530
y;11504
tài;11488
chứ;11480
khó;11419
gặp;11402
liên;11351
cố;11294
xã;11288
gần;11262
trời;11223
chí;11122
lập;11062
chị;11040
đạo;11024
sản;10994
điểm;10992
thị;10980
nữ;10974
tưởng;10964
dùng;10955
a;10933
đông;10931
nguyên;10919
rõ;10897
tức;10793
đôi;10713
vẻ;10694
lắm;10683
xuất;10671
sách;10662
đẹp;10658
tập;10651
ảnh;10627
hoặc;10591
hồ;10566
sợ;10543
trình;10465
lẽ;10421
nội;10419
cuối;10399
phía;10387
tuổi;10348
cảnh;10341
bởi;10328
dụng;10327
quyết;10294
mỹ;10280
loại;10267
trị;10266
giữa;10250
sử;10242
tiêu;10185
vui;10159
hệ;10125
dài;10123
vụ;10095
mặc;10087
năng;10084
thay;10060
thơ;10040
điện;9985
lâu;9978
đổi;9922
mở;9905
bàn;9862
đình;9843
tranh;9804
thái;9799
vấn;9773
cầu;9745
xin;9665
đau;9643
hoàn;9617
bước;9553
chịu;9493
chắc;9480
khỏi;9452
chạy;9362
trẻ;9359
tạo;9350
khiến;9336
sĩ;9254
vật;9253
giống;9252
chức;9249
gái;9242
tinh;9175
đọc;9173
thu;9146
dưới;9141
đủ;9124
sức;9072
ít;9020
ánh;9003
trả;9000
cộng;8986
vài;8979
đêm;8972
mạnh;8902
quay;8872
áo;8847
đáng;8825
chế;8817
hạ;8786
cấp;8773
chỗ;8770
trang;8765
giả;8741
hà;8727
ngủ;8696
thư;8680
tiến;8634
trí;8626
cây;8601
nổi;8598
biệt;8573
thống;8547
nghiệp;8534
máy;8523
bé;8493
đồ;8469
hồi;8468
biểu;8416
đàn;8359
xong;8338
chất;8321
đảng;8320
sắc;8314
phụ;8312
chiếc;8291
bây;8275
đấy;8254
thủ;8252
bố;8237
kể;8221
tối;8218
hướng;8198
thiếu;8190
cổ;8188
tổ;8160
đầy;8151
lưu;8111
chi;8110
hơi;8087
biến;8087
nhanh;8082
chung;8059
chơi;8016
phi;7981
tuy;7970
âm;7968
lạnh;7933
sang;7905
giác;7894
độc;7891
liền;7888
tục;7861
ca;7834
luật;7806
khí;7778
mua;7752
đơn;7750
đặt;7708
cung;7707
đặc;7703
lợi;7697
sát;7674
vương;7644
buồn;7634
vũ;7620
địa;7562
dễ;7548
giao;7517
chú;7483
kiến;7453
đem;7450
khách;7449
tượng;7447
trần;7445
giúp;7413
đứa;7394
màu;7366
diễn;7344
phục;7338
lo;7338
lượng;7286
đừng;7281
bác;7231
dương;7212
kẻ;7196
bọn;7190
thi;7176
nhạc;7168
vọng;7148
tương;7123
sư;7116
thuộc;7109
truyền;7096
nhẹ;7084
trái;6955
phủ;6954
lãnh;6950
miệng;6945
cá;6933
nằm;6929
cứu;6928
sở;6922
giữ;6916
vàng;6910
bệnh;6818
dẫn;6798
triển;6770
ban;6757
dung;6718
tham;6717
dự;6656
cầm;6652
mạng;6641
to;6609
bắc;6597
thiết;6593
đức;6591
lịch;6581
phản;6570
chờ;6567
bán;6531
luận;6528
chuyển;6524
lâm;6497
suy;6486
coi;6465
tây;6452
cha;6444
phố;6400
biển;6386
phân;6356
cạnh;6353
trai;6349
ngoại;6334
môi;6274
tỉnh;6270
kéo;6187
hiệu;6186
dịch;6184
yên;6150
chọn;6148
hồng;6122
danh;6116
trưởng;6086
vợ;6082
quen;6082
tăng;6042
yếu;6009
bay;6001
ngọc;5986
chữ;5980
phạm;5956
tổng;5948
khoảng;5922
phẩm;5908
chiều;5901
mày;5899
riêng;5896
hãy;5888
tích;5880
lớp;5875
chàng;5838
song;5807
sâu;5798
uống;5791
ứng;5790
hôn;5780
chồng;5773
mai;5772
hải;5761
duy;5758
chứng;5752
diện;5751
hương;5748
trắng;5733
ôm;5731
bóng;5722
giọng;5711
vệ;5709
đoàn;5700
khu;5693
đỏ;5679
lạc;5660
án;5644
phúc;5614
mục;5610
mãi;5609
tuyệt;5606
quên;5547
xuân;5545
viện;5545
tôn;5539
nghệ;5525
dám;5483
vốn;5482
trò;5464
hậu;5451
cụ;5440
nỗi;5431
kiếm;5414
quanh;5412
nhật;5399
đội;5379
liệu;5366
thất;5364
áp;5357
đoạn;5334
thở;5325
nhiệm;5317
buổi;5313
quần;5308
lê;5308
sai;5304
hữu;5302
lặng;5301
châu;5293
lạ;5281
nhi;5271
khóc;5267
xác;5248
cháu;5243
lương;5238
tướng;5225
kim;5220
cực;5218
giận;5217
mơ;5193
lệ;5185
thuật;5178
khổ;5171
dậy;5168
thượng;5145
tội;5142
thằng;5132
gió;5132
căn;5128
chống;5128
linh;5114
hàn;5080
tộc;5054
bạch;5048
trách;5034
mùa;5027
mức;5016
hạnh;5002
chuẩn;4998
cánh;4996
lộ;4988
hoạt;4984
sớm;4979
khả;4968
vai;4959
lão;4948
chia;4942
tai;4938
dựng;4937
vi;4933
thẳng;4925
hát;4921
xưa;4913
gây;4913
dần;4901
chương;4899
kế;4889
mưa;4882
phim;4868
xanh;4849
mong;4828
kỷ;4827
à;4825
kiện;4819
quy;4787
khoa;4784
tớ;4774
long;4755
đen;4754
nửa;4719
lễ;4719
vòng;4711
khai;4700
tim;4691
xử;4679
xây;4663
quản;4657
nghị;4649
nhiêu;4647
sơn;4637
thoại;4625
ngờ;4623
vùng;4620
ngô;4608
ký;4590
hạn;4583
đột;4575
so;4571
triệu;4562
đấu;4543
xấu;4530
vực;4528
rơi;4525
cơm;4516
tuần;4502
đá;4501
hưởng;4472
lao;4471
lá;4470
dòng;4453
ngôn;4442
kêu;4438
cũ;4436
may;4432
đóng;4425
thầy;4405
chấp;4403
lan;4402
lỗi;4385
chặt;4385
quý;4379
tóc;4359
trương;4344
suốt;4344
đảo;4342
đám;4328
phá;4327
di;4323
máu;4316
khá;4312
vội;4311
du;4302
xảy;4296
nha;4283
thú;4278
nắm;4274
tiết;4272
kiểu;4262
nghiêm;4258
niệm;4242
thuyết;4241
đợi;4223
bánh;4212
doanh;4211
sông;4190
hồn;4167
niên;4162
thuốc;4160
trạng;4157
