Words,Score
to,1000
se,976
je,973
že,949
jsem,946
na,946
co,935
si,919
tak,908
ale,904
ne,902
jsi,889
já,889
mi,887
mě,885
do,877
jak,875
ty,871
jo,865
jste,862
už,861
když,860
jen,859
jsme,859
jako,858
tu,857
za,857
ho,854
ti,854
by,853
tady,851
ano,848
pro,848
dobře,847
není,842
byl,841
tě,841
něco,840
proč,839
teď,837
no,836
tam,835
tohle,834
mám,834
jsou,834
ten,832
být,829
toho,827
bude,826
bych,823
vás,822
nic,821
takže,819
má,819
ve,819
vám,818
nebo,817
kdo,815
aby,815
tom,814
byla,814
ji,814
bylo,812
kde,811
ještě,809
po,808
pane,808
protože,807
než,807
můj,804
jeho,804
od,803
myslím,803
tím,802
jestli,802
máš,802
měl,801
vím,800
nás,800
všechno,800
možná,799
víš,798
nikdy,798
prosím,798
moc,798
mu,797
vy,796
ani,796
chci,795
taky,791
nevím,787
až,786
pokud,786
moje,786
tebe,786
pak,785
nám,785
ahoj,785
ta,784
jí,783
díky,781
říct,781
sem,780
máme,780
řekl,779
chceš,779
musím,777
budu,777
před,777
pořádku,776
jít,775
opravdu,775
on,775
někdo,774
tomu,774
asi,774
všichni,772
trochu,769
mít,769
hej,769
vážně,769
myslíš,767
dobrý,767
abych,766
pořád,765
který,765
mohl,765
měla,764
ze,764
bys,764
my,764
máte,764
rád,763
které,762
dělat,762
musíme,762
nemůžu,761
všechny,761
prostě,761
víc,760
den,760
chtěl,759
udělat,758
můžu,758
dva,758
stalo,757
mnou,756
jenom,756
kdy,756
jde,755
budeš,755
vaše,755
tvůj,754
další,753
ní,753
pojď,752
kvůli,752
měli,752
může,752
dost,751
jeden,750
oh,750
nikdo,750
bože,750
bez,750
ať,750
lidi,750
můžeš,750
své,750
dnes,749
víte,749
život,749
pár,748
tebou,748
právě,747
musí,747
dobrá,747
mně,747
jasně,747
děláš,746
sakra,746
děkuji,746
velmi,746
hodně,746
udělal,745
její,745
budeme,745
takhle,745
jim,745
věci,745
ses,745
hned,744
musíš,744
děje,743
proto,743
té,743
tvoje,742
říkal,742
vůbec,742
pravdu,742
nejsem,741
ona,741
nechci,741
zpátky,741
bychom,741
vědět,741
první,741
naše,740
místo,740
nemám,739
práci,739
byli,738
můžeme,738
práce,738
vypadá,737
řekla,737
přesně,737
chce,737
myslel,736
byste,735
něj,735
kam,735
let,735
kdyby,734
čas,734
tři,734
jejich,734
mé,734
svou,734
vždycky,733
dlouho,733
podívej,733
viděl,733
věc,732
domů,732
pryč,732
mluvit,731
zase,731
ním,731
dobré,731
tobě,730
sám,730
jdeme,730
sebe,730
chcete,730
někdy,729
promiň,729
abys,728
stejně,728
jednou,728
můžete,728
dál,728
ráda,728
která,728
ke,728
vlastně,727
