Words,Score
ich,1000
sie,972
das,959
ist,957
du,956
nicht,951
die,945
es,940
und,939
der,921
wir,921
was,920
zu,909
er,906
ein,904
in,900
ja,890
mir,887
mit,887
wie,882
den,881
mich,879
auf,878
dass,878
aber,876
eine,875
so,873
hat,872
hier,868
haben,867
für,867
sind,866
war,864
von,864
wenn,863
dich,862
ihr,859
nein,858
habe,857
an,856
bin,851
noch,850
nur,850
da,850
dir,848
sich,846
einen,846
uns,845
hast,843
dem,837
kann,837
gut,835
auch,835
schon,834
als,834
sein,834
mal,833
jetzt,833
ihn,833
dann,832
aus,831
meine,831
um,830
im,828
wird,827
mein,825
bist,824
doch,824
alles,822
weiß,820
keine,819
oder,817
nach,814
nichts,811
man,809
muss,808
werden,808
will,808
ihnen,807
geht,807
wo,806
etwas,806
oh,806
mehr,805
bei,804
also,804
bitte,800
immer,800
hab,798
warum,798
vor,797
los,795
können,795
wieder,795
sagen,794
machen,792
danke,791
sehr,791
alle,791
denn,790
mann,790
tun,789
ihm,788
zum,788
gehen,787
sehen,787
vielleicht,787
einem,786
wer,786
ihre,786
diese,786
euch,785
einer,784
komm,783
über,782
gibt,782
okay,782
wissen,781
deine,780
müssen,780
soll,780
werde,779
nie,778
wirklich,778
hey,778
kein,775
viel,775
weg,774
würde,774
tut,774
am,773
des,772
einfach,772
leben,772
hatte,770
zeit,769
weil,769
willst,768
kommen,767
dein,767
heute,766
kommt,766
wollen,766
damit,765
ganz,764
wäre,764
wollte,764
weißt,764
ok,763
sicher,763
gesagt,762
frau,762
nun,762
bis,761
wurde,761
leid,760
na,760
kannst,759
macht,758
dieser,757
zurück,757
lassen,756
hallo,755
meinen,755
gott,754
seine,753
hätte,753
zwei,752
könnte,749
genau,749
waren,749
zur,748
lass,748
klar,747
morgen,746
leute,745
vater,744
schön,743
glaube,742
ab,742
gerade,741
tag,741
gesehen,740
reden,740
wohl,739
liebe,738
sollte,738
sagte,738
unsere,738
jemand,737
geld,737
durch,737
ob,737
keinen,736
mutter,735
raus,735
gemacht,735
paar,734
mach,734
passiert,734
dachte,734
besser,734
musst,733
wieso,733
sir,733
dieses,733
selbst,732
gehört,731
möchte,731
ohne,731
hör,731
her,730
sag,730
meiner,729
anderen,729
helfen,729
nacht,728
finden,727
diesen,727
gute,727
wirst,727
lange,726
natürlich,726
ach,726
meinem,726
gar,726
ins,725
sei,725
dort,724
weiter,724
geben,723
seit,723
gleich,723
sagt,723
recht,722
ihren,722
richtig,722
vom,721
hören,721
sieht,721
davon,721
dafür,720
geh,720
diesem,719
wegen,719
hause,718
sollten,718
mädchen,718
hin,718
sollen,717
abend,717
haus,717
denke,716
viele,716
drei,715
deinen,715
freund,715
guten,715
unser,714
warte,714
machst,714
menschen,713
essen,713
angst,713
bleiben,713
zusammen,713
welt,713
unter,712
habt,712
schnell,712
andere,711
tot,711
getan,710
darf,710
erst,710
rein,710
stimmt,710
nehmen,710
kinder,710
eines,710
glauben,709
bringen,709
ganze,708
genug,708
scheiße,708
brauchen,708
gegen,707
moment,707
junge,707
steht,707
sonst,706
musik,705
arbeit,705
seid,704
ihrer,704
fragen,704
herr,704
dabei,704
heißt,703
familie,703
warten,702
niemand,702
sofort,702
bevor,702
jahre,701
einmal,701
problem,700
sohn,699
wann,699
brauche,699
fertig,699
halt,699
allein,699
beim,699
sprechen,698
beide,698
gefunden,698
hatten,698
sache,698
hilfe,697
verdammt,697
ne,697
jeder,697
warst,697
gern,697
konnte,696
darüber,696
halten,696
siehst,696
verstehe,696
jahren,696
kam,695
kind,695
wusste,695
wahr,695
seinen,694
dazu,694
bruder,694
daran,694
ihrem,694
denken,694
könnten,694
dank,693
würden,693
lieber,693
fall,693
deiner,692
sehe,692
egal,692
kennen,692
deinem,691
vergessen,691
frage,691
mache,691
komme,690
sage,690
mag,690
sieh,690
echt,690
gib,690
eigentlich,690
jeden,690
dad,689
gab,689
uhr,689
stadt,688
männer,688
baby,688
fahren,687
namen,687
bekommen,687
kopf,687
hi,687
gehe,687
kleine,686
später,686
glück,686
letzte,686
freunde,686
all,686
darauf,685
ende,685
bald,684
töten,684
dinge,684
meinst,684
toll,684
eins,683
minuten,683
vielen,683
bereit,683
weit,682
seiner,682
bisschen,682
tür,682
auto,682
jungs,681
eure,681
augen,681
polizei,681
stehen,681
sterben,680
hätten,680
draußen,680
kenne,679
fast,679
runter,679
vorbei,678
treffen,678
gerne,678
dran,677
wurden,677
arbeiten,677
mom,677
verrückt,677
neue,677
ging,677
hinter,676
sorgen,676
einzige,676
