Words,Score
να,1000
το,985
δεν,964
είναι,963
θα,959
και,956
μου,939
με,932
για,930
την,927
ο,926
η,918
τον,917
τα,916
που,916
σου,916
σε,914
αυτό,913
του,911
τι,911
ότι,905
από,899
στο,897
της,879
όχι,879
ναι,877
ένα,875
τη,871
αν,870
αλλά,870
εδώ,868
μια,868
σας,868
τους,867
ήταν,867
μας,864
πρέπει,861
είσαι,860
είμαι,858
οι,856
στην,856
πολύ,854
κι,851
γιατί,849
πως,844
τώρα,844
εγώ,844
εντάξει,842
κάτι,836
έχει,836
ξέρω,836
τις,835
έχω,834
δε,831
μην,826
έτσι,824
εσύ,823
καλά,820
αυτή,820
θέλω,819
όταν,817
στον,816
στη,814
μπορώ,814
ξέρεις,813
έχεις,812
κάνεις,811
μόνο,811
μαζί,810
εκεί,810
σαν,809
όλα,805
τίποτα,804
σ,804
ευχαριστώ,804
ή,803
πώς,803
κάνω,802
απ,800
τόσο,799
μπορεί,798
κάνει,797
ποτέ,796
απλά,795
αυτά,795
των,793
έλα,793
λοιπόν,792
στα,792
υπάρχει,791
ακόμα,790
μπορείς,790
μέσα,789
πάμε,788
σπίτι,788
αυτός,788
τότε,788
ίσως,787
έχουμε,787
γι,786
πιο,786
παρακαλώ,786
ένας,785
κύριε,785
πού,785
μετά,782
νομίζω,782
είμαστε,782
πριν,782
πάντα,782
πίσω,781
γεια,781
λίγο,780
πω,780
όπως,779
δουλειά,775
αλήθεια,774
ποιος,774
δύο,772
είπε,772
όλοι,770
είχε,770
ας,769
έναν,769
λες,768
παιδιά,768
άλλο,767
θέλεις,766
ζωή,765
κάνουμε,765
δω,764
πάω,763
μ,762
μη,762
έξω,761
καλό,760
είπα,760
μία,759
έχουν,759
επειδή,759
ήμουν,759
μέχρι,757
στις,757
έπρεπε,756
κοίτα,756
ώρα,756
πάνω,756
μένα,756
φορά,756
χρόνια,756
σένα,755
είστε,755
ήθελα,755
ούτε,754
σωστά,754
ωραία,754
όμως,754
κάποιος,754
μα,754
κάθε,753
πράγματα,753
πες,753
είχα,752
καλή,751
χωρίς,750
μέρα,750
κάτω,750
γυναίκα,750
μπορούμε,750
μόλις,749
κανείς,748
θες,748
έκανε,748
μαμά,748
ακριβώς,747
καλύτερα,746
αυτόν,746
πάει,745
σήμερα,745
αρέσει,745
θέλει,745
λέει,743
πόσο,743
συγγνώμη,742
έκανα,742
φαίνεται,741
θεέ,740
φυσικά,740
λυπάμαι,740
μέρος,740
συμβαίνει,740
έγινε,740
ό,740
πας,739
εμένα,738
πεις,738
πολλά,738
όσο,737
στιγμή,737
κάποιον,737
λάθος,735
οπότε,735
πράγμα,735
έχετε,735
χρόνο,735
είπες,735
δυο,734
ω,734
γίνει,733
εσένα,733
κάποια,732
ως,732
ε,732
περίμενε,731
πρόβλημα,731
παιδί,730
ειναι,730
ήσουν,730
πραγματικά,730
πάλι,730
άλλη,730
απο,729
έκανες,729
οχι,728
όλο,728
χρειάζεται,727
βλέπω,727
μητέρα,727
υπάρχουν,726
πιστεύω,726
κυρία,726
δικό,726
ίδιο,726
φίλε,725
γρήγορα,725
στους,725
πάρει,725
σίγουρα,725
πάρω,725
αρκετά,725
μπαμπά,724
ιδέα,724
όλη,724
εσείς,723
λένε,723
λεφτά,722
γίνεται,722
νέα,722
λέω,722
ξέρει,722
πήγαινε,721
νομίζεις,720
φορές,720
δει,720
μάλλον,720
κ.,719
ήδη,719
είδα,718
σημαίνει,718
εμείς,718
ακόμη,718
όλους,718
πατέρας,717
οτι,716
κάνουν,716
καιρό,715
προς,715
εκτός,715
κόσμο,714
βράδυ,714
μωρό,713
συγνώμη,713
όνομα,713
πατέρα,713
βλέπεις,713
χαρά,713
αύριο,713
μπορούσα,712
σταμάτα,712
μπορείτε,712
μόνος,712
αυτές,712
νόμιζα,711
αγάπη,711
πρόκειται,711
τελευταία,711
άνθρωποι,709
πρώτη,709
πει,709
μεγάλη,709
ν,709
τί,709
καταλαβαίνω,709
ήξερα,709
δίκιο,708
απόψε,708
κανένα,708
συνέβη,708
μακριά,708
τέλος,708
ποιο,707
μπορούσε,707
απλώς,707
αμέσως,707
ξανά,707
πότε,707
τρόπο,707
πάρε,706
θέση,706
μήπως,706
αυτοί,706
ξέρετε,706
αυτούς,706
ήρθε,706
εαυτό,705
δική,705
ποια,705
αυτήν,704
μάλιστα,704
κάνετε,704
περισσότερο,704
κατά,703
πόλη,703
πια,703
κορίτσι,703
θέλετε,702
κάποιο,701
λεπτό,701
κοντά,701
χρειάζομαι,701
θέμα,701
μιλήσω,701
μέρες,701
είχες,701
τύπος,701
λεπτά,700
επίσης,700
χέρια,700
εκείνη,700
έρθει,700
βρω,700
τέτοιο,699
μερικές,699
πειράζει,699
βοήθεια,698
εννοώ,698
άνθρωπος,698
μεγάλο,698
βρούμε,698
ανθρώπους,697
δεις,697
καθόλου,697
εννοείς,697
ορίστε,697
αφού,696
πέρα,696
όπλο,696
σίγουρος,696
ιστορία,696
πήρε,696
δούμε,696
πρωί,696
ήθελε,696
ελπίζω,696
πόρτα,696
