Words,Score
aku,1000
kau,975
yang,967
tidak,955
ini,943
itu,942
dan,934
dia,932
di,932
akan,930
apa,928
kita,918
untuk,905
bisa,895
ada,890
tak,889
mereka,886
anda,883
tahu,882
dengan,881
saya,876
dari,874
ya,868
tapi,866
kami,864
ke,861
harus,858
sudah,857
kamu,850
adalah,850
orang,849
saja,849
seperti,844
ingin,844
jika,842
pergi,840
hanya,838
semua,836
sekarang,836
sini,835
jadi,834
dalam,834
bukan,827
baik,827
bagaimana,826
jangan,825
lagi,824
punya,822
lebih,820
oh,820
pada,818
mungkin,816
kalian,815
lakukan,814
karena,813
sangat,812
satu,806
juga,806
apakah,805
mau,804
pernah,803
siapa,802
telah,801
ayo,800
hal,798
saat,797
kenapa,796
hari,796
kembali,796
atau,796
datang,795
begitu,794
sesuatu,793
banyak,793
benar,792
kasih,791
menjadi,790
melihat,790
terjadi,789
melakukan,788
terima,788
tentang,788
lihat,786
seorang,786
bahwa,786
kalau,784
hei,781
bagus,781
bilang,781
masih,780
oke,776
lain,776
sana,776
waktu,775
baiklah,774
tempat,773
mana,773
keluar,773
lalu,772
malam,772
maaf,771
membuat,771
mati,771
sedang,770
memiliki,768
tahun,768
sekali,767
sampai,767
anak,767
baru,766
dapat,765
beberapa,765
ayah,764
sendiri,763
katakan,762
hidup,762
mengapa,761
sebuah,761
perlu,761
kan,759
sama,759
tunggu,758
salah,757
semuanya,756
rumah,755
mengatakan,755
ia,755
ketika,754
masuk,754
cepat,754
dengar,753
besar,753
padaku,752
disini,751
pikir,751
pasti,751
yg,751
ibu,750
masalah,749
benar-benar,749
belum,748
pak,748
bicara,746
dua,746
tentu,746
selamat,745
cukup,745
selalu,744
tuhan,744
suka,743
yeah,743
seseorang,743
melakukannya,743
pria,742
setelah,741
mengerti,741
tolong,740
dimana,740
bahkan,739
berada,738
menemukan,738
sedikit,738
bertemu,737
mendapatkan,736
percaya,736
oleh,735
makan,735
lama,735
atas,735
ku,734
tinggal,734
bekerja,734
terlalu,734
wanita,734
sebagai,733
padamu,733
sayang,733
kali,732
tetap,732
yakin,732
hey,731
cara,730
berhenti,730
jalan,730
setiap,729
berpikir,729
mulai,729
dunia,729
mari,729
membunuh,729
selama,728
luar,728
kecil,728
pertama,727
sebelum,727
diri,727
bersama,727
mengambil,726
boleh,725
the,725
merasa,724
mencari,723
uang,723
apapun,722
senang,722
butuh,721
kurasa,721
ayolah,721
teman,721
sebenarnya,720
mencoba,719
gadis,718
dulu,718
tanpa,718
jam,717
denganmu,717
takkan,717
buruk,716
para,714
polisi,714
membawa,714
yah,714
berapa,713
orang-orang,712
itulah,712
ingat,712
kemudian,712
siap,711
biarkan,711
maksudku,711
terus,710
gila,710
pun,710
tuan,710
sakit,710
tidur,709
pulang,709
segera,708
seharusnya,708
kepada,707
memang,707
takut,707
dirimu,706
halo,706
terlihat,706
nama,705
sial,705
berbicara,705
minta,704
kota,704
mobil,704
membantu,704
terakhir,704
biasa,703
cinta,702
mu,702
depan,701
sepertinya,701
sebentar,700
padanya,700
rasa,700
bagian,699
bodoh,699
sialan,699
manusia,699
tiga,699
berhasil,698
sungguh,698
mendengar,697
tepat,697
bawah,695
berikan,695
ambil,695
pagi,694
air,694
keluarga,694
hai,694
bawa,693
kehilangan,693
maafkan,693
untukmu,692
nanti,692
bagi,692
tangan,692
hebat,692
menunggu,691
ikut,691
melihatnya,691
masa,691
jauh,690
pekerjaan,690
ah,690
you,690
berdua,689
paling,689
peduli,689
aneh,689
penting,689
tadi,689
si,689
selesai,689
seluruh,689
ok,688
meninggalkan,688
cuma,688
suatu,687
terbaik,687
khawatir,687
tua,687
memberikan,686
tenang,685
hentikan,685
disana,685
bisakah,685
coba,684
uh,684
menit,684
sekolah,684
duduk,683
sebelumnya,683
secara,683
maka,683
besok,683
minum,683
tn,683
berarti,683
bulan,682
bergerak,682
sejak,681
hampir,681
kemari,681
kepala,680
astaga,680
tetapi,679
soal,678
maksudmu,678
menggunakan,678
tau,678
diam,678
aman,677
berjalan,677
buat,677
sulit,677
senjata,677
iya,676
inginkan,675
kapan,675
sekitar,675
pintu,675
nak,674
ayahku,674
memberi,674
hati,674
kesempatan,674
nah,674
bermain,674
cari,674
dekat,673
mendapat,673
bukankah,672
jelas,672
nya,672
tim,672
dengannya,672
mudah,672
akhirnya,672
jatuh,671
kumohon,671
denganku,671
agar,671
benarkah,671
berakhir,671
ayahmu,671
memberitahu,670
alasan,670
menarik,670
cantik,669
kawan,669
berubah,669
kupikir,669
satu-satunya,669
keras,668
mata,668
dokter,668
lainnya,667
beritahu,667
kemana,667
serius,667
kuat,667
bertanya,665
minggu,665
meminta,665
membuatku,664
kerja,664
bunuh,664
pergilah,663
kehidupan,663
berbeda,663
berharap,663
bangun,663
indah,662
menurutmu,662
beri,662
menyelamatkan,662
kata,662
hilang,662
kabar,662
darah,662
dengarkan,662
kamar,661
lari,661
kulakukan,661
berkata,661
menyenangkan,661
dilakukan,661
kosong,661
eh,661
belakang,661
raja,661
dasar,660
bajingan,660
biar,660
makanan,660
bantuan,660
dapatkan,660
meninggal,660
ruang,660
demi,660
kedua,659
kekuatan,659
marah,659
membiarkan,659
lepaskan,658
daripada,658
buku,658
it,658
menikah,658
berusaha,658
diriku,658
fncandara,658
rencana,657
telepon,657
kasus,657
perang,657
pertanyaan,656
kapal,656
belajar,656
suara,655
amerika,655
lupa,655
lihatlah,655
muda,654
pikirkan,654
ibumu,654
perjalanan,654
menuju,654
cerita,654
permisi,654
naik,653
langsung,653
wow,653
paham,653
antara,653
membutuhkan,653
tinggi,653
turun,652
ide,652
kaki,652
penuh,652
sendirian,652
negara,652
lima,652
ibuku,652
namanya,652
kematian,651
anjing,651
berdiri,651
to,650
kecuali,650
kira,650
kapten,650
rahasia,650
menang,650
and,649
menerima,649
silakan,649
tanah,649
bicarakan,649
lucu,649
buka,648
melawan,648
menunjukkan,648
dirinya,648
um,648
agen,647
melalui,647
rasanya,647
sepanjang,647
akhir,647
bu,647
artinya,647
pilihan,647
nona,647
terlambat,647
pesta,646
mulia,646
membuatmu,646
membuatnya,646
untukku,646
temukan,645
semakin,645
well,645
bung,645
kesalahan,645
john,645
silahkan,644
lewat,644
mencintaimu,644
sementara,643
nomor,643
api,643
memilih,643
pesawat,643
guru,643
bahagia,643
waktunya,642
film,642
tiba,642
bantu,642
melihatmu,642
panas,641
bumi,641
memakai,641
okay,641
kubilang,640
menemukannya,640
segalanya,640
setidaknya,640
keren,640
membunuhnya,640
no,640
jawab,640
hidupku,640
pesan,639
bertahan,639
bayi,639
bahasa,639
kantor,639
putri,639
empat,639
tinggalkan,639
muncul,638
omong,638
kenal,638
perusahaan,638
awal,638
anakku,638
penjara,637
setuju,637
nyata,637
sempurna,637
