Words,Score
何,1000
あ,979
あなた,956
言,944
行,930
人,909
知,906
事,904
彼女,902
お前,899
話,897
来,882
分か,878
者,874
聞,862
死,857
時,856
ああ,853
殺,850
前,849
中,848
達,847
必要,842
あの,839
気,839
大丈夫,836
自分,833
持,829
本当,829
時間,828
我々,828
一,828
的,826
無,825
ありがとう,825
家,824
会,819
日,818
年,818
仕事,811
手,809
一緒,807
後,805
出来,805
他,802
入,802
電話,798
目,797
様,790
分,789
車,789
所,789
あんた,787
度,785
同じ,783
場所,782
問題,779
子供,779
愛,776
金,776
名前,773
子,773
信,771
さあ,770
少し,768
使,768
全て,767
世界,767
教え,766
通り,765
来る,765
上,764
入れ,764
人間,763
行け,761
今日,760
物,756
女,756
呼,756
生き,754
あれ,753
じゃあ,753
止め,753
心配,752
母,751
連れ,750
関係,749
外,748
家族,748
起き,747
意味,746
神,746
警察,746
力,746
最後,745
作,744
次,742
息子,741
取,740
全部,739
間,739
書,738
捜査,738
起こ,736
回,736
別,735
情報,735
理由,734
数,732
一人,731
部屋,730
以上,730
人生,730
急,730
食べ,728
女性,728
続け,728
事件,727
始め,727
最初,727
連絡,726
まあ,726
調べ,726
安全,725
下さ,725
楽し,725
殺人,724
下,722
万,722
友達,722
約束,721
二,721
結婚,720
無理,719
感じ,719
得,717
最高,716
送,715
計画,715
仲間,715
先,715
可能,715
あいつ,714
あと,714
明日,714
変わ,714
聞こえ,713
確認,712
命,711
着,710
与え,708
全員,708
動,708
理解,708
二人,707
開け,707
友人,707
機,706
不,706
あげ,706
離れ,705
戦,703
先生,703
言え,702
質問,702
置,701
犯人,700
受け,700
感,700
第,700
あぁ,699
伝え,699
素晴らし,699
ドア,698
本,697
乗,697
用,697
感謝,697
正し,696
言葉,696
大,695
立,695
写真,695
２人,695
説明,694
博士,694
強,694
絶対,694
座,694
国,694
向か,693
名,691
ある,689
野郎,689
番,688
一番,687
重要,687
状況,686
元気,686
水,685
変え,685
十分,685
週間,684
やあ,684
父親,684
間違い,684
王,683
了解,682
相手,682
