Words,Score
내가,1000
그,989
난,988
내,984
안,982
수,982
이,975
네,972
거야,966
좀,959
그래,950
있어,941
왜,938
더,929
그리고,928
우리,926
다,917
무슨,917
한,915
하지만,915
잘,913
어떻게,912
할,912
그냥,910
정말,908
그럼,906
것,904
게,904
있어요,901
있는,900
해,899
여기,897
넌,896
제가,896
날,894
우리가,892
건,892
전,892
이제,891
지금,890
그게,890
걸,889
거,886
아니,886
네가,886
없어,885
돼,880
저,880
우린,879
제,878
못,876
좋아,876
당신이,876
다른,870
나,870
그런,867
그건,866
너무,866
그래서,865
그렇게,863
다시,863
이건,862
이런,862
나도,859
모든,859
당신,858
거예요,858
당신은,856
아,853
좋은,853
오,850
때,849
너,844
하는,844
하고,843
아냐,842
나는,842
아니야,842
알아,841
같이,841
응,840
이게,839
없어요,837
괜찮아,833
오늘,833
말이야,830
줄,829
또,829
널,828
누가,827
어떤,826
아주,825
말,825
아직,824
안돼,822
진짜,822
모두,821
마,821
같은,820
여기서,820
어서,819
그는,819
위해,819
해요,819
일이,818
하지,818
엄마,817
바로,815
가,815
근데,814
알고,814
이렇게,813
빨리,813
있습니다,813
이거,811
전에,811
어,810
아뇨,810
계속,809
닥터,809
얼마나,808
될,808
알았어,808
않아,808
제발,808
있지,807
겁니다,805
어디,805
사람이,805
그가,804
안녕,803
좋아요,803
같아,802
우리는,801
그래요,800
당신을,800
자,799
그걸,799
두,798
아니에요,796
있을,796
때문에,796
대해,796
아빠,795
몇,793
사람,793
했어,792
뭐야,792
수도,790
많이,789
집에,789
거지,789
일을,789
저는,789
음,789
그렇지,788
함께,788
만약,786
하나,785
저기,785
고마워요,784
항상,783
나한테,783
잠깐,781
가서,781
가장,780
돼요,780
거죠,780
가자,780
맞아,779
보고,779
와,777
그거,777
말을,777
괜찮아요,777
아무도,776
없는,776
안녕하세요,776
몰라,774
일,774
많은,774
당신의,772
아무것도,772
그러니까,772
큰,772
알아요,772
그의,771
뭐가,771
고마워,771
그만,771
했어요,770
젠장,770
사람들이,770
거에요,768
이걸,767
그럴,767
것도,767
말이,767
이미,766
야,766
그를,766
