Words,Score
de,1000
nu,994
să,986
în,952
ce,951
că,949
şi,948
la,944
cu,934
pe,933
am,932
un,930
mai,923
asta,918
pentru,913
este,907
sunt,905
ai,904
te,903
bine,902
da,902
ca,900
dar,897
se,892
din,890
fost,890
care,890
fi,886
mă,884
eu,882
aici,881
sa,876
dacă,872
trebuie,868
va,864
cum,863
si,862
tu,860
acum,860
aşa,856
el,855
ar,854
lui,853
ceva,852
când,851
doar,851
eşti,850
ei,849
ne,847
mine,846
tine,845
poate,842
pot,842
voi,841
face,841
cred,840
îmi,839
au,838
mea,837
spus,835
ştiu,833
unde,833
vă,830
meu,830
ea,830
mult,828
vreau,827
despre,826
vrei,825
sau,823
tot,823
foarte,822
pare,822
acolo,821
chiar,821
in,819
noi,819
bună,819
ta,819
era,817
nimic,817
faci,816
are,815
făcut,815
cine,813
nici,813
putea,812
ştii,810
fac,809
fie,808
nevoie,807
trebui,806
rău,806
atunci,803
timp,801
tău,801
spun,800
și,800
rog,800
acest,799
îţi,798
nu-i,798
spune,797
avem,797
poţi,796
al,796
le,795
după,795
vom,794
deci,794
îl,794
prea,794
mulţumesc,793
să-l,793
cineva,792
oh,792
toate,792
ani,789
cel,789
suntem,789
vei,788
bun,788
sigur,788
vor,786
vrea,786
mare,786
îi,785
iar,785
până,785
cât,785
haide,785
crezi,784
încă,784
hei,783
stai,782
atât,782
totul,782
avea,782
venit,781
spui,781
ăsta,781
avut,780
m-am,780
lucru,780
să-ţi,779
văzut,778
fel,778
să-i,776
putem,776
ceea,776
n-am,775
să-mi,774
fără,774
ma,773
mama,773
place,772
aş,772
decât,772
asa,771
domnule,771
niciodată,770
regulă,770
mi-a,769
prin,767
esti,767
înainte,767
văd,767
mergem,766
unul,765
uite,765
puţin,765
hai,765
loc,765
nimeni,764
toată,764
apoi,763
vezi,763
dat,763
întâmplat,762
fii,762
l-am,762
naiba,761
nou,761
oameni,761
ia,759
facem,759
zi,758
acasă,758
multe,758
jos,757
lumea,757
două,757
toţi,757
nu-mi,757
daca,755
timpul,754
această,754
orice,753
oamenii,753
auzit,753
doi,752
dle,752
luat,752
fiecare,752
peste,752
vrut,751
înapoi,751
într-o,751
astea,751
aţi,750
aia,750
fiu,750
dintre,749
merge,749
lor,749
nişte,749
trei,749
numele,749
om,748
cea,746
găsit,746
cei,745
doamne,745
mele,744
te-ai,744
stiu,743
aceasta,743
du-te,742
viaţa,742
deja,742
ziua,742
duc,741
dată,741
parte,741
i-am,741
vino,740
destul,740
câteva,740
există,739
serios,739
gata,739
bani,739
vorbesc,738
ok,737
tatăl,737
aproape,737
vedem,737
afară,737
dau,736
numai,736
întâmplă,736
nostru,736
adevărat,736
noastră,736
înseamnă,736
într-un,736
una,735
vin,735
eram,734
locul,734
scuze,734
acesta,734
vine,733
repede,733
zis,733
fapt,733
ori,733
te-am,733
putut,732
grijă,732
tale,732
lucruri,731
singur,731
prima,731
casa,731
probabil,731
ajuns,731
cam,731
exact,730
ştie,730
sunteţi,730
dreptate,729
simt,729
tocmai,728
noapte,728
cele,728
târziu,728
trecut,727
zile,727
facă,727
mereu,727
adică,727
partea,727
seara,727
lucrurile,726
iau,726
unui,726
împreună,726
plecat,726
crezut,726
omule,726
fata,726
imediat,725
ne-am,725
spre,725
azi,724
ţi-am,724
departe,724
aceste,724
terminat,724
început,724
trebuia,723
iubesc,723
m-ai,723
stii,723
măcar,722
pierdut,722
tata,722
sub,722
copii,722
frumos,721
banii,721
mâine,721
n-ai,721
mi-am,721
mamă,721
mi,720
mei,720
treaba,720
l-ai,720
tată,720
plec,720
sus,719
păi,719
s-ar,718
vorba,718
ăla,718
greu,718
viaţă,718
vedea,718
mi-ai,717
d-le,717
dumnezeu,717
tipul,717
desigur,716
drumul,716
nu-ţi,716
minute,715
dracu,715
înţeleg,715
trebuit,715
dai,715
murit,715
ajuta,715
mie,714
femeie,714
idee,714
copil,713
aveţi,713
gândit,713
ultima,713
ale,713
moment,712
tip,712
primul,712
aceea,712
multumesc,712
pus,712
sper,712
noastre,711
data,711
merg,711
pic,711
s-au,711
dus,711
seama,711
erau,711
bune,710
aşteaptă,710
făcut-o,710
imi,710
spune-mi,710
lua,710
urmă,710
tare,710
griji,709
înţeles,709
cazul,709
poti,709
vreo,709
problema,709
buna,709
nu-l,709
cauza,708
între,708
ajunge,708
duci,708
ce-i,708
camera,707
ajutor,707
mort,707
noaptea,707
vorbim,707
corect,707
cand,707
întotdeauna,707
minunat,706
încercat,706
ele,706
poftim,706
îşi,706
ucis,706
ore,705
pune,705
vreodată,705
vorbeşti,705
fiul,705
ciudat,705
unei,705
dumnezeule,705
dr,704
ba,704
probleme,704
problemă,704
vorbit,704
adus,704
familia,703
simţi,703
lasă-mă,702
luni,702
vii,702
altă,702
cap,702
faţă,702
cer,702
ales,702
uită-te,702
crede,701
cale,701
credeam,701
te-a,701
ascultă,701
nicio,701
casă,700
duce,700
dă-mi,700
bucur,700
uitat,700
cunosc,699
acel,699
încredere,699
caz,699
facut,699
singură,699
joc,699
oricum,699
mergi,699
altceva,699
primit,698
asemenea,698
faţa,698
lume,698
ochii,698
acord,698
cinci,698
fată,698
veni,697
patru,697
mulţi,697
siguranţă,697
iei,697
lăsat,696
telefon,696
prins,696
fratele,696
băieţi,696
simplu,695
asta-i,695
salut,695
ţi-a,694
uşor,694
maşina,694
prieten,694
omul,694
dragă,694
i-ai,694
important,694
găsi,694
lângă,694
puteţi,693
grozav,693
doamnă,693
rau,693
câte,693
vina,693
zici,693
şi-a,692
vorbi,692
dolari,692
acea,692
pasă,692
mod,692
ne-a,691
faceţi,691
uh,691
pun,691
maşină,691
sunat,690
ești,690
mâna,690
ştim,690
rahat,690
tau,690
știu,690
pleci,690
prieteni,689
odată,689
pleacă,689
stau,689
drum,689
alte,689
as,689
astfel,689
curând,689
întors,689
ora,688
mi-e,688
mic,688
n-ar,688
doua,688
arată,687
alt,687
începe,687
nouă,687
de-a,687
singura,687
gând,687
treabă,687
trimis,686
capul,686
apă,686
copilul,686
posibil,686
singurul,686
soţia,686
alo,686
noroc,685
legătură,685
spate,685
adevărul,685
frumoasă,685
aveam,685
viata,685
împotriva,685
către,685
veţi,685
inima,685
lăsa,684
tăi,684
încearcă,684
niciun,684
rămâne,684
întoarce,684
oraş,684
să-şi,684
contează,684
auzi,684
prietenul,684
ştiţi,684
așa,684
nume,683
frate,683
bărbat,683
chestia,683
astăzi,683
familie,683
las,683
pleca,683
taci,683
întâmpla,683
spatele,683
domnul,683
copiii,682
încerc,682
mers,682
său,682
vreme,682
ştiam,682
pace,682
mersi,681
ajut,681
întorc,681
fiica,681
iti,681
an,681
le-am,681
deloc,681
motiv,680
john,680
pui,680
minte,680
întreb,680
înţelegi,680
oră,680
ţine,679
perfect,679
uita,679
mari,679
amândoi,679
știi,679
plecăm,679
sta,679
jack,679
erai,678
persoană,678
dupa,678
mâinile,678
ieşi,678
devreme,678
muncă,678
parcă,678
sora,678
fă,678
gândesc,677
rămas,677
fericit,677
amintesc,677
plac,677
sigură,677
revedere,677
dl,676
dimineaţa,676
mică,676
fiindcă,676
prost,676
acelaşi,676
vină,676
naibii,676
putin,675
urma,675
sună,675
vreţi,675
nebun,675
arma,675
buni,675
aduc,675
jumătate,675
sânge,675
intrat,675
ţi-ai,675
spune-i,674
sun,674
aud,674
acestea,674
moarte,674
dvs,673
cunoscut,673
numărul,673
restul,673
găsesc,673
undeva,673
mi-ar,672
faptul,672
cerut,672
asupra,672
pa,672
aduce,671
zic,671
doamna,671
drept,671
cumva,671
aflat,671
ah,671
momentul,671
vadă,671
jur,671
fim,670
toti,670
poliţia,670
luăm,670
drăguţ,670
ce-ai,670
sam,670
vreun,670
vrem,669
afara,669
ultimul,669
sa-l,669
moartea,669
echipa,669
întâi,669
care-i,669
genul,669
il,668
foc,668
dă,668
uneori,668
altfel,668
ştiut,668
stat,668
unele,668
acela,667
înăuntru,667
deschide,667
ati,667
pur,667
scris,667
abia,667
clar,667
trece,667
reuşit,667
ţi,667
dea,667
schimbat,666
dimineaţă,666
new,666
altcineva,666
uşa,666
prietenii,666
ii,666
devenit,666
ieri,665
dori,665
aibă,665
pământ,665
the,665
cameră,665
amice,665
tuturor,665
sex,665
afla,665
femei,664
frică,664
totuşi,664
sale,664
folosit,664
vorbeşte,664
normal,664
liber,663
într-adevăr,663
uit,663
intră,663
lasă,663
sfârşit,663
voiam,663
soţul,663
băiat,663
săptămâni,663
ăştia,663
l-au,663
încât,663
multă,663
greşit,662
război,662
milioane,662
găsim,662
trecută,662
ci,662
ideea,662
biroul,662
vazut,662
închisoare,662
v-am,662
exista,662
regula,662
pat,661
plus,661
întâlnit,661
muri,661
amuzant,661
sa-ti,661
zice,661
spital,661
arăţi,660
jurul,660
lovit,660
spună,660
suficient,660
trage,660
şansă,660
doctor,660
plăcere,660
draga,660
alea,660
domnilor,660
direct,660
petrecere,660
oricine,659
plăcut,659
felul,659
gura,659
ochi,659
ucide,659
traducerea,659
telefonul,659
special,658
şcoală,658
munca,658
niste,658
omorât,658
încerca,658
dispărut,658
voastră,658
întâlnire,658
unii,658
cheamă,658
haideţi,658
şase,658
ieşit,658
fara,657
complet,657
dragoste,657
zece,657
povestea,657
niciodata,657
sincer,657
arăt,657
dreapta,657
laşi,657
scrie,656
opri,656
unu,656
obicei,656
dumneavoastră,656
viitoare,656
vechi,656
aştept,656
îti,656
fugi,655
minut,655
însă,655
afaceri,655
ţie,655
plăcea,655
michael,655
şti,654
mâncare,654
dă-i,654
ajung,654
picioare,654
anul,654
schimb,653
întrebare,653
aer,653
atâta,653
charlie,653
puternic,653
toţii,653
rămâi,653
aminteşti,653
furat,653
intra,653
ajutorul,653
cafea,652
vad,652
promit,652
poveste,652
frank,652
scuză-mă,652
gândeam,652
deoarece,652
treci,652
toata,652
lucrez,651
luptă,651
film,651
întrebat,651
prietene,651
cat,651
anume,651
mamei,650
plece,650
bineînţeles,650
sa-i,650
mână,650
mor,650
vedere,650
iubito,650
seară,650
pana,650
dăm,650
întrebări,650
inca,650
dreptul,650
ceilalţi,650
lupta,650
sa-mi,649
apa,649
caut,649
voie,649
george,649
lucrat,649
săptămână,649
le-a,649
doctore,649
personal,648
agent,648
joe,648
tom,648
dracului,648
femeia,648
super,648
fete,648
sã,648
ajute,648
cunoşti,648
puterea,648
căpitane,648
birou,647
david,647
pregătit,647
mike,647
celor,647
york,647
adaptarea,647
mesaj,647
omoare,647
prietena,647
meargă,646
gândeşti,646
doresc,646
dor,646
staţi,646
cui,646
masina,646
absolut,646
aceeaşi,646
acele,646
persoane,646
accident,646
fiind,646
sunteti,646
crimă,646
părinţii,646
evident,646
mi-au,646
simte,646
pierde,646
încerci,645
oamenilor,645
ordine,645
domnului,645
spunem,645
schimba,645
ţin,645
uiţi,645
noua,644
stare,644
mici,644
continuă,644
învăţat,644
rând,644
salvat,644
ce-a,644
băiatul,644
trimite,644
plan,644
stă,644
caută,643
speriat,643
folosi,643
urăsc,643
planul,643
fiule,643
m-au,643
suna,643
închis,643
stie,643
foame,643
citit,643
secret,642
lucrează,642
omor,642
clipă,642
ţii,642
mulțumesc,642
simţit,642
privire,642
cauţi,642
presupun,642
văzut-o,642
opreşte-te,642
masă,642
alta,642
fetele,641
armă,641
cere,641
carte,641
max,641
află,641
femeile,641
teamă,641
rapid,641
termină,641
bea,641
mii,641
atat,640
veniţi,640
zona,640
potrivit,640
asculta,640
noştri,640
vostru,640
atent,640
ascultă-mă,640
oprit,640
primi,640
dintr-o,640
acasa,640
tatălui,639
băut,639
dragostea,639
cartea,639
alături,639
mintea,639
lumina,639
masa,639
că-i,639
priveşte,639
întreaga,639
echipă,639
arme,639
ocupat,639
cina,639
gură,639
droguri,638
baie,638
aduci,638
cuvânt,638
oară,638
stea,638
deschis,638
ocup,638
dormi,638
putere,638
dna,638
precum,638
corpul,638
răspunde,638
răspuns,638
poliţie,637
las-o,637
aminte,637
intre,637
oraşul,637
pericol,637
şeful,637
începem,637
ies,637
nebunie,637
săptămâna,637
uită,637
bravo,637
rost,637
dnă,636
iubit,636
puteam,636
credeţi,636
n-are,636
plin,636
câştigat,636
altul,636
spuneţi,636
fericită,636
luat-o,636
v-aţi,636
lună,636
fugit,636
vedeţi,636
aceşti,636
cealaltă,636
ti-am,636
decis,636
continua,635
modul,635
scumpo,635
încep,635
interesant,635
fiţi,635
crăciun,635
peter,635
petrece,635
celălalt,635
control,635
căzut,635
rănit,635
secunde,635
tem,635
punct,634
tati,634
noul,634
henry,634
totdeauna,634
fundul,634
crescut,634
tras,634
scoate,634
slujba,634
calea,634
ajuţi,634
greşeală,634
supărat,634
james,634
găseşti,634
doamnelor,634
promis,634
regele,634
conduce,633
scăpat,633
acestui,633
situaţia,633
sens,633
vorbească,633
um,633
luna,633
scuzaţi-mă,633
grija,633
cină,633
chestii,633
ajutat,633
vede,633
băiete,633
spunea,633
imposibil,632
diferit,632
doare,632
vremea,632
arata,632
aseară,632
acestei,632
luaţi,632
întorci,632
rece,632
n-au,632
permite,631
ţi-e,631
picioarele,631
lucrezi,631
n-aş,631
avocat,631
ben,631
atenţie,631
paul,631
printre,631
câţiva,631
vieţii,631
prinde,631
negru,631
muzica,630
hey,630
serviciu,630
merită,630
informaţii,630
rămân,630
cuvinte,630
ajungem,630
persoana,630
aveti,630
hotel,630
periculos,630
atac,630
legătura,630
micul,629
inainte,629
petrecut,629
indiferent,629
drăguţă,629
opt,629
general,629
proastă,629
unde-i,629
distrus,629
termina,629
scos,629
numit,629
ultimele,628
america,628
aflu,628
viitor,628
plătit,628
părea,628
par,628
propria,628
moară,628
afacere,628
poliţist,628
care-l,628
aruncat,628
ascuns,628
trec,628
adevarat,628
doctorul,628
încet,627
baza,627
alex,627
aur,627
apărut,627
folosesc,627
cuvântul,627
voastre,627
dorit,627
succes,627
mâncat,627
decat,627
arăta,627
devine,627
le-ai,627
ştia,627
plecaţi,627
câine,627
mary,627
dv,627
unchiul,627
băieţii,627
ăia,627
voia,626
sistemul,626
motivul,626
întâmple,626
închide,626
felicitări,626
lumii,626
jocul,626
sângele,626
pierd,626
familiei,626
vroiam,626
ajungi,626
trăiesc,626
cumpărat,626
moartă,625
nava,625
i-au,625
diseară,625
mori,625
danny,625
nenorocit,625
avion,625
înţelege,625
împuşcat,625
incredibil,625
aştepta,625
real,625
născut,624
locuri,624
intru,624
deveni,624
diferite,624
harry,624
doilea,624
întoarcem,624
secundă,624
jimmy,624
tatal,624
ce-ar,624
aș,624
ne-au,624
slujbă,624
nu-ti,623
ce-am,623
lista,623
bate,623
stăm,623
linişte,623
bere,623
plină,623
rea,623
apropo,623
păcat,623
semn,623
dimineata,623
pas,622
câţi,622
nord,622
petrecerea,622
gasit,622
tony,622
crede-mă,622
deasupra,622
salva,622
observat,622
sarah,622
trezit,622
punem,622
ti,622
final,621
nick,621
lucra,621
atinge,621
ajută-mă,621
pai,621
ne-ai,621
sfârşitul,621
jim,621
tânăr,621
minţi,621
lasa,621
bolnav,621
fă-o,621
minunată,621
ajută,620
sufletul,620
omori,620
exemplu,620
tai,620
poți,620
fund,620
deşi,620
companie,620
descoperit,620
poartă,620
lungă,620
stânga,620
alb,620
întâlnim,620
deranjează,620
trimit,620
grămadă,620
întrebi,620
funcţionează,620
nicăieri,620
okay,619
piciorul,619
sala,619
oferit,619
cadou,619
nimănui,619
iubire,619
bar,619
întoarce-te,619
jane,619
joci,619
noastra,619
legat,619
sud,619
you,619
credem,619
morţi,619
verificat,619
magazin,619
încercăm,619
următorul,619
mergeţi,619
pari,618
şapte,618
lăsăm,618
cuiva,618
scot,618
trăi,618
iisuse,618
vorbesti,618
mulţime,618
să-ti,618
ray,618
părul,618
uşă,618
oriunde,618
ştiai,618
depinde,618
richard,617
bill,617
zilele,617
doreşti,617
grea,617
simti,617
arestat,617
viitorul,617
port,617
căpitanul,617
hainele,617
capăt,617
adevărată,617
respect,616
episodul,616
ţară,616
detectiv,616
singuri,616
iubeşti,616
rupt,616
don,616
inapoi,616
joacă,616
grup,616
conduc,616
intamplat,616
primesc,616
vis,616
intampla,616
intr-o,616
chemat,615
bob,615
securitate,615
idiot,615
recunosc,615
aştepţi,615
alţii,615
ambele,615
punctul,615
billy,615
încetează,615
tommy,615
apartamentul,615
alege,615
mijlocul,615
glumeşti,615
mda,615
bătut,614
fetelor,614
ce-ţi,614
armele,614
interesează,614
aveai,614
paris,614
cine-i,614
oare,614
număr,614
armata,614
pariu,614
ia-o,614
criminal,614
mutat,614
majoritatea,614
suni,614
compania,614
sosit,614
căutat,614
regina,614
părăsit,614
iată,613
adresa,613
celelalte,613
veşti,613
sezonul,613
pierzi,613
strada,613
ascunde,613
metri,613
calmează-te,613
de-al,613
cheia,613
numesc,613
vorbă,613
jake,613
ceai,613
urât,613
minţit,613
angajat,613
ducem,613
stradă,613
încoace,613
marea,612
puteti,612
afacerea,612
surpriză,612
aşa-i,612
trag,612
ajungă,612
jucat,612
importantă,612
frumoase,612
asigur,612
prietenă,612
steve,612
usor,612
chestie,612
johnny,611
urmează,611
făcea,611
ni,611
glumă,611
purta,611
misiune,611
cal,611
bărbaţi,611
plătesc,611
curat,611
ce-mi,611
clasa,611
iese,611
prostii,611
distractiv,611
aşteptat,611
apel,611
juca,611
of,611
mişcă,611
club,611
ţara,611
multi,611
aşteptaţi,611
rândul,611
părinte,610
beau,610
dovezi,610
aşteptăm,610
continuare,610
scurt,610
distruge,610
trecem,610
rege,610
părere,610
des,610
cont,610
cã,610
sergent,610
m-aş,610
mănâncă,610
câteodată,610
căsătorit,610
nebună,610
gândeşte-te,610
daţi,610
will,610
întârziat,609
puternică,609
onoare,609
faca,609
vârsta,609
întâlnesc,609
obține,609
sînt,609
habar,609
filmul,609
dura,609
dintr-un,609
american,609
lasă-l,609
mami,609
dulce,609
iubeşte,609
intri,609
veche,609
porţi,608
ţinut,608
propriul,608
durere,608
apare,608
usa,608
dorm,608
baltă,608
placă,608
opreşte,608
gândi,608
londra,608
zonă,608
bunica,608
scuzaţi,608
carne,608
ne-ar,608
asteapta,607
următoarea,607
scape,607
căutăm,607
mişca,607
km,607
oferi,607
vocea,607
devin,607
rugăm,607
faceti,607
centrul,607
mulţumim,607
domnişoară,607
bobby,607
adica,607
mişto,607
controlul,607
vorbind,607
haine,607
uita-te,607
pământul,606
total,606
gol,606
vinovat,606
teren,606
linia,606
spectacol,606
aflăm,606
dificil,606
m-ar,606
ratat,606
lung,606
fbi,606
războiul,606
dra,606
soldat,606
prostie,606
condus,606
sute,606
legea,606
invitat,606
ați,606
zbor,606
dejun,605
ha,605
eddie,605
formă,605
numeşte,605
obosit,605
sunteți,605
ducă,605
proces,605
descurc,605
puţină,605
focul,605
bătrân,605
aşadar,605
lăsaţi,605
ruşine,605
opresc,605
apropie,605
uimitor,605
grăbeşte-te,605
urmărit,605
pauză,605
săturat,605
aveau,605
convins,605
ţi-o,605
groaznic,605
răspunsul,605
lumină,605
cutie,604
charles,604
plimbare,604
schimbă,604
radio,604
inimă,604
perfectă,604
robert,604
necesar,604
soţie,604
găsească,604
public,604
problemele,604
plăti,604
superi,604
afli,604
dans,604
ryan,604
nunta,604
wow,604
dră,604
datoria,604
scrisoare,604
ti-a,604
daniel,604
ceasul,603
limba,603
având,603
discutăm,603
norocos,603
energie,603
milion,603
dormit,603
dragul,603
acei,603
excelent,603
marele,603
pună,603
termin,603
motive,603
mâncarea,603
dincolo,603
mica,603
iasă,602
dă-te,602
oricare,602
victima,602
vi,602
obţine,602
uitaţi,602
casei,602
arătat,602
mark,602
mi-aş,602
unor,602
baieti,602
apreciez,602
favoare,602
date,602
fir-ar,602
mâini,602
şcoala,602
mişcare,602
ascult,602
ridicol,602
stop,602
i-ar,602
ala,602
avionul,602
rugat,602
lase,602
câştiga,601
crimei,601
mănânci,601
acces,601
sistem,601
cald,601
apartament,601
explic,601
iad,601
macar,601
doriţi,601
frumoasa,601
mândru,601
lee,601
morţii,601
cheile,601
întrebarea,601
preşedinte,601
veti,601
păcate,601
călătorie,601
implicat,601
adam,601
rămână,601
somn,601
mânca,601
chris,601
spune-le,601
hmm,600
aşteptam,600
ridică-te,600
tipi,600
liberă,600
te-au,600
găsit-o,600
câinele,600
creat,600
verde,600
scriu,600
maria,600
profesor,600
ofiţer,600
rezolva,600
listă,600
extrem,600
bei,600
huh,599
muzică,599
verific,599
bază,599
secrete,599
dan,599
frica,599
păr,599
prânz,599
sotia,599
ăsta-i,599
moare,599
siguranta,599
martin,599
fierbinte,599
animale,599
pete,599
miroase,599
arate,599
prezint,599
că-mi,599
navă,599
începi,599
ceri,599
iesi,598
intr-un,598
şef,598
îngrijorat,598
trăit,598
cuvintele,598
oras,598
neregulă,598
pahar,598
creierul,598
scăpa,598
bănuiesc,598
regulile,598
iubirea,598
misiunea,598
permis,598
oprim,598
inseamna,598
existat,598
atacat,598
corp,598
practic,598
vinde,598
est,598
l-aţi,598
ridicat,598
bunicul,598
neagră,598
eric,597
urgenţă,597
perioadă,597
treacă,597
puțin,597
tipii,597
ieşim,597
datorită,597
programul,597
kate,597
tv,597
cunoaşte,597
lucrul,597
lasa-ma,597
kevin,597
vândut,597
înţelegere,597
trist,597
băutură,597
asculţi,597
decizia,597
îndrăgostit,597
interior,597
durerea,597
viu,597
and,596
si-a,596
avocatul,596
it,596
interiorul,596
atâtea,596
te-ar,596
băgat,596
supărată,596
conform,596
aruncă,596
cadavrul,596
că-l,596
vizită,596
revenit,596
blocat,596
guvernul,596
linie,596
lovitură,596
or,596
trăiască,596
amy,595
bărbaţii,595
tragi,595
mesajul,595
explica,595
