Words,Score
я,1000
не,990
что,977
в,965
и,964
ты,960
это,958
на,927
с,921
он,911
мы,907
как,905
вы,904
да,903
мне,900
у,898
нет,898
меня,895
так,894
но,894
а,893
его,876
все,874
она,873
тебя,872
о,871
если,865
за,862
бы,861
тебе,860
они,854
чтобы,847
же,846
есть,843
просто,843
из,842
к,841
для,840
ну,840
когда,839
хорошо,839
здесь,837
по,835
был,834
знаю,834
то,833
только,833
всё,831
было,831
вас,828
может,828
нас,827
вот,825
от,825
быть,820
кто,817
будет,816
почему,816
вам,814
их,814
очень,813
могу,812
уже,812
спасибо,811
или,811
нам,810
еще,810
там,809
нужно,806
сейчас,806
где,806
чем,806
хочу,805
ничего,805
этого,804
была,802
мой,801
ее,800
ладно,800
знаешь,799
п,799
до,797
этом,797
потому,796
теперь,796
думаю,792
больше,791
её,791
со,789
раз,788
ему,787
надо,787
время,787
этот,785
ли,784
ещё,784
пока,783
даже,783
привет,783
сказал,782
себя,781
должен,780
тоже,779
хочешь,779
давай,778
что-то,777
никогда,777
эй,777
того,777
тогда,776
него,774
ни,774
тут,774
были,774
конечно,774
правда,774
об,773
моя,770
пожалуйста,768
тобой,767
сказать,767
сегодня,766
один,765
лучше,764
можешь,763
сюда,763
мной,763
значит,761
сделать,761
всегда,761
дело,759
можно,759
ей,759
должны,758
порядке,758
без,757
день,756
том,756
буду,755
делать,753
хотел,753
чего,752
эти,752
много,752
после,751
этим,751
всего,750
во,750
твой,749
ним,749
лет,747
боже,747
них,747
сэр,746
ведь,746
мистер,746
жизнь,745
потом,745
ней,745
такой,745
который,744
всех,744
через,743
им,743
возможно,743
немного,743
такое,743
слишком,742
себе,742
зачем,741
должна,740
моей,739
люди,739
знаете,739
этой,738
думаешь,738
свою,737
точно,737
человек,736
твоя,736
под,736
сказала,736
назад,735
из-за,735
эту,735
можем,734
случилось,734
мама,733
мог,733
вместе,733
отец,733
сделал,733
мои,732
кажется,732
друг,732
куда,732
никто,731
поэтому,730
эта,730
которые,729
два,729
тот,728
сколько,728
понимаю,728
снова,728
жизни,728
нравится,727
людей,726
помочь,726
видел,726
люблю,725
хочет,724
место,724
знать,724
кто-то,724
прости,724
отлично,724
похоже,724
парень,723
домой,723
всем,723
деньги,722
иди,722
времени,721
дома,721
именно,721
доктор,721
думал,720
говорил,720
делаешь,720
будем,720
прямо,719
стоит,719
поговорить,719
найти,719
разве,719
слушай,719
своей,719
лишь,719
ага,718
можете,718
простите,718
хотела,718
сам,717
что-нибудь,717
тем,717
будешь,716
прошу,715
три,714
деле,714
хотите,714
говорить,714
давайте,714
совсем,714
знал,714
знает,713
какой,713
моего,713
скажи,713
дом,712
дела,712
вами,712
свои,712
ж,711
говорит,711
несколько,711
должно,711
про,711
ваш,710
происходит,710
жаль,710
туда,710
действительно,709
папа,709
завтра,708
оно,708
черт,708
одна,707
перед,707
наш,706
уверен,706
отсюда,706
нужна,706
самом,706
тех,705
нужен,705
свой,705
мою,705
кого,704
верно,704
работу,704
каждый,703
твоей,703
будут,703
хватит,703
понял,703
нее,702
уж,702
имя,702
против,702
кое-что,701
пор,701
чём,701
раньше,700
говорю,700
более,699
надеюсь,699
итак,699
при,699
ваша,699
вообще,699
пошли,699
мать,699
нельзя,698
наверное,698
нами,698
твои,698
могли,697
дай,697
ради,697
всю,697
ребята,696
ко,696
хотя,695
понимаешь,695
идти,695
