Words,Score
de,1000
que,1000
no,991
la,972
el,960
es,956
en,954
lo,947
un,943
por,929
qué,925
me,921
una,920
los,906
se,906
te,905
con,905
para,901
está,892
mi,891
pero,890
sí,890
si,890
bien,881
eso,881
su,880
las,880
yo,877
del,868
como,868
aquí,867
tu,867
al,865
más,863
le,860
esto,854
todo,854
ya,845
estoy,843
ahora,843
muy,843
ha,842
esta,841
así,841
vamos,841
algo,840
hay,839
bueno,839
tengo,835
él,834
estás,833
sé,832
tú,832
nos,829
nada,829
cómo,829
este,829
he,826
ser,826
tiene,825
puedo,825
ella,824
quiero,824
hacer,824
fue,823
gracias,823
vez,822
era,822
soy,820
sólo,820
todos,815
porque,815
son,814
tienes,814
creo,812
voy,811
sabes,811
puede,810
eres,810
ese,809
usted,809
entonces,808
hola,807
solo,806
verdad,806
casa,806
tan,804
quién,803
sus,803
tiempo,802
dos,802
esa,802
nunca,802
dónde,801
va,800
oh,800
favor,799
mucho,798
mí,798
quieres,798
siento,797
señor,797
mejor,796
hace,795
has,795
decir,795
también,794
sobre,793
dios,793
sin,793
tenemos,793
están,792
ti,792
puedes,791
ver,791
hombre,791
vida,790
alguien,789
cosas,786
siempre,786
hasta,786
ahí,786
ir,784
años,784
antes,783
estar,783
ni,783
poco,782
día,782
uno,781
noche,781
hecho,781
mis,780
estamos,779
otra,777
acuerdo,777
trabajo,777
nosotros,776
parece,775
gente,775
sea,775
padre,774
mira,774
mismo,774
dijo,773
nadie,772
quiere,771
podría,771
hablar,770
vas,770
ellos,770
tal,768
pasa,768
fuera,767
después,767
han,767
desde,766
dinero,765
mundo,765
claro,764
momento,764
les,764
tener,763
estado,763
otro,763
había,763
mañana,761
tenía,761
madre,761
vale,761
lugar,761
donde,760
seguro,760
sabe,759
podemos,759
tus,759
espera,759
nuevo,759
sido,758
cosa,758
hijo,758
allí,758
menos,757
tipo,757
amigo,756
gran,756
nuestro,755
mujer,754
mamá,753
luego,753
papá,752
días,752
dice,752
hoy,752
tres,751
buena,751
necesito,751
dije,750
oye,750
gusta,750
quería,749
será,749
haber,749
parte,749
todas,748
crees,748
buen,747
conmigo,747
nombre,747
mierda,747
nuestra,747
mal,746
debe,746
realmente,746
estas,745
aún,745
mío,744
toda,744
hacerlo,743
cada,743
visto,742
importa,741
contigo,741
tienen,741
hemos,740
razón,740
alguna,740
tanto,740
saber,739
hizo,739
veces,739
serio,739
ven,738
idea,738
eh,738
tarde,738
problema,737
hora,737
cierto,737
dicho,737
quien,736
demasiado,735
amor,735
entre,734
ve,734
pasado,734
familia,733
estos,733
policía,732
debería,732
ustedes,732
chica,732
esos,731
chicos,730
cuenta,730
haces,729
todavía,729
salir,729
algún,728
vaya,728
unos,728
veo,728
amigos,727
hermano,727
pensé,727
sabía,725
cabeza,725
ah,725
cariño,724
digo,724
van,724
hombres,724
buenas,724
somos,723
cualquier,723
forma,723
mientras,723
lado,723
debo,722
sería,722
caso,722
pueden,722
pasó,721
primera,721
genial,721
chico,721
supuesto,721
hice,720
pues,720
adiós,720
muchas,720
personas,720
señora,720
volver,719
esas,719
quizá,719
contra,719
camino,719
durante,719
manera,718
muerto,718
persona,717
rápido,717
cuál,717
ayuda,717
historia,717
iba,717
supongo,716
nueva,716
dentro,716
casi,716
puerta,716
ves,716
pasar,715
primero,715
significa,715
semana,714
hacia,714
quizás,714
espero,714
juntos,714
año,714
niños,714
pronto,713
tío,713
suerte,713
ciudad,713
siquiera,713
feliz,712
venir,712
hija,711
gustaría,711
minutos,711
cuánto,711
os,711
hey,711
muerte,710
dejar,710
realidad,710
deja,709
problemas,709
vi,709
da,709
importante,709
dijiste,709
corazón,709
miedo,709
jefe,709
agua,708
haré,708
justo,708
horas,708
poder,707
buenos,707
esposa,707
manos,707
debes,707
viene,706
venga,706
nuestros,706
ojos,706
adelante,706
encontrar,706
mano,706
cinco,705
niño,705
ninguna,705
otros,705
cara,705
cuidado,705
bajo,705
cerca,704
viejo,704
déjame,704
