Words,Score
jag,1000
det,995
är,985
du,978
att,958
inte,956
en,937
och,935
har,927
vi,927
på,924
för,910
han,905
med,903
som,903
om,902
var,902
vad,901
mig,899
här,899
dig,896
så,892
den,891
kan,888
till,887
de,881
men,873
ett,868
ska,867
ni,867
av,863
hon,858
vill,858
ja,853
vet,853
nu,852
nej,848
bara,848
hur,845
min,844
kommer,841
där,839
måste,838
honom,838
gör,834
din,833
skulle,830
när,829
då,827
kom,826
ha,824
bra,823
får,820
man,820
vara,820
oss,817
ut,817
ta,815
er,814
göra,814
okej,810
eller,808
hade,808
från,808
varför,807
dem,807
alla,806
tror,803
sig,802
allt,802
henne,801
upp,800
sa,800
ingen,799
tack,799
gå,797
in,797
igen,796
få,794
nåt,792
se,791
går,788
mycket,786
hej,785
vem,785
kanske,785
lite,785
behöver,784
ser,783
mitt,783
aldrig,782
finns,780
än,779
inget,778
efter,778
blir,776
ju,773
hans,773
sen,772
bli,772
gjorde,770
två,770
nån,769
tillbaka,769
tar,768
mer,768
något,767
över,766
säger,764
fick,762
ditt,762
ge,760
väl,759
också,759
mina,758
åt,757
nog,755
fan,754
kunde,754
år,754
säga,753
någon,752
mamma,752
varit,751
ner,750
ville,749
vänta,749
mot,749
pappa,749
andra,749
borde,748
känner,747
rätt,746
vid,745
några,745
hela,744
såg,742
hit,742
prata,741
komma,741
låt,741
detta,740
gjort,740
blev,739
själv,739
tog,738
alltid,738
vår,737
utan,737
fel,736
hem,736
mr,736
dag,736
dina,735
liv,735
menar,734
verkligen,734
visst,732
va,731
förstår,731
sin,731
tid,730
trodde,730
gick,729
älskar,729
sätt,729
berätta,728
tänker,728
döda,728
veta,728
tre,727
många,727
folk,726
sluta,726
precis,726
inga,725
hennes,724
titta,724
innan,724
visste,723
gillar,723
barn,723
bättre,723
hjälpa,723
under,723
förlåt,722
gång,722
bort,721
hjälp,721
händer,720
just,720
helt,719
säg,719
tycker,719
första,716
död,716
håll,715
länge,715
hör,715
sett,715
ledsen,714
snälla,714
saker,714
hitta,713
fortfarande,711
står,710
pengar,710
god,710
samma,709
sir,709
ens,709
ursäkta,709
heter,708
håller,708
vilken,707
enda,707
gud,707
våra,706
hand,706
borta,706
mår,705
hallå,705
hände,705
ur,705
problem,704
vän,704
ger,704
stanna,704
sak,703
dom,703
försöker,703
låter,703
far,703
kvar,702
väg,702
annan,701
redan,701
längre,701
jävla,701
helvete,700
pratar,700
väldigt,700
åh,699
herregud,699
vart,699
dit,699
kväll,698
morgon,698
fått,697
snart,696
ute,696
fråga,696
sitt,696
tiden,696
kör,695
deras,695
tänkte,695
namn,695
verkar,694
tro,694
jo,694
varje,693
fram,693
bästa,693
fru,693
först,693
träffa,692
säkert,692
slut,692
sedan,692
hos,691
ingenting,691
därför,691
åka,691
visa,690
säker,690
lämna,690
börjar,690
vägen,690
genom,690
gav,689
härifrån,689
jobb,689
hålla,688
son,688
stor,688
vänner,688
hittade,688
annat,688
hoppas,686
sina,686
hörde,686
vilket,686
kolla,686
minns,686
ihop,686
rädd,686
sista,685
även,684
era,684
sex,684
vårt,684
kunna,684
ses,683
del,683
nästa,683
fem,683
livet,683
nya,682
människor,681
bilen,681
dö,680
riktigt,680
klarar,680
höra,680
tills,680
liten,679
betyder,679
tänk,679
tag,679
lyssna,679
polisen,678
ändå,678
sagt,678
hemma,678
sant,678
världen,678
fast,677
faktiskt,677
ligger,677
skit,677
idag,676
minuter,676
familj,676
runt,676
blivit,676
klart,675
fall,675
väntar,674
dog,674
fyra,674
dra,674
dollar,673
