Words,Score
เธ,1000
เน,961
โอเค,919
ๆ,882
อะไรนะ,830
อะไร,811
และ,810
เธฒเธ,794
เธญเธ,794
เธตเน,777
โอ,776
เธฑเธ,772
ทำไม,772
ไป,767
บรรยายไทยโดย,758
เธกเน,742
ผม,739
ตกลง,733
นะ,727
เหรอ,726
เออ,725
คน,719
ไง,718
ขอโทษนะ,716
ขอบใจ,707
ขอโทษ,706
เธธเธ,701
อา,698
เธฅเน,694
หา,689
โ,686
เธอ,686
ช,686
เธดเธ,685
แซม,684
เธงเน,683
เอาละ,683
บาย,682
เธฒ,681
เธฑเน,681
เธฒเน,678
ผมขอโทษ,676
พวก,672
เธซเน,670
เธงเธ,668
ไปเถอะ,662
มาเถอะ,658
เอาเลย,658
เธญเน,657
นาย,653
เลย,652
ออกไป,648
เธฐ,643
มา,643
เธฃเธ,643
ใคร,642
เขา,639
เธกเธ,638
เธกเธฑเธ,634
เธฐเธ,633
เธซเธ,632
ขอบใจนะ,632
ใน,632
คะ,629
สอง,628
เธฃเน,627
เรา,626
พวกเรา,626
อะไรเหรอ,622
ไปเลย,620
เธฐเน,617
แหม,614
จาก,612
ทอม,610
เธง,609
เพราะ,605
ขอโทษนะคะ,604
ของ,604
สาม,603
ไฮ,602
ถอยไป,602
ฮะ,601
เธณเน,601
เธฅเธ,600
เธนเธ,599
เธทเน,596
ตกลงไหม,594
เธญเธขเน,594
เจค,593
เธฃเธฒเธ,592
โจ,591
เบน,590
ณ,590
โอเคไหม,589
หรอ,589
แก,588
ขวบ,588
เจน,587
สเตฟาน,587
ดร,586
พอล,583
อาจจะ,582
เธฃเธนเน,581
โอเคนะ,579
สาวๆ,579
เธฃเธฑเธ,579
แดน,578
เฮ,577
เจฟ,576
เธกเธฒเธ,576
เอ,576
มาเลย,576
เธฃเธทเน,575
เธฒเธขเธ,573
เรเชล,573
เธฃเธดเธ,569
ชม,569
เธนเน,568
เธถเธ,567
เธญเธขเธนเน,566
เธต,565
อะ,564
โอว,564
ตาย,564
น,563
ประมาณ,563
เธณเธ,562
เธถเน,561
เดอะ,560
เธตเธ,559
เธซเธฃเธญ,559
ทำไมเหรอ,559
ไปซะ,557
หมอ,557
เธข,556
จอช,555
เธฃ,555
เธกเธตเธ,553
เธญเธฐเน,553
เธขเธ,551
เธชเธ,550
เธฒเธขเน,550
พวกเขา,549
ผมเอง,549
เธฒเธฃเธ,549
อาเบด,549
เพลง,549
เธฅเธฐเธ,548
เธญ,548
เธขเน,546
เดฟ,544
หมอบลง,544
โมง,544
พวกนาย,543
เนท,543
เคท,541
เจส,540
เอาหละ,539
โบ,539
ใ,538
เธดเน,536
นา,535
โกหก,535
เธฒเธฃเน,534
เธญเธฃเน,534
แอนนา,534
เธฃเธฐเธ,534
วอน,534
ทำไมละ,534
