Words,Score
،,1000
لا,963
من,960
في,947
أن,944
هذا,940
على,921
ما,915
أنا,910
هل,906
و,901
يا,899
ذلك,898
لقد,897
لم,888
ماذا,883
كان,878
هنا,878
إلى,874
أنت,874
هو,868
هذه,865
عن,863
نعم,859
ان,857
هناك,854
كل,853
حسناً,852
ليس,850
كنت,849
فقط,845
شيء,844
الآن,843
مع,842
الذي,842
لكن,839
أجل,837
لك,832
يجب,831
لن,831
كيف,828
حسنا,823
انا,822
لي,819
إنه,819
سوف,819
نحن,818
إذا,816
كانت,815
عندما,815
أي,814
قد,813
لماذا,812
هي,812
الأمر,812
أنه,812
فى,811
حتى,809
بعد,809
كذلك,806
أو,803
ولكن,802
قبل,801
التي,800
انه,799
إنها,799
ـ,798
لو,798
ربما,797
أين,797
هيا,797
تلك,796
أعرف,796
الى,794
إن,793
يكون,793
بعض,792
أريد,791
أعتقد,789
انت,787
عليك,787
مثل,785
صحيح,785
به,784
أنك,783
الوقت,782
بخير,781
أعلم,780
أحد,779
شخص,779
جداً,778
رجل,777
شكراً,777
لذا,777
يمكن,776
كما,776
كلا,776
أكثر,776
يبدو,774
جيد,774
تكون,774
علي,773
اليوم,772
يمكنك,770
انها,770
أليس,770
مرحباً,770
لدي,768
عليه,767
آخر,767
لست,767
منذ,767
غير,766
أيها,765
لديك,765
حقاً,765
أنتِ,764
تريد,763
أستطيع,763
الرجل,762
تعرف,762
له,761
مرة,760
لدينا,760
أنها,760
يمكنني,760
بأن,759
واحد,759
أنني,758
أوه,757
سيكون,757
الناس,756
ليست,756
حدث,756
بها,755
أيضاً,754
أفضل,754
الكثير,753
علينا,753
سيدي,753
مكان,752
تفعل,752
وقت,752
يكن,752
ط,751
شئ,751
بهذا,751
وأنا,750
اذا,750
جدا,749
بي,749
أخرى,749
آسف,749
بك,749
رائع,746
بذلك,746
كم,745
إذاً,745
ثم,744
شيئاً,744
يوجد,744
واحدة,743
ولا,742
قلت,742
يحدث,741
بالطبع,740
شكرا,740
مرحبا,740
يوم,739
أبي,739
معك,738
لها,738
معي,738
سيد,738
تعلم,736
إذن,736
العمل,736
تم,735
المكان,735
الليلة,735
إلهي,734
لهذا,734
فعل,734
هكذا,734
أمي,733
لذلك,733
ألا,732
لـ,730
الان,729
حول,729
بما,728
حقا,728
الحقيقة,728
الجميع,727
يمكننا,727
بالتأكيد,726
لأن,726
لديه,726
لنا,725
خلال,725
ظ,725
بشكل,724
العالم,723
فحسب,723
حال,723
الذهاب,723
عليها,722
بـ,722
أعني,722
فعلت,722
قال,721
هم,721
المنزل,721
عنه,720
ها,720
بشأن,720
أفعل,719
أكون,719
اللعنة,719
للغاية,719
فيه,719
بين,719
أننا,718
منك,718
وهذا,718
لكِ,718
جيدة,717
يعني,717
مجرد,717
أظن,716
انك,716
مني,715
أنّ,715
بالنسبة,715
الأمور,715
فكرة,715
أم,715
متى,714
الشيء,714
المال,714
كنا,714
أقول,714
عمل,714
أبداً,714
ستكون,713
عليّ,713
أيّ,713
أمر,712
تقول,712
توقف,712
هؤلاء,712
السيد,711
انظر,711
لما,711
منه,710
الطريق,710
أشعر,710
حصلت,710
الحياة,710
أني,710
نفس,709
معه,709
بحاجة,709
بسبب,709
الذين,708
تستطيع,708
بأس,708
اي,708
بدون,708
لكم,708
تبدو,708
أرى,707
الجحيم,707
تكن,707
اعتقد,707
عند,706
آسفة,706
حيث,706
دائماً,706
وأنت,706
تحت,705
حسنًا,705
تعال,705
بالفعل,704
بل,704
فضلك,704
الأشياء,704
ليلة,704
نفسك,704
لكي,704
تعتقد,703
وهو,703
بحق,703
مشكلة,703
شيئا,702
أرجوك,702
أذهب,702
يريد,702
تماماً,702
الـ,702
الوحيد,702
قتل,701
إنهم,701
الشخص,701
رأيت,701
عزيزتي,701
طوال,700
بهذه,700
الشرطة,700
الأن,700
أحب,700
الذى,700
أيضا,699
بنا,699
أردت,699
أكن,698
كلّ,698
النار,698
سمعت,698
اجل,698
جميع,697
أَنْ,697
قليلاً,697
مالذي,697
بأنه,697
والآن,697
إلي,696
انتظر,696
فتاة,696
كبير,696
يعرف,696
او,696
فيها,696
حسنٌ,696
الرجال,696
اريد,695
لأنه,695
السبب,695
سنوات,695
الباب,695
نذهب,695
دون,695
حياتي,695
لابد,695
السيارة,694
تريدين,694
خارج,694
ومن,694
ثلاثة,694
فعله,693
تذهب,693
كانوا,693
اذهب,693
الحصول,693
يقول,693
الواقع,693
كثيراً,693
اعرف,692
أنهم,692
سبب,692
كبيرة,692
مما,691
أحتاج,691
قمت,691
إنّه,690
منها,689
كنتُ,689
للتو,689
استطيع,689
نوع,689
هنالك,689
تعرفين,689
جميلة,688
بكل,688
دولار,688
بأنك,688
لأنني,688
الأفضل,688
دائما,688
جديد,687
الامر,687
اين,687
بالضبط,687
جون,687
دعنا,687
أنظر,687
المدينة,686
الخاص,686
تعلمين,686
جميل,686
بسرعة,686
الأرض,686
لحظة,686
الطريقة,686
طريقة,686
رائعة,686
سعيد,685
دقيقة,685
لكنه,685
غرفة,685
إليه,685
التحدث,685
ثانية,685
دعني,685
لكنني,685
الفتاة,684
لمَ,684
ولم,684
أنتم,684
عظيم,684
انهم,683
اوه,683
جيداً,682
لديّ,682
بينما,682
نفسي,682
إليك,682
قام,682
لديها,682
عام,682
اعلم,682
يعمل,682
سأكون,682
عيد,682
رفاق,681
ألم,681
لهم,681
تعمل,681
تتحدث,681
القيام,681
الله,680
ساعة,680
المرة,680
هيّا,680
ترى,680
مهلاً,680
جاك,679
أنتَ,679
الخير,679
متأكد,678
جميعاً,678
أحاول,678
شيئ,678
الموت,678
رقم,678
منهم,678
سيارة,678
مجدداً,678
ايها,677
عنك,677
يفعل,677
فقد,677
ذهبت,677
المزيد,677
أتمنى,677
مات,676
يتم,676
لكني,676
طريق,676
وجدت,676
وقد,676
أول,676
معها,676
سعيدة,675
لدى,675
أقصد,675
إلا,675
صباح,675
الرئيس,675
احد,675
فرصة,675
الأولى,675
تباً,675
يرام,675
عليكِ,674
يكفي,674
علاقة,674
صغيرة,674
الأقل,674
لأنك,674
غريب,674
لنذهب,674
المدرسة,674
ــ,674
الصباح,674
أفهم,674
حين,674
صديقي,674
سأذهب,673
أنكِ,673
تأتي,672
الخاصة,672
أخبرني,672
تقوم,672
نستطيع,672
نفسه,672
التى,672
الأطفال,672
حالة,672
لى,672
هى,672
يستطيع,672
يجري,671
سنة,671
نفعل,671
أتعلم,671
نهاية,671
أفكر,671
أود,671
عشر,670
شىء,670
أقوم,670
الحب,670
أنّه,670
كنتِ,670
معاً,670
أى,669
انني,669
لديهم,669
جديدة,669
يعلم,669
قالت,669
بدأت,669
الأول,669
دقائق,669
عني,668
سيدة,668
حالك,668
إنني,668
عزيزي,668
رجال,667
نعرف,667
الجنس,667
؛,667
رؤية,666
ينبغي,666
الي,666
حصل,666
معنا,666
الطفل,666
وليس,666
كي,666
تحتاج,665
قليلا,665
حياة,665
اسمع,665
الساعة,665
أكبر,665
اليس,665
فهمت,665
عنها,664
أريدك,664
رجاءً,664
تفعله,664
وماذا,664
ظننت,664
سيدتي,664
البعض,664
الصغير,664
تعني,663
إنّها,663
البيت,663
رأيك,663
تكوني,663
هُنا,663
والدك,663
مهما,663
العودة,663
تماما,662
لطيف,662
يقوم,662
السجن,662
