Words,Score
jeg,1000
det,1000
er,999
du,980
ikke,962
at,946
en,941
og,935
har,933
vi,924
til,917
på,914
hvad,909
med,908
så,906
for,906
mig,905
der,904
han,902
dig,902
de,900
den,900
kan,897
af,889
var,889
vil,887
her,877
et,876
skal,875
men,872
ved,869
om,867
nu,860
ja,859
som,856
hun,854
nej,852
min,850
noget,849
ham,847
være,840
bare,840
din,839
hvor,836
må,834
hvis,833
os,831
kom,831
ud,830
dem,829
godt,825
fra,825
have,825
ville,823
se,821
gør,817
okay,811
hvorfor,807
alle,807
lige,806
op,804
hende,803
sig,802
hvordan,800
tror,800
tak,798
gøre,797
kunne,795
lad,795
havde,794
eller,794
kommer,794
meget,793
nok,791
få,791
da,791
ingen,791
man,790
gå,788
går,788
hvem,788
bliver,788
efter,787
sagde,786
tilbage,785
når,785
alt,784
måske,782
også,779
jo,778
mit,777
ind,777
vores,776
hej,776
mere,775
hans,775
skulle,775
blev,775
nogen,775
lidt,775
aldrig,774
får,774
siger,773
selv,773
far,773
over,773
to,772
kun,769
sådan,768
ser,768
dit,766
jer,766
igen,766
mor,765
sammen,765
tager,764
mand,761
hele,760
deres,758
dag,758
tage,757
mine,757
sige,756
gjorde,756
fordi,756
end,755
undskyld,755
før,755
været,755
komme,755
hold,753
væk,753
dette,752
blive,751
år,751
ned,751
helt,750
fik,750
tid,749
denne,748
god,748
gang,748
nogle,746
laver,746
sted,744
mange,743
folk,741
dine,741
tale,741
mener,740
tag,739
ting,739
siden,739
finde,737
altid,737
brug,737
stadig,735
hjem,734
virkelig,734
åh,733
fint,731
anden,731
lille,730
kender,730
andre,730
elsker,729
liv,729
intet,729
tog,729
ret,728
gerne,727
uden,727
vent,726
hendes,724
vel,724
lide,724
hjælpe,723
set,723
mod,722
tre,722
vide,721
gud,721
gik,721
klar,720
bedre,720
vej,719
gjort,719
sidste,718
sker,718
død,718
samme,716
vidste,716
sin,714
fanden,714
forstår,713
arbejde,713
nå,713
hør,713
første,713
giv,713
penge,713
hjælp,712
andet,711
hen,711
ven,711
giver,711
aften,710
blevet,710
jeres,710
give,710
burde,709
høre,707
taler,706
længe,705
eneste,705
morgen,705
endnu,704
under,704
holde,704
fandt,704
bruge,703
skat,703
synes,702
bedste,702
står,701
venner,701
fortælle,700
sikker,700
finder,700
vær,699
navn,699
skete,699
måde,698
tro,698
døde,698
sikkert,697
hos,695
selvfølgelig,695
holder,694
par,693
hedder,693
nødt,693
flere,693
fået,693
behøver,692
hver,692
først,692
engang,690
vist,690
verden,690
betyder,690
ude,690
ellers,689
snart,689
stop,689
stor,689
sir,688
bange,688
børn,688
næste,687
faktisk,687
gav,686
søn,686
pige,686
fyr,686
prøver,685
ked,685
derfor,684
hallo,683
familie,683
gange,682
gode,682
tiden,682
øjeblik,682
store,682
lade,682
nye,682
lave,681
ligesom,681
alene,680
mænd,679
møde,679
ihjel,679
skyld,679
sagt,679
gamle,679
dage,679
galt,678
mennesker,678
kone,678
mr,678
altså,678
ses,677
fundet,677
arbejder,677
grund,677
slags,676
stille,676
én,676
fem,676
hvornår,676
taget,675
ønsker,675
dø,674
rigtig,674
glad,674
orden,674
huske,674
længere,674
kommende,674
disse,673
farvel,673
slå,673
hørte,673
lyder,672
begge,672
bil,672
dræbe,671
hinanden,671
hørt,671
del,671
rigtigt,671
minutter,671
barn,671
politiet,671
fejl,670
senere,669
bilen,669
håber,669
kvinde,669
hører,669
haft,668
virker,668
herfra,668
fire,667
tænkte,667
kommet,667
sket,667
dør,667
hus,667
fortæl,667
rolig,667
venter,666
hurtigt,666
frem,666
klare,666
kører,666
ny,666
heller,666
spørgsmål,665
langt,665
rundt,665
bror,665
næsten,665
hvilken,665
byen,665
bliv,665
allerede,665
sandt,664
gået,664
livet,664
pas,664
leder,663
bør,663
indtil,663
fortalte,663
side,663
inden,662
hellere,662
ringer,662
bad,661
imod,661
videre,661
hey,661
tænker,661
lort,661
ingenting,660
mens,660
beklager,660
pis,659
sit,659
problem,659
ord,659
vejen,659
sød,659
ondt,659
dreng,659
sent,658
sjovt,658
sæt,658
klarer,658
lang,657
job,657
inde,657
datter,657
problemer,657
timer,657
hr,656
prøve,656
svært,656
køre,656
nogensinde,656
bag,656
lader,655
snakke,654
færdig,654
vise,654
stedet,654
ligner,653
ti,653
dræbte,653
egen,652
gammel,652
hjemme,652
ok,651
forbi,651
tænk,651
fantastisk,651
dog,651
bor,651
mad,651
fri,650
pengene,650
sidder,650
tænke,650
stoppe,650
gennem,650
sammenhængende,650
føler,649
omkring,649
ad,649
ske,649
igennem,649
mellem,649
velkommen,648
kæft,648
måtte,648
ringe,648
hader,648
fat,648
jack,647
løb,647
stå,647
spise,647
vente,647
chance,647
flot,646
ligger,646
slet,646
nyt,646
slap,645
døren,645
våben,645
slår,645
kalder,645
husker,645
handler,644
ring,644
passer,644
