Words,Score
ik,1000
je,993
het,979
de,976
dat,968
is,965
een,957
niet,954
en,939
van,924
wat,920
we,919
in,916
ze,913
hij,910
te,909
zijn,906
op,904
maar,904
er,901
met,895
voor,895
die,895
heb,893
me,892
als,889
was,882
ben,877
om,874
dit,871
mijn,870
aan,868
dan,865
naar,865
weet,864
hier,862
zo,860
jij,860
kan,860
geen,858
nog,857
ja,856
hem,855
heeft,855
wel,854
moet,854
wil,853
hebben,852
goed,850
haar,848
nee,847
hoe,844
nu,843
waar,841
over,839
ook,838
doen,836
uit,835
zou,834
ga,833
of,833
gaan,832
bent,832
mij,832
bij,831
al,829
ons,826
had,824
iets,824
daar,823
jullie,823
gaat,822
zal,822
hebt,822
kom,821
waarom,821
meer,821
deze,816
moeten,811
laat,810
kunnen,810
dus,809
jou,807
denk,806
wie,806
alles,804
echt,804
doe,803
door,803
alleen,801
toch,799
zien,798
weg,796
eens,796
man,794
misschien,794
laten,793
nooit,792
nou,792
zei,791
terug,791
oké,790
mee,790
niets,788
iemand,788
komt,785
toen,785
veel,784
even,783
onze,783
gewoon,782
weten,781
komen,781
nodig,781
mensen,780
tot,780
worden,778
zeggen,778
tijd,778
weer,777
leven,777
twee,776
net,775
tegen,775
maken,773
uw,773
zeg,772
omdat,772
zit,771
wordt,771
hou,770
kijk,769
heel,769
wij,769
altijd,767
mag,767
gedaan,767
dood,766
zeker,765
af,763
jaar,762
hun,762
wilde,761
dag,761
allemaal,761
jouw,761
huis,760
dacht,760
doet,760
vader,760
kunt,759
wacht,758
zie,757
vrouw,757
keer,756
zoals,756
andere,756
zij,755
dank,754
anders,754
geef,754
waren,754
willen,754
zich,753
bedankt,752
één,752
mr,752
erg,752
wilt,752
praten,751
spijt,750
geld,750
kon,750
werk,750
oh,750
iedereen,750
beter,750
werd,749
moeder,749
niemand,749
vinden,748
staat,748
gezien,748
niks,748
binnen,746
zitten,746
zullen,745
na,744
helpen,744
wist,744
vind,743
genoeg,742
sorry,741
vast,740
elkaar,740
ging,740
uur,740
klaar,740
hele,740
neem,739
leuk,739
natuurlijk,738
alle,738
god,737
maak,737
lang,737
kwam,736
graag,736
hé,736
toe,736
drie,736
zegt,736
bedoel,735
deed,735
dingen,735
maakt,735
alsjeblieft,734
eerste,734
krijgen,734
zonder,733
steeds,733
hallo,733
houden,733
vertellen,732
ziet,732
idee,732
geven,731
achter,731
geweest,730
blijven,730
helemaal,730
mooi,730
onder,729
kijken,729
zag,729
goede,729
naam,728
moest,728
blijf,728
kun,727
auto,727
luister,727
grote,727
lijkt,727
snel,727
ooit,726
vragen,726
paar,725
wanneer,725
want,725
meneer,725
nieuwe,724
gebeurd,724
zorgen,724
vriend,724
beetje,724
kinderen,723
gek,723
hand,723
vraag,722
laatste,722
geweldig,721
hadden,721
zelfs,720
enige,720
bang,719
nemen,719
samen,718
eten,718
zelf,718
hoor,717
geleden,717
staan,716
gevonden,715
jongen,715
denken,715
vandaag,715
denkt,714
beste,714
gezegd,713
thuis,713
wereld,713
jongens,713
heen,713
ken,712
hen,712
eerst,712
eigen,711
zoon,710
gelijk,710
buiten,710
vertel,710
morgen,710
meisje,710
probleem,709
alsof,709
geloof,709
halen,709
familie,709
elke,709
zouden,708
hoop,708
politie,708
mannen,706
bijna,706
vermoord,706
eigenlijk,706
werken,706
verdomme,706
horen,705
manier,705
zat,705
vrienden,705
precies,704
kind,704
hè,703
kleine,703
begrijp,703
wou,703
geeft,703
orde,702
houdt,702
verder,702
vroeg,701
stop,701
wachten,701
rustig,701
hoofd,701
krijg,700
daarom,700
gebeurt,700
soms,700
volgens,699
dagen,699
vond,698
krijgt,698
gemaakt,698
kant,698
werkt,698
open,698
gehad,698
voel,697
zaak,697
blij,697
volgende,697
zoek,697
kans,697
vanavond,696
bel,696
probeer,696
zoeken,695
ding,695
moment,695
best,695
oude,695
tussen,694
plaats,694
pas,694
gehoord,694
vijf,694
verteld,693
zet,692
prima,692
hulp,692
stad,692
vindt,691
brengen,691
pijn,691
slecht,691
geloven,691
eruit,691
minuten,690
school,690
plan,690
broer,690
pak,690
jezelf,690
hoeveel,690
kamer,689
betekent,688
spreken,688
juist,688
heet,688
soort,688
haal,687
ergens,687
vier,687
gebruiken,687
ligt,687
blijft,687
welke,687
proberen,687
dokter,686
agent,686
help,686
later,686
voordat,686
