Words,Score
לא,1000
את,998
אני,994
זה,985
אתה,947
מה,946
הוא,923
על,919
לי,917
של,909
כן,908
לך,901
אבל,894
יש,888
שלי,886
כל,885
בסדר,884
עם,883
היא,882
שלך,881
אם,880
טוב,877
היה,875
אנחנו,873
רוצה,872
אז,870
יודע,865
רק,861
הם,860
יכול,859
אותו,858
אותך,857
יותר,852
ג,852
כאן,846
אותי,846
הזה,845
שאני,845
למה,843
להיות,843
עכשיו,840
או,840
אחד,838
משהו,837
היי,836
צריך,834
כמו,834
אל,831
כך,831
איך,831
אין,829
נכון,829
לעשות,828
תודה,827
לו,823
לנו,823
שאתה,822
מי,822
זאת,821
שם,821
חושב,820
כדי,819
שהוא,819
כמה,818
פשוט,817
יודעת,816
אותה,815
אולי,815
באמת,815
כי,814
הייתי,814
שזה,813
גם,813
זו,810
עושה,808
האם,807
ואני,806
דבר,806
שלו,806
עוד,804
כבר,803
שלא,802
נראה,801
שלנו,801
מאוד,797
לפני,795
הרבה,795
בבקשה,794
הולך,794
קדימה,793
אומר,793
יהיה,792
יכולה,791
פעם,791
זמן,791
אתם,791
עדיין,791
עד,790
ממש,789
אלוהים,789
ובכן,788
איפה,787
לה,787
קצת,786
מישהו,785
אותם,784
לעזאזל,782
אה,782
לראות,781
הנה,780
הייתה,779
פה,779
אבא,778
הכל,778
ללכת,778
בכל,777
שהיא,777
צריכה,776
בדיוק,775
אנשים,775
אף,775
לדבר,774
חייב,773
שוב,773
חשבתי,773
היית,773
היום,772
שיש,772
מצטער,772
מר,772
צריכים,771
בוא,771
היו,770
שאת,769
חושבת,768
קרה,768
אחת,767
לזה,767
שלה,767
אמא,766
אוהב,766
שום,765
אחר,764
אפילו,764
ה,764
אדוני,764
תמיד,763
יכולים,763
יום,762
חבר,761
להם,761
בטוח,760
בגלל,760
שלום,759
ואז,759
בטח,759
קורה,759
האלה,758
אחרי,758
שהם,758
מדי,757
רואה,757
הזאת,757
הזמן,757
כולם,757
איתך,756
אמר,756
רגע,756
צ,755
בן,755
ו,754
שאנחנו,754
אמרתי,752
איזה,751
בו,751
אדם,750
תראה,749
דברים,749
מבין,749
טובה,747
בשביל,747
בזה,747
דרך,747
אוקיי,746
לעזור,746
אותנו,746
בבית,745
בואו,745
מספיק,745
הו,745
תהיה,744
הכי,744
הדבר,744
תן,743
י,743
ב,743
לדעת,742
כלום,742
מקום,741
כזה,741
לקחת,741
מזה,741
לכם,740
מתכוון,740
ככה,740
ביותר,740
אוכל,740
איתי,739
יודעים,739
אפשר,739
ר,738
וזה,738
לומר,737
ל,737
כאילו,737
קשה,737
לכאן,737
הביתה,736
עליי,735
להגיד,735
שנים,735
מת,734
די,733
למצוא,733
גדול,732
היתה,732
שני,732
בלי,732
מצטערת,731
אנו,731
אלה,731
שלהם,731
לקבל,730
הזו,730
יפה,730
ראיתי,730
מנסה,729
כמובן,729
מותק,729
מדבר,729
ואתה,729
נהדר,729
עליו,728
סליחה,728
אוהבת,727
אך,727
אומרת,727
בואי,726
לעולם,726
ממני,726
רוצים,726
הלילה,726
והוא,725
הבחור,725
לתת,725
האמת,724
אחי,724
ולא,723
לשם,722
עבור,722
תגיד,722
בית,722
אמרת,722
ואת,722
ד,721
בי,721
מעולם,721
מכאן,721
כסף,721
עבודה,720
זהו,720
מוכן,720
ילד,720
נחמד,720
לכל,720
בך,720
עושים,719
מרגיש,719
רציתי,719
עליך,719
נמצא,719
אכפת,718
ש,717
הולכים,717
לצאת,717
כדאי,717
עובד,716
בדרך,716
חכה,716
אי,716
לאן,716
עשה,715
איתו,715
מ,715
מהר,715
בזמן,715
ק,714
נוכל,714
לגבי,714
נשמע,714
עשית,713
עשיתי,713
בכלל,713
דקות,713
חייבת,713
שלכם,713
בשבילך,713
אמור,713
מספר,713
מכיר,712
ללא,712
מחר,712
לספר,712
גברת,712
לחזור,711
בעיה,711
רע,711
בא,711
נלך,711
משנה,711
ידעתי,710
מתי,710
חייבים,710
סוף,709
החיים,709
להרוג,709
הן,709
ממך,708
חלק,708
מאמין,708
בחור,708
בחייך,708
במקום,707
גבר,707
זוכר,707
הולכת,707
הגיע,707
הכול,706
תעשה,706
מקווה,705
לב,705
בחיים,705
הבית,705
המקום,705
ידי,705
חיים,704
כל-כך,704
איש,704
תוכל,704
כנראה,703
האנשים,703
כאשר,703
היינו,703
לבד,703
כמעט,703
עלי,703
מניח,703
הכסף,702
נעשה,702
לילה,702
ע,702
למעשה,702
דולר,702
שנה,702
שמעתי,702
תראי,702
בטוחה,701
לגמרי,701
החוצה,701
ילדים,701
קטן,701
הדברים,700
חשוב,700
בין,700
שמח,700
הבא,700
הראשון,700
לבוא,699
לחשוב,699
הדרך,699
מאז,699
בחזרה,699
אמרה,699
מאוחר,698
קודם,698
העבודה,698
אחרת,698
מגיע,698
להגיע,698
בה,697
מבינה,697
ברור,697
עצמך,697
בהחלט,697
לאחר,697
כלומר,696
השני,696
יחד,696
אוי,696
במשך,696
לפחות,696
לשמוע,695
אהיה,695
מוזר,695
ברגע,695
לעבוד,695
אליי,695
וואו,694
אישה,694
כעת,694
אליך,694
העולם,694
יופי,694
שלוש,694
מהם,693
הערב,692
אתמול,692
הספר,692
ואם,692
הראשונה,692
אתן,692
ספר,692
חדש,691
מושג,691
בוקר,691
שעות,691
לבית,691
מזל,691
להביא,691
בחוץ,691
ון,691
למטה,691
בשבילי,691
אלא,691
חברים,691
היכן,691
למעלה,690
כ,690
כולנו,690
מקרה,690
ראית,690
ביחד,689
שהיה,689
עלינו,689
להישאר,688
ערב,688
כרגע,688
בני,688
בלילה,688
תקשיב,688
אלו,688
האחרון,687
קשר,687
באופן,687
ביום,687
בקשר,687
אעשה,687
בת,686
איתה,686
ימים,686
מקבל,686
ומה,686
בתוך,686
השם,685
האיש,685
תפסיק,685
לשאול,685
והיא,684
הילד,684
ועכשיו,684
מדוע,684
קח,683
יקרה,683
סוג,683
ממנו,683
עליה,683
העיר,683
העניין,683
הפעם,683
החבר,683
הבעיה,682
האחרונה,682
שיהיה,682
היחיד,682
האלו,682
לפעמים,682
רעיון,681
כפי,681
חזרה,681
למען,681
בעוד,681
עומד,681
שבו,680
אלי,680
בנאדם,680
טובים,680
חרא,680
אליו,680
מיד,680
משחק,680
צודק,680
בפעם,680
הלו,679
להיכנס,679
עצמי,679
בעולם,679
תורגם,679
קטנה,679
תני,679
בלתי,679
איזו,679
לאכול,679
לעזוב,679
תראו,679
בפנים,678
לשמור,678
יהיו,678
גדולה,678
לעצור,678
שלושה,678
קל,678
הילדים,678
להשיג,678
הדלת,677
הרגע,677
אימא,677
להבין,677
בחדר,677
חזק,677
נורא,677
הי,677
רבה,677
הסיבה,677
מחוץ,677
הבן,677
יכולתי,677
וגם,677
לכן,676
מתכוונת,676
אתכם,676
היחידה,676
אמיתי,676
סתם,675
מרגישה,675
האדם,675
שאתם,675
אומרים,675
חוץ,675
למות,674
רב,674
ראש,674
נו,674
להתראות,674
אדירים,674
קרוב,674
שתי,673
מתה,673
גרוע,673
לוקח,673
מכל,673
נראית,673
פנים,673
להשתמש,673
קוראים,672
חברה,672
ממה,672
הראש,672
מדהים,672
ילדה,672
המשפחה,672
והם,672
מצחיק,671
חושבים,671
קיבלתי,671
מצאתי,671
נגד,671
לעבור,671
ליד,671
שאין,670
החברה,670
לקרוא,670
לחיות,670
מוכנה,670
חמש,670
עלייך,670
א,670
חיי,670
פחות,670
באותו,670
מפה,669
הבנתי,669
לנסות,669
ביי,669
ארוחת,669
אבי,668
נגמר,668
שהייתי,668
בשם,668
הבוקר,668
יוצא,668
מדברים,668
לשחק,668
אחרים,668
לפגוש,668
דם,668
פעמים,668
לנצח,668
תחת,668
חודשים,668
הבאה,668
להתחיל,667
ואנחנו,667
הטוב,667
לגרום,667
הא,667
סיכוי,667
להמשיך,667
לישון,667
שמעת,667
אהבה,667
שמישהו,666
זונה,666
שעה,666
נהיה,665
מאשר,665
הגדול,665
אותן,665
חצי,665
בקרוב,665
תגידי,665
סיבה,665
ס,664
מחדש,664
לבדוק,664
נשים,664
חכי,664
כשאני,663
מאמינה,663
מגניב,663
בבוקר,663
שכל,663
מדברת,663
לחכות,662
מתחיל,662
פרק,662
לכך,662
שאלה,662
לקח,662
צוחק,662
בנוגע,662
לשים,662
מכירה,662
נותן,661
אלך,661
חי,661
מעט,661
המכונית,661
התכוונתי,661
חדשות,661
צוות,661
משפחה,661
זקוק,660
מתחת,660
להציל,660
גמור,660
הזדמנות,660
מטורף,660
שונה,660
כאלה,660
מעולה,660
וכל,660
ויש,660
בתור,660
לפי,659
ניסיתי,659
סיפור,659
בערך,659
מים,659
לתוך,659
תסתכל,659
דעתך,659
זוכרת,659
יין,659
שאם,659
להרגיש,659
חוזר,659
