Words,Score
jeg,1000
det,997
er,991
du,983
ikke,961
en,934
og,933
har,928
vi,923
på,921
til,911
deg,906
med,905
meg,902
han,902
for,901
hva,901
som,895
at,894
så,891
kan,887
de,886
den,883
var,882
vil,875
om,874
av,873
men,867
skal,864
et,857
ja,856
her,849
hun,848
bare,847
dette,846
dere,846
må,845
noe,845
nei,844
vet,844
nå,839
ham,833
min,831
ut,831
kom,828
da,826
din,825
oss,823
ha,820
gjør,819
hvor,816
fra,816
være,815
noen,812
der,809
dem,809
igjen,807
se,806
ta,804
ville,804
kommer,801
alle,800
går,799
alt,798
tror,797
hvorfor,796
hvordan,796
få,796
gjøre,795
hvis,795
opp,794
seg,794
ingen,794
hadde,794
sa,792
bra,791
henne,791
får,791
når,790
blir,790
takk,789
gå,787
eller,787
bli,786
si,784
ser,783
hvem,782
la,782
hei,781
litt,779
inn,779
etter,778
ble,775
denne,775
kanskje,772
tilbake,772
aldri,770
vel,769
ok,768
skulle,768
jo,768
trenger,766
to,764
sier,762
kunne,762
vært,760
mer,760
også,760
før,760
over,759
man,759
tar,757
mye,756
selv,756
god,755
gi,755
nok,754
mitt,752
hans,752
sammen,750
gjorde,750
dag,748
enn,747
gang,747
andre,746
vær,744
fikk,744
ned,744
sett,743
mine,742
greit,742
siden,741
ditt,740
helt,738
mot,736
år,736
faen,734
hele,734
deres,734
snakke,733
komme,733
godt,732
ved,730
fordi,729
gjort,728
dra,728
rett,727
liker,727
mann,727
folk,727
alltid,725
mener,725
mange,725
sånn,724
dine,724
sant,723
ting,723
tok,722
vent,720
vår,720
hjem,720
tre,719
finne,718
unnskyld,718
beklager,718
veldig,717
hold,717
burde,716
tid,715
ingenting,714
trodde,714
uten,714
hit,713
bedre,713
gikk,713
hjelpe,711
livet,710
akkurat,709
vite,709
kveld,708
visste,708
virkelig,707
elsker,706
skjer,706
slik,706
lenge,706
snakker,706
sir,706
kjenner,705
sin,705
samme,704
står,703
far,702
ute,702
første,701
hjelp,700
feil,700
snill,700
død,700
herregud,699
forstår,698
disse,698
pappa,697
gir,696
siste,696
mamma,695
helvete,695
hennes,695
fant,694
én,694
eneste,693
hør,691
under,691
sted,691
blitt,690
barn,690
vei,690
bør,689
klar,689
holder,689
heter,689
skjedde,689
slutt,688
visst,688
prøver,688
penger,687
drepe,687
fint,687
tro,686
husker,685
drar,685
døde,685
borte,685
mor,684
redd,684
snart,684
rundt,684
beste,684
holde,683
faren,683
like,683
finner,683
våre,683
høre,683
bilen,683
flere,682
verden,682
tatt,682
hver,682
gud,681
venn,681
annet,681
hos,681
hører,681
måtte,680
veien,680
fortelle,680
bort,679
først,679
fått,678
inne,678
glad,677
ga,677
gjennom,677
heller,676
stor,676
betyr,676
liv,676
tiden,675
lei,675
sikker,675
neste,675
mannen,674
sikkert,674
lenger,673
fortsatt,673
annen,673
gjerne,673
hørte,672
unna,670
nye,670
sagt,669
fem,669
vekk,668
hatt,668
snakket,668
alene,668
flott,667
derfor,667
store,667
skjønner,666
føler,665
menn,665
klart,665
ny,665
liten,665
jobber,665
mr,664
dø,664
håper,664
jævla,664
grunn,664
ennå,663
klarer,663
dager,663
tenkte,663
politiet,662
byen,662
ganger,662
pengene,662
jobb,662
langt,662
venner,662
sitt,661
faktisk,661
nesten,661
drepte,660
huset,660
jobben,660
kjære,660
minutter,660
gamle,660
hjemme,660
venter,659
ellers,659
dagen,658
vårt,658
hverandre,658
fire,658
begge,658
navn,658
dit,657
moren,657
gutt,657
be,657
bak,657
hørt,656
natt,656
fort,656
nettopp,656
familien,656
ferdig,656
herfra,656
drept,656
virker,655
tenk,655
mens,655
stedet,655
møte,655
stille,654
ei,654
dollar,654
lille,654
engang,654
ett,654
måte,654
dårlig,654
hyggelig,653
sine,653
hodet,653
funnet,653
orden,653
synes,653
gode,652
ganske,652
par,652
senere,652
begynner,651
galt,651
ba,651
prøve,650
slå,650
tenker,650
vanskelig,650
vise,649
lkke,649
ringer,648
slags,648
ti,648
allerede,648
ønsker,647
del,647
fortell,647
gått,645
hvilken,645
prøvde,645
pokker,645
tenke,645
saken,645
skyld,645
klare,645
gammel,644
bruke,644
uansett,644
slipp,644
mistet,644
viktig,643
spør,643
sånt,643
helst,643
jente,643
øyeblikk,643
tenkt,643
spørsmål,643
mellom,642
bor,642
mi,642
dør,642
egen,642
kvinne,642
ligger,642
ord,641
stopp,641
dro,641
stemmer,641
rolig,641
nytt,641
ber,641
fortalte,640
riktig,640
all,640
fin,640
kommet,639
stå,639
lett,639
timer,639
vente,638
redde,638
spise,638
høres,638
treffe,638
setter,638
mennesker,637
jenta,637
sitter,637
sønn,637
legg,636
slapp,636
velkommen,636
spiller,636
bryr,636
ringe,636
syns,635
skje,635
kaptein,634
fyr,634
mat,634
sette,634
john,634
jobbet,634
fyren,634
di,633
leve,633
tak,633
enda,633
seks,632
selvsagt,632
egentlig,632
bruker,632
mulig,632
gutten,632
åpne,632
finnes,631
jack,631
best,631
lang,631
problem,631
full,631
problemer,630
ses,630
videre,630
navnet,630
lever,630
holdt,629
imot,629
utenfor,629
spørre,629
utrolig,629
satt,629
kone,629
dreper,629
sent,629
tom,629
fins,629
nede,628
oppe,628
ring,628
kjeft,628
lar,628
skjedd,628
begynte,627
kona,627
ringte,627
hus,627
hater,627
mindre,626
hente,626
fantastisk,626
hjelper,626
new,626
fremdeles,625
gutter,625
jobbe,625
handler,625
mest,625
barna,625
spille,624
selvfølgelig,624
stort,624
fram,624
kaller,624
ro,624
vennen,624
glem,624
rommet,624
kjøre,624
øynene,623
tusen,623
vann,622
forsiktig,622
sjanse,622
skolen,622
kjører,622
løp,622
gal,622
lover,622
gangen,622
resten,621
side,621
pass,621
fred,621
sønnen,621
lage,621
plass,621
familie,621
sannheten,620
ekte,620
kjent,620
fri,620
uke,620
foran,619
våpen,619
fast,619
an,619
lite,619
broren,619
måneder,618
landet,618
snakk,618
hvert,618
driver,617
tur,617
tidligere,617
kvinner,617
ønske,616
prøv,616
bil,616
valg,616
legge,616
bror,615
føles,615
vondt,614
miss,614
straks,614
kjøpe,614
gitt,614
stund,614
laget,613
jøss,613
rom,613
pa,613
tidlig,613
begynne,613
idé,612
fly,612
mente,612
telefonen,612
time,612
tide,612
passer,612
hendene,611
blod,611
vis,611
perfekt,611
kjente,610
sint,610
lære,610
rart,610
verre,610
dritt,610
sove,609
betale,609
svar,609
svært,609
frank,609
gift,609
gjelder,609
ventet,609
sam,609
sendte,608
finn,608
lager,608
altså,608
fengsel,608
sist,608
unge,608
likevel,608
uker,608
ille,608
fortsett,607
viser,607
stoppe,607
klarte,607
hånd,607
forteller,607
kjærlighet,607
aner,607
slutte,606
lov,606
nær,606
morsomt,605
dr,605
elsket,605
sender,605
hardt,605
lykke,605
sitte,605
middag,604
historie,604
skrive,604
beskytte,604
lyst,604
dum,604
fare,603
spiser,603
sak,603
forstå,603
reise,603
slo,603
leter,603
sex,603
måten,603
likte,603
millioner,603
damer,602
jenter,602
kjør,602
fall,602
spurte,602
fortalt,602
synd,601
skikkelig,601
frem,601
reddet,601
idiot,601
brukte,601
herrer,600
york,600
trengte,600
små,600
følge,600
følger,600
kaffe,600
sende,599
pris,599
problemet,599
vakker,599
foregår,599
syk,599
skyte,599
live,599
barnet,599
prate,599
ærlig,599
farlig,598
bruk,598
lot,598
bo,598
drikke,598
svarte,598
gratulerer,598
land,598
større,598
flink,598
gifte,597
rette,597
legger,597
fortsette,597
avtale,597
nummer,596
slipper,596
datteren,596
kvelden,596
lese,596
henter,596
døra,595
lurer,595
slår,595
jaså,595
gøy,595
bekymret,595
ofte,595
herre,595
endelig,594
ansiktet,594
masse,594
åtte,594
hjertet,594
charlie,594
foreldrene,594
døren,593
kun,593
sto,593
betaler,593
ung,593
skjøt,593
datter,593
egne,593
skade,593
absolutt,593
traff,592
enkelt,592
hent,592
klokka,592
slippe,592
forklare,592
stole,592
skutt,592
venstre,592
råd,592
kontakt,592
krig,592
annerledes,591
verdt,591
skrev,591
krigen,591
eget,591
stikke,591
antar,591
ben,591
vant,590
ønsket,590
stikker,590
hvite,590
høyre,590
historien,590
david,590
beskjed,590
husk,590
michael,590
tjeneste,589
føle,589
lå,589
høyt,589
største,589
kort,589
kastet,589
slåss,588
vinner,588
sjefen,588
natten,588
skadet,588
skyt,587
rør,587
spill,587
sjef,587
født,587
særlig,587
kompis,587
kontoret,586
sjekke,586
huske,586
glemte,586
umulig,586
dessverre,586
spesielt,586
person,586
doktor,586
bevis,586
sendt,585
falt,585
flytte,585
mister,585
drittsekk,585
plan,585
by,585
nødt,585
forhold,585
vennene,584
farvel,584
klokken,584
kult,584
steder,584
opptatt,584
noensinne,584
stoler,584
sover,584
stolt,584
skyter,584
raskt,584
mike,584
peter,583
verdens,583
sjekk,583
vanlig,583
svart,583
skynd,583
vinne,583
rolle,583
vannet,583
ødelegge,582
vare,582
dame,582
overalt,582
søster,582
tuller,582
smart,582
kjørte,582
james,582
joe,582
skylder,581
skriver,581
passe,581
alvorlig,581
skatt,581
president,581
lykkelig,580
menneske,580
ødelagt,580
planen,580
kjæresten,580
sekunder,580
stikk,580
hånden,580
drink,580
bilde,580
ordne,579
leder,579
kjøpte,579
døden,579
fest,579
tv,579
forstått,579
forlate,579
selge,579
george,579
skål,578
brukt,578
arbeid,578
iblant,578
ordre,578
minste,578
sterk,578
kamp,578
prøvd,578
satte,578
fortsetter,578
miste,578
lurte,577
dyr,577
bord,577
onkel,577
deler,577
følg,577
søsteren,577
savner,577
fortjener,577
øl,577
lik,577
sju,577
tingene,576
plutselig,576
hvilket,576
sykehuset,576
send,576
skipet,576
slikt,576
søt,576
lyver,576
kvinnen,575
møtt,575
glemt,575
kroppen,575
guds,575
interessert,575
mrs,575
harry,575
midt,575
ni,575
ligge,575
sjansen,575
mennene,575
interessant,575
lærer,574
skaffe,574
okay,574
kontroll,574
stjal,574
savnet,574
forelsket,574
bill,574
merkelig,574
enig,574
lege,574
fungerer,573
general,573
baby,573
usa,573
kl,573
forbi,573
sulten,573
glemme,573
lys,573
lukk,573
kalle,572
flyet,572
flyttet,572
pent,572
verste,572
lærte,572
hender,572
sluttet,572
ære,571
innen,571
kutt,571
øyne,571
ryggen,571
fleste,571
agent,571
hjalp,571
eier,571
personlig,571
mary,571
jim,571
nyheter,571
elske,571
kaste,570
snu,570
dumt,570
hjerte,570
sprø,570
blant,570
følte,570
nydelig,570
øye,570
arbeidet,570
fanget,570
bob,570
meter,570
danny,570
unnskyldning,569
angrep,569
morges,569
mening,569
løs,569
jentene,569
lagt,569
jævel,569
drikker,569
dumme,569
bilder,568
forrige,568
trekk,568
etterpå,568
informasjon,568
advokat,568
tilgi,568
pleide,568
bildet,568
folkens,568
slutter,567
sov,567
både,567
slike,567
kjempe,567
levende,567
lukter,567
maten,567
fbi,567
jorden,567
ma,566
trygg,566
film,566
betalt,566
alex,566
kongen,566
ordner,566
ferdige,566
høy,566
møtes,566
selger,566
virket,565
het,565
området,565
presidenten,565
fine,565
kaster,565
fru,565
viste,564
støtte,564
syntes,564
drep,564
ræva,564
forsvant,564
skrevet,564
talt,564
tredje,564
