Words,Score
nie,1000
to,982
się,968
na,942
że,937
co,931
jest,928
do,918
tak,915
jak,899
ale,892
mnie,887
mi,877
za,867
ja,857
tym,857
tego,855
go,853
ci,853
po,851
tylko,851
czy,851
tu,851
może,851
jestem,849
ma,848
ty,848
cię,847
mam,845
jesteś,842
już,842
jeśli,840
dla,839
wiem,838
coś,838
dobrze,832
więc,832
od,831
teraz,830
pan,827
wszystko,826
być,826
będzie,822
masz,821
nic,821
tam,821
mogę,819
proszę,819
jej,819
są,817
gdzie,815
kiedy,815
ten,814
on,813
ciebie,813
by,812
sobie,812
ze,812
był,811
wiesz,811
bardzo,809
było,809
przez,807
jego,806
ją,806
chcę,806
dlaczego,805
pani,805
jeszcze,804
mój,803
nas,802
żeby,801
no,800
bo,799
chcesz,799
ich,798
też,797
tutaj,795
naprawdę,793
nigdy,793
mamy,793
kto,791
możesz,790
dobra,789
przepraszam,788
mu,787
gdy,784
muszę,784
porządku,783
dziękuję,782
nawet,781
chyba,781
domu,780
ona,779
prawda,779
zrobić,779
była,777
właśnie,777
będę,774
zawsze,773
hej,772
nim,772
nam,772
te,772
moja,771
musisz,771
je,770
dzięki,770
bez,769
tej,769
trochę,769
ktoś,768
panie,767
jesteśmy,767
moje,766
powiedzieć,766
który,765
czas,765
więcej,764
twój,764
musimy,764
lat,763
ta,762
chce,762
możemy,762
wszyscy,761
tobą,761
albo,761
prostu,761
chodzi,761
razem,760
stało,758
cześć,757
mną,757
czego,756
sam,755
myślę,755
pana,754
przed,754
boże,754
raz,754
czemu,754
będziesz,753
niż,752
ludzie,752
dalej,752
czym,751
was,750
dobry,750
przy,749
ludzi,749
dzień,749
życie,749
lepiej,748
miał,747
rzeczy,747
twoja,747
czasu,746
ok,746
temu,746
robisz,745
myślisz,745
kim,745
niech,745
które,744
oczywiście,744
siebie,744
niego,743
cóż,743
powiedział,743
daj,743
moim,743
chodź,742
musi,742
my,742
nikt,742
twoje,742
tych,742
pod,741
dlatego,741
pewnie,739
powiedz,739
aby,738
wtedy,737
wygląda,737
jeden,737
mojego,736
im,736
mówi,735
dziś,735
taki,735
mieć,735
jako,735
dwa,734
potem,734
wie,733
takie,733
nią,733
wszystkie,733
znaczy,733
rozumiem,732
dzieje,732
moją,732
będziemy,732
wiele,731
stąd,731
oni,731
mojej,731
miejsce,731
iść,730
kilka,730
pomóc,730
dużo,730
ile,729
jasne,729
byłem,729
swoje,728
myśli,728
cały,728
skąd,727
wiedzieć,726
dzieci,726
nich,726
która,725
wam,725
przykro,725
można,724
jakieś,724
tę,724
wszystkich,724
nad,724
jakiś,723
sposób,723
trzeba,723
mają,723
niej,722
pracy,722
kogoś,722
tyle,722
robić,721
bardziej,721
mówisz,721
zanim,721
zbyt,720
szybko,720
dzisiaj,719
tobie,719
takiego,718
świetnie,718
zobaczyć,717
zaraz,717
pewno,717
miałem,717
kocham,717
mówię,717
nadal,716
jaki,716
rację,716
kochanie,715
myślałem,715
trzy,715
ojciec,715
ani,715
stanie,714
robi,714
tą,713
później,713
ponieważ,713
idź,713
życia,713
twoim,713
przestań,712
swoją,712
chciałem,712
sie,712
długo,711
mamo,711
kiedyś,711
cholera,711
wciąż,711
nadzieję,711
aż,711
będą,711
jutro,711
każdy,710
dni,710
problem,710
widzę,710
mógł,710
stary,709
taka,709
żebyś,709
widzisz,708
twojej,708
tato,708
potrzebuję,708
znowu,707
kurwa,707
dziecko,707
nocy,707
znaleźć,707
sama,707
dokładnie,706
dnia,706
oh,706
pierwszy,706
czuję,706
pieniądze,706
powiem,705
zrobił,705
nami,705
miała,705
twoją,705
gdyby,705
nasz,704
nasze,704
razie,704
samo,704
były,703
dobre,703
słuchaj,703
koniec,703
chciał,703
widziałem,703
wszystkim,702
znam,702
wcześniej,702
jakie,702
spokój,701
chwilę,701
mama,701
sobą,701
zostać,700
został,700
wy,700
czegoś,700
żyje,700
mówić,700
bym,700
którzy,700
porozmawiać,699
spójrz,699
roku,699
mogą,698
chciałbym,698
zabić,698
poza,698
dom,698
we,698
imię,698
twojego,698
lub,698
och,697
miło,697
którą,697
kogo,697
sir,696
minut,696
jakby,696
prawie,696
drzwi,695
byłam,695
jesteście,695
posłuchaj,695
powiedziałem,695
powodu,695
powinniśmy,694
gdzieś,694
końcu,694
lubię,694
mów,694
sprawy,694
czekaj,694
pomysł,693
zrobię,693
wiemy,693
wydaje,693
byłeś,693
razy,692
moich,692
człowiek,692
jednak,692
innego,692
dość,691
pomocy,691
przecież,691
panu,691
broń,691
żadnych,691
noc,690
macie,690
ciągle,690
żebym,690
źle,690
powiedziała,689
facet,689
mówiłem,689
którego,689
podoba,689
miejscu,689
jeżeli,688
skoro,688
ego,688
ojca,688
powinieneś,687
lata,687
sprawa,687
niczego,686
takim,686
pamiętasz,686
sądzę,686
właściwie,686
dwie,685
pokoju,685
którym,685
myślałam,685
jedno,685
idziemy,685
również,685
bądź,684
znasz,684
swój,684
