Words,Score
que,1000
não,985
de,977
um,934
para,929
eu,922
uma,915
está,905
com,903
se,902
do,899
por,895
os,888
ele,888
mas,886
em,886
bem,886
isso,883
da,883
como,880
sim,871
as,868
no,867
na,863
mais,863
meu,859
aqui,857
me,856
muito,853
foi,853
ela,852
isto,847
estou,847
fazer,847
vamos,844
já,841
ser,839
vai,839
minha,838
só,837
ao,837
tem,836
tudo,835
te,835
porque,834
há,833
vou,833
tu,833
tenho,833
sei,832
agora,830
estás,830
você,826
lá,825
então,822
ter,821
era,820
quem,819
onde,819
nada,819
ou,816
coisa,816
dizer,814
são,811
quero,810
sou,809
seu,807
pode,807
mesmo,807
esta,805
eles,804
nós,804
sua,804
dos,803
todos,803
nos,802
mim,801
posso,801
bom,801
ver,801
este,801
casa,800
temos,800
tens,799
tua,799
nunca,798
estão,798
até,798
assim,797
teu,797
acho,796
falar,796
disse,796
ainda,795
tempo,794
também,792
ir,792
pai,791
sobre,791
vez,790
quê,789
quer,787
és,787
favor,786
depois,786
tão,786
melhor,785
mãe,784
talvez,784
olá,783
obrigado,783
noite,782
ti,782
sabes,781
sempre,781
deus,780
estamos,780
alguém,780
dia,780
certo,780
nem,779
alguma,779
anos,778
vida,778
dele,777
sem,777
vais,776
das,775
tinha,775
estar,774
queres,772
coisas,772
homem,772
pessoas,771
algo,770
pelo,770
ficar,769
boa,769
sabe,769
parece,768
claro,767
dois,766
verdade,765
tipo,765
preciso,765
antes,765
senhor,765
lhe,763
podes,762
apenas,762
faz,761
vocês,759
ninguém,759
trabalho,759
outra,758
espera,757
saber,756
comigo,756
vão,755
dinheiro,754
aí,754
podemos,754
pouco,754
essa,753
esse,753
grande,753
pois,752
pela,751
qualquer,750
disso,750
num,749
qual,748
desculpa,748
hoje,747
dela,747
toda,746
deve,746
mulher,746
queria,745
fora,745
filho,745
cá,745
seja,745
meus,744
nosso,744
vá,744
olha,744
daqui,743
sério,743
oh,743
nossa,743
certeza,741
diz,741
nome,741
às,741
outro,741
todo,740
dar,740
tentar,740
sair,739
têm,738
quanto,738
pensar,738
mal,738
volta,737
aconteceu,737
consigo,737
três,736
mundo,736
menos,736
amigo,735
contigo,735
embora,735
numa,735
passa,734
porquê,734
problema,733
carro,733
lado,733
vezes,733
nas,732
fez,731
seus,731
merda,731
novo,731
parte,730
todas,730
aos,729
obrigada,729
primeiro,729
será,729
lugar,728
voltar,728
pensei,728
algum,728
achas,727
vem,727
dentro,727
família,724
ali,724
razão,723
aquele,723
fui,723
dias,723
querida,722
sabia,722
duas,722
ideia,722
anda,722
hora,721
si,720
polícia,719
podem,719
forma,717
entre,717
caso,717
gosto,717
atrás,717
homens,717
devia,717
aquilo,716
amor,716
pessoa,716
ok,716
podia,715
uns,715
desde,715
somos,715
cabeça,714
horas,714
deles,714
fica,713
ajudar,713
tarde,713
momento,713
tal,713
tenha,713
pronto,712
fiz,712
foram,712
ia,712
cidade,712
amigos,712
encontrar,712
frente,712
passar,711
deixar,711
vi,711
sido,711
nenhum,710
gente,710
durante,710
seria,710
outros,709
entrar,709
chegar,709
trabalhar,708
quase,708
desculpe,708
amanhã,708
tanto,708
fosse,708
nova,708
história,707
irmão,707
cima,706
contra,705
morrer,705
maneira,705
suas,705
enquanto,704
alguns,704
ajuda,704
precisa,704
morto,704
primeira,704
porta,703
minhas,703
medo,703
morte,703
aquela,703
óptimo,703
caminho,703
vir,703
feliz,702
sinto,702
minutos,702
ouvir,701
desta,701
tive,701
neste,701
matar,701
cada,700
estes,700
acontecer,700
espero,700
ano,700
rapaz,699
precisamos,699
for,699
causa,699
feito,698
sorte,698
lamento,698
filha,698
acha,698
levar,698
conta,698
teus,698
estas,697
arma,697
pessoal,697
olhos,697
senhora,697
quarto,697
adeus,696
disto,696
cara,696
algumas,695
juntos,695
difícil,694
última,694
única,694
manhã,694
importante,694
poder,694
mãos,693
ei,693
água,693
começar,693
faço,692
perto,692
cuidado,692
sangue,692
nossos,692
semana,691
mesma,691
usar,690
significa,690
acredito,690
querem,690
cinco,690
acabou,689
problemas,689
corpo,688
altura,688
disseste,688
nisso,687
chefe,687
jogo,687
guerra,687
fala,687
procura,687
sabemos,686
fizeste,686
ouve,686
realmente,686
havia,686
ontem,686
umas,686
terra,686
deixa-me,685
dólares,685
comer,685
dormir,685
dá,684
escola,684
logo,684
querido,684
sabem,684
fim,684
deste,684
eram,684
pára,684
agente,683
equipa,683
rapariga,683
marido,683
calma,683
coração,683
segurança,683
viver,683
estado,683
parar,683
teve,683
segundo,683
muitas,682
quatro,682
mão,682
baixo,682
maior,682
meio,682
meses,682
mau,682
vê,680
ouvi,680
andar,680
rápido,680
número,680
vejo,680
mulheres,680
morreu,680
nenhuma,680
acordo,679
festa,679
fazes,679
capitão,679
pais,678
suficiente,678
raio,678
poderia,677
crianças,677
estavam,677
força,677
muitos,677
presidente,677
buscar,677
filhos,677
perder,677
nesta,677
esperar,676
viu,676
irmã,676
chega,676
possível,676
devias,676
acabar,676
sai,676
rapazes,675
precisas,675
elas,675
contar,675
idiota,675
olhar,675
vossa,675
teria,675
foste,675
mil,674
longe,674
faça,674
penso,674
pena,674
tivesse,673
tuas,673
pedir,673
estranho,673
importa,673
fácil,673
muita,673
veio,673
brincar,673
bebé,673
plano,673
devo,672
prazer,672
velho,671
conseguir,671
passado,671
tomar,671
além,671
jantar,671
dá-me,671
depressa,670
pergunta,670
tirar,670
pequeno,669
descobrir,669
sala,668
ah,668
telefone,668
trás,668
seis,668
