Words,Score
tôi,1000
không,995
việt nam,980
là,970
tết nguyên đán,970
phở bò,970
cà phê,970
anh,969
có,969
hà nội,960
bánh mì,960
áo dài,960
zalo,960
bóng đá,950
xe máy,950
xin chào,950
hôm nay,950
ta,946
sài gòn,940
bánh chưng,940
học sinh,940
cảm ơn,940
điện thoại,940
nón lá,940
máy tính,930
sinh viên,930
bún bò,930
ô tô,930
xin lỗi,930
du lịch,930
của,926
đi,924
đã,922
đó,920
sẽ,920
bệnh viện,920
cơm tấm,920
máy bay,920
giáo viên,920
gia đình,920
hạnh phúc,920
chúng,918
gì,918
một,918
được,916
và,914
cô,911
facebook,910
bác sĩ,910
sức khỏe,910
làm,908
phải,908
rồi,905
người,905
này,903
cho,900
youtube,900
trà sữa,900
xe buýt,900
không có,900
mạng xã hội,900
thành công,900
yêu thương,900
không sao,900
em,897
đây,896
con,893
sao,890
bạn bè,890
thế giới,890
tiktok,890
biết,887
ông,887
nói,887
nó,887
thể,886
với,882
cậu,881
tất nhiên,880
người yêu,880
ngày mai,880
thế,878
lại,876
ra,876
vậy,875
okay,870
instagram,870
bây giờ,870
nước mía,870
cơm gà,870
vợ chồng,870
hôm qua,870
chắc chắn,870
để,869
nào,869
ấy,867
cái,867
đang,863
muốn,860
trong,860
mà,859
như,859
nhưng,858
khi,851
những,851
đến,851
đâu,851
chuyện,849
chỉ,847
cả,844
về,844
thì,843
họ,842
giờ,840
thôi,840
thấy,839
còn,839
cũng,837
vào,835
các,834
bị,833
nghĩ,832
đấy,831
ai,831
thật,830
hắn,829
nếu,829
mình,828
việc,824
nữa,823
rất,823
vì,823
cần,822
chứ,818
à,818
điều,818
sự,814
tới,811
xin,810
thứ,809
chưa,809
nhà,809
lên,808
đúng,807
từ,807
mẹ,806
nghe,805
hơn,804
mọi,803
bạn,803
tớ,802
nên,802
chết,801
mày,800
ơn,800
đầu,799
đừng,798
tìm,798
tốt,797
tin,792
hãy,791
quá,790
nhiều,790
trước,789
cảm,789
bà,789
ý,788
hay,787
công,786
nhất,786
tao,786
bố,785
tất,784
bao,783
trên,782
tên,782
lỗi,781
tại,780
thành,778
sau,778
cháu,777
ngày,777
khác,777
xem,777
theo,776
chắc,775
gặp,775
anh tão,775
bắt,774
yêu,774
cứ,774
qua,773
vẫn,773
cùng,773
ngay,773
thích,773
cách,773
nhìn,773
sống,772
bọn,772
lúc,771
giết,770
mới,770
quan,769
chào,769
đưa,768
lắm,768
gọi,767
hết,766
bảo,766
hai,766
rằng,765
ăn,764
giúp,764
hiểu,764
lấy,763
ngài,762
tự,762
lần,762
chính,761
tay,761
nhân,760
cuộc,759
bỏ,759
bầy tôi,759
bề tôi,759
năm,757
mất,757
hả,757
vụ,756
xe,756
ngươi,756
ba không,756
nhận,755
cha,755
chúa,753
khỏi,751
nay,751
định,750
tiền,750
thời,749
cơ,749
nhé,748
do,747
trở,747
bé,746
mặt,746
đường,746
vâng,745
gái,745
luôn,744
mấy,744
gia,744
nhau,744
anh cả,744
lời,743
nơi,743
chị,742
xuống,742
bây,742
thưa,742
số,742
động,742
đồ,742
ngoài,741
toàn,741
bất,741
sát,741
thực,740
từng,740
phòng,740
thằng,739
kẻ,739
hàng,738
bằng,738
chẳng,737
chút,737
nhớ,737
chú,737
lý anh,737
anh chị,737
nhiên,736
lý,736
chỗ,736
học,736
bàn là,736
chế là,736
tiếng anh,736
anh quân,736
bài là,736
nhanh,735
quay,735
sĩ,735
cố,735
tuyệt,735
anh quốc,735
anh giáo,735
sùng là,735
a có,735
anh chàng,735
anh hùng,735
anh thư,735
anh tài,735
anh ánh,735
ca có,735
lẽ,734
chiến,734
hỏi,734
đại,734
tiếp,734
anh ngữ,734
thụy anh,734
vân anh,734
anh hào,734
anh kiệt,734
anh nhuệ,734
anh nuôi,734
anh thảo,734
anh tuấn,734
anh túc,734
anh xải,734
anh yến,734
anh ách,734
anh đào,734
cau có,734
tình,733
ơi,733
bên,733
đồng,733
vui,733
ổn,733
gian,732
tâm,732
cứu,732
bánh không men,732
bóng thám không,732
đề,731
i,731
sinh,731
anh chị em,731
trả,730
bộ,730
đều,730
máy,730
mỳ không người lái,730
vài,729
vị,729
nước,728
giống,728
đánh,728
xảy,728
chơi,728
trai,728
tối,728
lạy ông tôi ở bụi này,728
biết người biết ta,728
cảnh,727
của ông,727
câu,726
kia,725
ko,725
giữ,725
hành,724
vô,724
kết,723
bởi,722
hiện,722
biết người biết của,722
giới,721
vừa,721
tiếng,721
báo,721
tưởng,720
chờ,719
lo,719
đẹp,719
hôm,718
viên,718
hình,717
đáng,717
vấn,716
trọng,716
ta trẽ,715
tết ta,715
bình,714
đủ,714
con cuông,714
anh em đồng hao,714
oh,713
cám,713
lớn,713
sáng,713
anh em thúc bá,713
anh em thức bá,713
anh em xã hội,713
bàn là hơi,713
bác,712
lâu,712
vương quốc anh,712
anh em cọc chèo,712
anh em cột chèo,712
thần,711
sợ,711
biệt,711
thông,711
cổ,711
giải,711
phụ,711
anh cát lợi,711
anh hùng ca,711
thường,710
thương,710
vẻ,710
cuối,710
rõ,710
anh hùng rơm,710
cửa,709
hợp,709
trung,709
cha chung không ai khóc,709
bản,708
dùng,708
ôi,708
tra,708
bắn,708
anh chị em họ chéo,708
cầu,707
ba,707
hội,707
t,707
đội,707
tiên,706
thân,706
chạy,706
thêm,706
đứa,706
thay,706
mang,705
quân,705
xác,705
đời,705
ngủ,705
trời,705
bụt chùa nhà không thiêng,705
bán trời không văn tự,705
đổi,704
nhỏ,704
bỏ đi,704
liên,703
tội,702
nghĩa,702
an,702
điện,702
dù,701
bay,701
nữ,701
vệ,701
ra glây,701
blở lại,701
phát,700
đối,700
c,700
đêm,700
trẻ,700
bệnh,699
gần,699
hoàn,699
trường,699
paulus của,699
bắn sẽ,698
thời thế tạo anh hùng,698
a đây rồi,698
anh hùng cá nhân,698
bà cô,698
đợi,697
tính,697
nhỉ,697
đất,697
biết đâu,697
đứng,696
ngồi,696
trông,696
chiếc,696
anh hùng chủ nghĩa,696
n,695
xa,695
coi,695
tháng một,695
chứng,694
ảnh,694
kể,694
khó,694
anh hùng bàn phím,694
anh hùng mạt lộ,694
anh hùng mạt vận,694
quyết,693
cái nhum,693
xín cái,693
chịu,692
năng,692
tập,692
súng,692
vọng,692
ngày của mẹ,692
biết nghĩ,692
báo cô,692
chà và,691
cô ba,691
giá,690
hoặc,690
sắp,690
xong,690
tử,690
đàn,690
sẵn,690
kiểm,690
mở,690
cao,689
uống,689
chuyển,689
dừng,689
ba phải,689
ít,688
dưới,688
đình,688
chủ,688
chọn,688
điên,688
cô giang,688
cô kiều,688
cô mười,688
cô tô,688
ngày của cha,688
trí phải,688
biết điều,688
biết đâu đấy,688
bài làm,688
vật,687
thử,687
thống,687
kiếm,687
anh hùng cứu mỹ nhân,687
mắt,686
trưởng,686
kế,686
phần,686
biến,686
lòng,686
ai lại,686
bà con,686
sư,685
loại,685
biết ơn,685
mạnh,684
thuốc,684
đấu,684
thức,683
vương quốc liên hiệp anh,683
biết ý,683
dễ,682
vợ,682
dụng,682
y,682
trái,682
anh hùng xuất thiếu niên,682
thứ mười một,682
biết bao,682
quái,681
phía,681
tiến,681
đau,681
điểm,681
lực,681
sai,681
con ông cháu cha,681
bân này,681
bé con,681
ng,680
tệ,680
chắn,680
quả,680
khốn,680
sàng,680
quên,680
biết chừng nào,680
phút,679
minh,679
gã,679
mừng,679
kỳ,679
biết tay,679
hơi,678
a,678
chân,678
trọng con,678
vương quốc liên hiệp anh và bắc ireland,678
kinh,677
tuần,677
sao hôm,677
biết mấy,677
mua,676
thủ,676
đặc,676
may,676
duy,676
con tạo,676
bản sao,676
trí,675
tàu,675
sức,675
báo nói,675
bẳm cả,675
trò,674
quyền,674
kìa,674
mỗi,674
quý,674
phố,674
nhà cái,674
biết thân,674
biết đâu chừng,674
bán anh em xa mua láng giềng gần,674
buổi,673
thư,673
hạ,673
bài,673
đặt,673
ngôi sao,673
bói người ra ma,673
bản thể,673
tháng,672
hôn,672
mai,672
tài,672
diễn,672
to,672
the,672
phép,672
nổi,672
pháp,672
khách,672
đôi,672
bồ sao,672
sao hỏa,672
sao đỏ,672
thủ dầu một,672
biết thân biết phận,672
hiệu,671
mặc,671
vũ,671
yên,671
quốc,671
máu,671
kiện sừng sẽ,671
sao hoả,671
sao mộc,671
sao thổ,671
tháng mười một,671
biến thể,671
hệ,670
đơn,670
khí,670
khiến,670
phá,670
bè ai người ấy chống,670
tục,669
thú,669
tuổi,669
dân,669
chuẩn,669
tạo,669
cá,669
luật,669
dẫn,669
phục,669
thể dục,669
biết thóp,669
biết thỏm,669
biết tỏng,669
m,668
nhiêu,668
lõa thể,668
bởi thế,668
mau,667
hiểm,667
chà và ku,667
bàn,666
hoàng,666
độ,666
mạng,666
hán và tần,666
thế năng,666
biến thế,666
cao thế,666
sách,665
chó,665
tiêu,665
ư,665
phạm,665
chúc,665
thế dân,665
yên thế,665
adơi ai,665
ai knhâo,665
ai làm nấy chịu,665
ai pì,665
ba mặt một lời,665
nhiệm,664
thoại,664
tinh,664
tránh,664
gây,664
thúc,664
khu,664
danh,664
tranh,664
người vị vong,664
vật lại,664
ổng,663
thắng,663
cây,663
