Words,Score
de,1000
je,999
est,988
pas,977
le,971
que,968
la,965
vous,961
tu,960
un,959
et,955
il,954
ne,942
les,936
en,934
on,930
ça,930
une,929
ce,925
pour,923
ai,922
des,907
qui,898
mais,897
dans,892
nous,892
elle,891
me,889
bien,889
si,888
du,885
suis,883
non,882
avec,881
tout,880
plus,878
mon,877
te,874
au,873
fait,870
moi,869
oui,866
va,866
était,865
as,865
faire,864
ils,863
sur,862
quoi,859
se,857
comme,857
sais,856
être,848
veux,847
ici,846
ma,845
toi,845
est-ce,845
dit,844
lui,843
votre,842
es,840
pourquoi,840
où,839
là,839
rien,838
cette,837
sont,835
quand,834
peux,834
dire,833
son,833
avez,829
vais,828
alors,828
ton,828
comment,826
par,825
ou,822
chose,822
bon,821
ont,819
merci,819
juste,818
très,818
été,814
aussi,813
avoir,813
vraiment,812
voir,812
même,811
sa,810
oh,810
maintenant,809
tous,809
peut,808
deux,807
ces,807
êtes,805
allez,805
ta,805
autre,804
peu,801
temps,801
quelque,801
fais,801
toujours,800
encore,799
notre,799
mes,797
besoin,797
avait,795
accord,794
faut,793
dois,793
vie,793
peut-être,792
aller,792
fois,790
vu,789
donc,787
sans,787
monde,786
étais,786
parce,785
avant,785
sûr,784
trop,783
parler,782
personne,782
avais,781
père,781
crois,780
après,779
aux,778
dieu,777
ouais,777
ses,777
pense,777
eu,776
aime,776
leur,776
homme,776
viens,775
vrai,775
femme,775
ok,774
doit,774
veut,773
ans,773
mal,771
chez,771
déjà,770
depuis,770
beaucoup,769
vos,769
bonne,768
mort,768
mieux,767
vas,767
mère,766
sera,766
dis,766
fille,766
tes,765
gens,765
quel,763
vois,763
désolé,763
ca,762
voilà,762
avons,761
petit,761
maison,760
soit,759
cela,758
autres,757
toute,757
soir,756
passé,756
prendre,755
jour,755
monsieur,753
nos,753
savoir,753
choses,753
salut,752
cet,752
nom,752
argent,751
bonjour,750
nuit,750
raison,749
moins,749
arrive,748
maman,748
reste,747
moment,747
seul,747
aider,747
air,747
entre,746
papa,746
passe,745
problème,744
ah,743
peur,743
regarde,742
voulez,742
gars,741
trouvé,741
fils,741
attends,740
savez,740
trouver,740
trois,740
assez,740
famille,739
dû,739
eh,739
toutes,739
plaît,739
travail,738
pris,738
pu,738
tête,738
quelle,738
sait,737
sommes,737
appelle,737
quelques,737
faites,736
partir,736
vite,736
arrête,736
seule,736
voiture,735
enfants,735
tuer,734
merde,734
hé,734
pendant,734
idée,734
chance,734
parle,734
part,733
elles,733
jours,733
grand,732
venir,732
ami,732
demain,732
hein,731
tard,731
puis,731
truc,731
passer,731
petite,730
tant,730
combien,730
mec,730
sens,730
pouvez,729
porte,728
sortir,727
super,727
heure,727
contre,727
coup,727
comprends,727
entendu,727
vient,727
allons,726
ensemble,726
nouveau,725
amour,725
importe,725
sang,724
désolée,723
cas,722
sous,722
rester,722
amis,722
prends,722
fini,721
hommes,721
tué,721
question,721
partie,721
histoire,720
aide,720
dernière,720
demande,719
chercher,719
genre,719
seulement,719
police,719
car,719
mois,718
frère,718
laisser,718
aucun,717
mettre,717
eux,717
chaque,716
ville,715
arrivé,715
parlé,715
avez-vous,714
vont,714
longtemps,714
aucune,714
heures,713
bébé,713
place,713
revoir,712
putain,712
compris,712
ni,712
leurs,711
attention,711
donner,711
affaire,710
endroit,710
corps,710
façon,710
donné,710
est-il,710
voici,710
train,710
dont,709
écoute,709
yeux,709
trouve,709
pouvoir,709
type,709
perdu,709
premier,709
première,708
côté,708
point,708
tellement,708
main,708
tiens,707
sois,707
enfant,707
vieux,707
matin,707
venu,706
pardon,706
là-bas,705
suite,705
vers,705
minutes,705
demandé,705
venez,705
devant,705
dr,704
enfin,704
arrêter,704
cause,704
nouvelle,704
attendez,704
chambre,704
droit,703
parti,703
mis,703
eau,703
compte,703
terre,703
belle,703
espère,703
loin,703
as-tu,702
mari,702
donne,702
fin,702
croire,702
mme,702
aura,701
gros,701
boulot,701
plutôt,701
chérie,701
prêt,700
filles,700
bureau,700
mourir,700
hier,699
possible,699
jouer,699
demander,699
celui,699
beau,698
jeune,697
euh,697
dehors,697
docteur,697
a-t-il,697
confiance,697
appeler,697
années,697
vérité,696
école,696
chef,696
femmes,696
propos,696
semaine,695
vivre,695
regardez,694
feu,694
journée,694
madame,693
hey,693
téléphone,693
près,693
affaires,692
meilleur,692
devez,692
dessus,692
mains,692
penses,692
prie,691
équipe,691
vas-y,691
grande,691
manger,691
arriver,691
dur,691
guerre,690
ait,690
appelé,690
marche,690
sécurité,690
garçon,690
essaie,690
important,689
dites,689
exactement,689
font,689
fort,689
presque,689
plein,689
derrière,689
ben,689
mariage,689
parents,689
capitaine,688
dernier,688
fou,688
ceux,688
tomber,687
attendre,687
vue,687
pensé,687
souviens,687
envie,687
fête,686
jeu,686
génial,686
pays,685
garde,685
cours,684
bientôt,684
ii,684
numéro,683
personnes,683
cinq,683
excusez-moi,683
laissé,683
ainsi,683
retour,683
semble,682
autant,682
peine,682
minute,682
essayé,682
plan,682
instant,682
serai,682
prison,682
penser,682
essayer,681
prend,681
arme,681
mot,681
travailler,681
quatre,681
rentrer,680
regarder,680
choix,680
êtes-vous,680
parfois,679
film,679
abord,679
voyez,679
faute,679
facile,678
bas,678
changer,678
entendre,678
plaisir,678
heureux,678
entrer,677
es-tu,677
propre,677
étiez,677
tour,677
fera,677
ensuite,677
garder,677
agent,676
lit,676
travaille,676
adore,676
amie,676
rendre,676
allons-y,676
route,676
lieu,676
année,676
voit,675
commence,675
service,675
devoir,675
attend,675
drôle,674
difficile,674
sûre,674
pire,674
pos,674
peuvent,674
sujet,674
état,674
ceci,673
impossible,673
sorte,673
perdre,673
dollars,673
voulu,673
morte,672
ira,672
bizarre,672
oublié,672
arrêtez,672
ferai,672
tôt,671
inquiète,671
payer,671
coeur,671
dès,671
reviens,671
chien,671
suffit,671
prenez,671
pensez,671
café,671
calme,670
cherche,670
montrer,670
parles,670
photo,670
ferme,670
problèmes,670
the,670
cœur,670
sûrement,670
verre,670
aimes,670
devons,670
veulent,670
doute,670
musique,669
courant,669
sauf,669
moyen,669
nouvelles,669
puis-je,669
avis,669
sauver,669
hôpital,669
meurtre,668
sérieux,668
seconde,668
trucs,668
comprendre,668
esprit,668
cool,668
mlle,668
marché,668
fous,668
laisse-moi,668
haut,668
salle,667
malade,667
changé,667
gentil,667
allé,667
six,667
simple,666
john,666
semaines,666
celle,666
jack,666
appris,666
seigneur,666
dîner,666
sors,666
commencé,666
suppose,666
chemin,665
partout,665
bras,665
cul,665
prochaine,665
visage,664
meilleure,664
face,664
soirée,664
roi,664
surtout,664
retard,664
écrit,663
livre,663
rapport,663
chéri,663
message,663
voulez-vous,663
vaut,663
morts,663
boire,663
soyez,663
président,663
plait,662
bois,662
sinon,662
erreur,662
new,662
ecoute,662
mr,662
rentre,662
rendez-vous,662
revenir,661
joue,661
pauvre,661
devenir,661
rencontrer,661
sort,661
commencer,661
occupe,660
entends,660
souvent,660
pièce,660
reçu,660
grave,660
mets,660
intérieur,660
honneur,660
dormir,660
an,660
faux,660
messieurs,659
groupe,659
rêve,659
carte,659
aviez,659
appel,659
manque,659
envoyé,658
début,658
sam,658
écoutez,658
laissez-moi,658
bonsoir,658
content,658
secret,658
venue,658
cher,657
dis-moi,657
effet,657
voyons,657
sac,657
continue,657
acheter,657
voix,657
certains,657
occuper,657
noël,657
gagner,656
grâce,656
maître,656
prix,656
mauvaise,656
général,656
âge,656
long,656
rue,655
tirer,655
apprendre,655
cheveux,655
noir,655
promis,655
patron,655
avocat,655
force,655
accident,655
dix,655
probablement,654
laissez,654
bout,654
ordre,654
armes,654
cru,654
déteste,654
retrouver,654
incroyable,653
voyage,653
ailleurs,653
oublie,653
