Words,Score
है,1000
।,960
के,934
मैं,923
नहीं,916
हैं,894
में,893
एक,890
आप,880
लिए,870
और,863
यह,862
से,860
की,854
क्या,846
कि,845
तुम,843
हो,838
कर,837
मुझे,829
को,828
हम,820
था,818
वह,814
पर,808
हूँ,802
रहे,795
भी,792
रहा,789
का,787
अपने,783
कुछ,773
तो,772
गया,767
इस,766
मेरे,764
ठीक,764
करने,761
किया,755
साथ,752
उसे,748
हाँ,741
वे,741
सकते,739
लेकिन,739
यहाँ,738
तुम्हें,737
कोई,734
तरह,733
अब,733
पता,731
होगा,729
बहुत,723
बात,722
सकता,722
जाओ,720
ही,717
दिया,716
करना,715
जा,708
मेरी,704
सब,704
बारे,703
लगता,702
कहा,701
जो,697
वहाँ,695
जब,694
इसे,694
अच्छा,691
चाहिए,691
बाहर,690
करो,686
क्यों,686
अपनी,684
थे,684
चलो,683
दो,683
ले,683
किसी,682
फिर,680
काम,680
अगर,679
ये,679
कैसे,678
करते,678
पहले,677
बस,677
चाहते,676
जाएगा,675
आदमी,675
कभी,675
समय,674
वापस,673
हमें,673
रही,672
आ,672
तक,669
हमारे,664
मेरा,663
रूप,662
मैंने,661
करता,659
या,659
अभी,658
मिल,657
चाहता,656
घर,656
उसके,655
सभी,655
उस,654
मत,652
आपको,651
जाना,651
अरे,650
सिर्फ,649
बंद,647
ओह,646
उन्हें,646
सही,645
हूं,645
थी,645
देखो,645
ने,644
तुम्हारे,640
प्यार,638
वो,637
जरूरत,637
लोगों,637
हुआ,637
करें,636
ऐसा,633
उन्होंने,632
दिन,632
न,631
बाद,631
कौन,630
हर,629
पास,629
दे,627
नीचे,625
देखा,624
जाता,623
बार,623
कृपया,622
धन्यवाद,621
पिता,621
करेंगे,621
भगवान,621
क्योंकि,618
लोग,618
वाला,617
जानते,617
देख,615
छोड़,614
आज,614
मतलब,614
कहाँ,614
जीवन,613
आओ,613
जाने,613
अधिक,613
यही,610
होता,610
सर,609
मदद,607
रात,606
माँ,605
लिया,604
केवल,604
तुमने,604
सबसे,602
नाम,602
मार,602
हुए,601
हमेशा,601
याद,601
कारण,601
गए,600
आया,599
जानता,599
शायद,599
साल,598
दूर,598
हे,598
होने,597
फोन,596
भाई,596
वास्तव,595
शुरू,594
उसकी,593
मिला,593
जगह,593
कोशिश,593
कम,592
सच,591
लग,590
शादी,590
पसंद,589
चला,589
इन,589
अच्छी,587
तुम्हारी,587
यहां,586
दोस्त,585
मर,584
कहते,584
होना,584
दुनिया,581
तुम्हारा,581
एम,580
कह,580
इसके,579
रुको,579
तैयार,577
बच्चे,576
उन,576
लो,576
उनके,575
जैसे,572
इतना,570
जल्दी,570
अंदर,568
श्री,567
यदि,567
पिताजी,566
कल,566
ऊपर,566
देंगे,565
आपके,565
हमारी,564
बताओ,564
खुद,564
गई,564
अपना,563
खैर,562
उसने,560
वाले,560
चलते,559
रहो,558
दी,557
मिलता,557
बेहतर,557
कार,556
बकवास,556
पीछे,555
द्वारा,554
मुझसे,554
हाथ,554
विश्वास,553
पूरी,553
ना,552
महिला,552
लड़की,551
आपका,551
देखने,551
तुमसे,550
लगा,550
उसका,550
चल,548
ओर,548
मिनट,547
समझ,547
बिना,545
बता,545
तीन,544
सुनो,544
पैसे,543
