Words,Link,Score
BRUXELLES,1000,1000
BRUSSELS,1000,1000
ANTWERPEN,2000,950
ANTWERP,2000,950
GENT,9000,900
GHENT,9000,900
BELGIQUE,1000,900
BELGIUM,1000,900
BELGIË,1000,900
LIÈGE,4000,880
LIEGE,4000,880
BRUGGE,8000,860
BRUGES,8000,860
CHARLEROI,6000,840
NAMUR,5000,800
LEUVEN,3000,790
MONS,7000,770
FLANDRE,9000,760
WALLONIE,5000,750
FLANDERS,9000,750
AALST,3800,740
WALLONIA,5000,740
MECHELEN,2800,730
HASSELT,3500,720
KORTRIJK,8500,720
OOSTENDE,8400,710
LA LOUVIÈRE,7100,700
TOURNAI,7500,700
BRABANT,3000,700
GENK,3600,690
SINT-NIKLAAS,9100,690
SERAING,4100,660
ROESELARE,8800,650
HAINAUT,7000,650
WATERLOO,1410,640
MOUSCRON,7700,640
VERVIERS,4800,640
ARLON,6700,630
LOUVAIN-LA-NEUVE,1348,580
DINANT,5500,580
ARDENNES,6800,580
HAREN,1130,401
MELDERT,3320,401
CELLES,4317,401
FOREST,1190,235
DEURNE,2100,235
TONGERLO,2260,235
BERCHEM,2600,235
MUIZEN,2812,235
RUISBROEK,1601,235
KAPELLEN,2950,235
HALLE,1500,235
SINT-PIETERS-KAPELLE,1541,235
HAMME,1785,235
MACHELEN,1830,235
BERG,1910,235
HOFSTADE,1981,235
SINT-MARGRIETE-HOUTEM,3300,235
TIELT,3390,235
HEUSDEN,3550,235
KOLMONT,3700,235
NIEUWERKERKEN,3850,235
KALLO,9120,235
OOMBERGEN,9520,235
SINT-MARIA-OUDENHOVE,9620,235
OOIKE,9700,235
RAMSKAPELLE,8301,235
OOSTKERKE,8340,235
ZANDVOORDE,8400,235
SINT-JORIS,8620,235
BEVEREN,8791,235
SAINT-REMY,4672,235
SAINT-LÉGER,6747,235
ARBRE,5170,235
EHEIN,4120,235
LOUVEIGNÉ,4141,235
NOVILLE,4347,235
JENEFFE,4357,235
NEUFCHÂTEAU,4608,235
POLLEUR,4800,235
CLERMONT,4890,235
MONT,5530,235
LONGCHAMPS,5310,235
BELLEFONTAINE,5555,235
PORCHERESSE,5370,235
LAEKEN,1020,1
SCHAERBEEK,1030,1
ETTERBEEK,1040,1
IXELLES,1050,1
SAINT-GILLES,1060,1
