Words,Link,Score
PARIS,75000,1000
PARIS 01,75001,1000
PARIS 08,75008,957
PARIS 02,75002,943
PARIS 07,75007,943
PARIS 04,75004,929
PARIS 06,75006,929
PARIS 03,75003,914
PARIS 05,75005,914
PARIS 09,75009,886
PARIS 16,75016,886
PARIS 18,75018,886
PARIS 10,75010,857
PARIS 11,75011,857
PARIS 17,75017,857
PARIS 15,75015,843
PARIS 12,75012,829
PARIS 13,75013,829
PARIS 14,75014,829
PARIS 19,75019,800
PARIS 20,75020,800
LYON,69000,715
LYON 01,69001,715
GUADELOUPE,97100,700
LYON 02,69002,700
MARTINIQUE,97200,700
MARSEILLE,13000,686
MARSEILLE 01,13001,686
GUYANE,97300,680
SAINT DENIS,97400,680
SAINT-BARTHELEMY,97133,680
LYON 06,69006,672
SAINT-MARTIN,97150,670
GUSTAVIA,97133,660
MAYOTTE,97600,660
NOUVELLE CALEDONIE,98800,660
POLYNESIE FRANCAISE,98700,660
LYON 03,69003,657
LYON 05,69005,657
MARIGOT,97150,650
SAINT-PIERRE,97500,650
LYON 04,69004,643
MARSEILLE 02,13002,643
SAINT PIERRE ET MIQUELON,97500,640
BORDEAUX,33000,629
LYON 07,69007,629
WALLIS ET FUTUNA,98600,620
LYON 08,69008,615
TOULOUSE,31000,615
LYON 09,69009,600
MARSEILLE 03,13003,600
MATA UTU,98600,600
NICE,06000,600
MARSEILLE 04,13004,586
MARSEILLE 06,13006,586
MARSEILLE 08,13008,586
NANTES,44000,586
MARSEILLE 05,13005,572
MARSEILLE 07,13007,572
STRASBOURG,67000,572
LILLE,59000,558
MARSEILLE 09,13009,558
TERRES AUSTRALES,98400,550
BEAURECUEIL,13100,543
LE THOLONET,13100,543
MARSEILLE 10,13010,543
MONTPELLIER,34000,543
ST ANTONIN SUR BAYON,13100,543
ST MARC JAUMEGARDE,13100,543
MARSEILLE 11,13011,529
RENNES,35000,529
ROUBAIX,59100,529
BOULOGNE BILLANCOURT,92100,515
MARSEILLE 12,13012,515
VERSAILLES,78000,515
LAMBERSART,59130,500
MARSEILLE 13,13013,500
REIMS,51100,500
ARCANGUES,64200,486
BASSUSSARRY,64200,486
BIARRITZ,64200,486
GRENOBLE,38000,486
MARSEILLE 14,13014,486
ST ETIENNE,42000,486
ST TROPEZ,83990,486
TOULON,83000,486
ANGERS,49000,472
ANNECY,74000,472
DIJON,21000,472
ECOUFLANT,49000,472
LA ROCHELLE,17000,472
MARSEILLE 15,13015,472
NANTERRE,92000,472
AUCEY LA PLAINE,50170,458
AVIGNON,84000,458
BEAUVOIR,50170,458
CLERMONT FERRAND,63000,458
HUISNES SUR MER,50170,458
LE MONT ST MICHEL,50170,458
LE REVEST LES EAUX,83200,458
MARSEILLE 16,13016,458
METZ,57000,458
NANCY,54000,458
NIMES,30000,458
ORLEANS,45000,458
PONTORSON,50170,458
ROUEN,76000,458
SACEY,50170,458
SERVON,50170,458
TANIS,50170,458
TOURS,37000,458
BREST,29200,443
CAEN,14000,443
LE HAVRE,76600,443
ADE,65100,429
AFFOUX,69170,429
AJACCIO,20000,429
ALBIGNY SUR SAONE,69250,429
ALIX,69380,429
AMBERIEUX,69480,429
AMIENS,80000,429
AMPLEPUIS,69550,429
AMPUIS,69420,429
ANCY,69490,429
ANSE,69480,429
ARCIZAC EZ ANGLES,65100,429
ARNAS,69400,429
ARRAYOU LAHITTE,65100,429
ARRODETS EZ ANGLES,65100,429
ASPIN EN LAVEDAN,65100,429
AVEIZE,69610,429
AZOLETTE,69790,429
BARBERAZ,73000,429
BARLEST,65100,429
BARTRES,65100,429
BELLEVILLE EN BEAUJOLAIS,69220,429
BELMONT D AZERGUES,69380,429
BERBERUST LIAS,65100,429
BERRIAC,11000,429
BESANCON,25000,429
BESSENAY,69690,429
BIBOST,69690,429
BLACE,69460,429
BOURREAC,65100,429
BRIGNAIS,69530,429
BRINDAS,69126,429
BRON,69500,429
BRULLIOLES,69690,429
BRUSSIEU,69690,429
CAILLOUX SUR FONTAINES,69270,429
CALUIRE ET CUIRE,69300,429
CARCASSONNE,11000,429
CENVES,69840,429
CERCIE,69220,429
CHABANIERE,69440,429
CHAMBERY,73000,429
CHAMBOST ALLIERES,69870,429
CHAMBOST LONGESSAIGNE,69770,429
CHAMELET,69620,429
CHAMPAGNE AU MONT D OR,69410,429
CHAPONNAY,69970,429
CHAPONOST,69630,429
CHARBONNIERES LES BAINS,69260,429
CHARENTAY,69220,429
CHARTRES,28000,429
CHASSIEU,69680,429
CHAUSSAN,69440,429
CHAZAY D AZERGUES,69380,429
CHENAS,69840,429
CHENELETTE,69430,429
CHESSY,69380,429
CHEUST,65100,429
CHEVINAY,69210,429
CHIROUBLES,69115,429
CIVRIEUX D AZERGUES,69380,429
CLAVEISOLLES,69870,429
COISE,69590,429
COLLONGES AU MONT D OR,69660,429
COLMAR,68000,429
COLOMBIER SAUGNIEU,69124,429
COMMUNAY,69360,429
CONDRIEU,69420,429
CORBAS,69960,429
CORCELLES EN BEAUJOLAIS,69220,429
COURZIEU,69690,429
COUZON AU MONT D OR,69270,429
CRAPONNE,69290,429
CRETEIL,94000,429
CUBLIZE,69550,429
CURIS AU MONT D OR,69250,429
DARDILLY,69570,429
DECINES CHARPIEU,69150,429
DENICE,69640,429
DEUX GROSNES,69430,429
DIEME,69170,429
DRACE,69220,429
DUERNE,69850,429
ECHALAS,69700,429
ECULLY,69130,429
EMERINGES,69840,429
ESCOUBES POUTS,65100,429
EVEUX,69210,429
FEYZIN,69320,429
FLEURIE,69820,429
FLEURIEU SUR SAONE,69250,429
FLEURIEUX SUR L ARBRESLE,69210,429
FONTAINES ST MARTIN,69270,429
FONTAINES SUR SAONE,69270,429
FRONTENAS,69620,429
GAZOST,65100,429
GENAS,69740,429
GEU,65100,429
GEZ EZ ANGLES,65100,429
GIVORS,69700,429
GLEIZE,69400,429
GRANDRIS,69870,429
GREZIEU LA VARENNE,69290,429
GREZIEU LE MARCHE,69610,429
GRIGNY SUR RHONE,69520,429
HAUTE RIVOIRE,69610,429
IRIGNY,69540,429
JACOB BELLECOMBETTE,73000,429
JARRET,65100,429
JONAGE,69330,429
JONS,69330,429
JOUX,69170,429
JULIENAS,69840,429
JULLIE,69840,429
JULOS,65100,429
JUNCALAS,65100,429
L ARBRESLE,69210,429
LA CHAPELLE SUR COISE,69590,429
LA MULATIERE,69350,429
LA TOUR DE SALVAGNY,69890,429
LACENAS,69640,429
LACHASSAGNE,69480,429
LAMURE SUR AZERGUES,69870,429
LANCIE,69220,429
LANTIGNIE,69430,429
LARAJASSE,69590,429
LE BAN ST MARTIN,57050,429
LE PERREON,69460,429
LEGNY,69620,429
LENTILLY,69210,429
LES ARDILLATS,69430,429
LES CHERES,69380,429
LES HAIES,69420,429
LES HALLES,69610,429
LES SAUVAGES,69170,429
LETRA,69620,429
LEZIGNAN,65100,429
LIMAS,69400,429
