Words;Link;Score
BERLIN;10115;1000
HAMBURG;20038;950
MÜNCHEN;80331;920
MUNICH;80331;920
KÖLN;50667;890
COLOGNE;50667;890
FRANKFURT AM MAIN;60306;870
NORDRHEIN-WESTFALEN;40213;850
BAVARIA;80331;840
STUTTGART;70173;820
DÜSSELDORF;40210;810
LEIPZIG;04103;790
DORTMUND;44135;780
NIEDERSACHSEN;30159;780
ESSEN;45127;775
BREMEN;28195;770
DRESDEN;01067;765
HANNOVER;30159;760
HESSEN;38835;760
NÜRNBERG;90402;750
NUREMBERG;90402;750
SACHSEN;91623;730
DUISBURG;47051;730
SAXONY;01067;720
RHEINLAND-PFALZ;55116;710
BONN;53111;700
BOCHUM;44787;700
WUPPERTAL;42103;695
BIELEFELD;33519;690
SCHLESWIG-HOLSTEIN;24103;690
MÜNSTER;48079;680
STADTVERWALTUNG;09106;674
AMTSGERICHT;06095;672
KARLSRUHE;76006;670
MANNHEIM;68159;665
AUGSBURG;86150;660
WIESBADEN;65183;655
SACHSEN-ANHALT;39104;650
THURINGIA;99084;630
GELSENKIRCHEN;45879;620
MECKLENBURG-VORPOMMERN;19053;620
BRAUNSCHWEIG;38023;610
CHEMNITZ;09111;605
FINANZAMT;15515;603
AACHEN;52062;600
KIEL;24103;600
SAARLAND;66111;600
HALLE;06108;595
MAGDEBURG;39014;590
FREIBURG IM BREISGAU;79098;585
HEIDELBERG;69115;580
KREFELD;47798;570
LÜBECK;23539;565
OBERHAUSEN;46045;560
MAINZ;55116;555
ERFURT;99084;555
ROSTOCK;18055;550
NORTH RHINE-WESTPHALIA;40213;550
KASSEL;34117;545
HAGEN;24576;535
POTSDAM;14461;530
HAMM;54636;525
SAARBRÜCKEN;66111;525
REGENSBURG;93047;520
INGOLSTADT;85049;510
HUK-COBURG;01057;507
WÜRZBURG;97070;500
OKTOBERFEST;80331;500
LOWER SAXONY;30159;500
HEILBRONN;74072;490
ULM;89040;490
GÖTTINGEN;37073;480
TRIER;54290;475
JENA;07743;470
ERLANGEN;91052;465
TÜBINGEN;72070;460
