Words,Link,Score
HUMANES DE MADRID,28970,280
LAS ROZAS DE MADRID,28231,320
MADRID,28000,1000
MADRIDANOS,49157,100
MADRIDEJOS,45710,110
RIVAS-VACIAMADRID,28521,310
VALMADRID,50138,100
BARCELONA,08001,970
MALAGA,29000,620
ALICANTE,03000,540
CORDOBA,14000,420
PALMA,07000,620
IBIZA,07800,650
SAN SEBASTIAN,20000,420
TENERIFE,38000,650
DONOSTIA,20000,131
GRAN CANARIA,35000,550
PAMPLONA,31000,380
CADIZ,11000,115
CANARIAS,35000,700
CATALUNA,08000,700
GIJON,33200,350
ISLAS BALEARES,07000,640
ISLAS CANARIAS,35000,690
LANZAROTE,35500,450
PAIS VASCO,48000,650
BALEARES,07000,650
ANDALUCIA,41000,750
FUERTEVENTURA,35600,420
MENORCA,07700,380
ASTURIAS,33000,580
GALICIA,15000,620
LOGRONO,26000,290
NAVARRA,31000,550
ARAGON,50000,600
AJALVIR,28864,667
ALAMEDA DEL VALLE,28749,667
ALCOBENDAS,28100,667
ALCORCÓN,28921,667
ALDEA DEL FRESNO,28620,667
ALGETE,28110,667
ALPEDRETE,28430,667
AMBITE,28580,667
ANCHUELO,28818,667
ARANJUEZ,28300,667
ARGANDA DEL REY,28500,667
BATRES,28976,667
BECERRIL DE LA SIERRA,28490,667
BELMONTE DE TAJO,28390,667
BERZOSA DEL LOZOYA,28194,667
BOADILLA DEL MONTE,28660,667
BRAOJOS,28737,667
BREA DE TAJO,28596,667
BRUNETE,28690,667
BUITRAGO DEL LOZOYA,28730,667
BUSTARVIEJO,28720,667
CABANILLAS DE LA SIERRA,28721,667
CADALSO DE LOS VIDRIOS,28640,667
CAMPO REAL,28510,667
CANENCIA,28743,667
CARABAÑA,28560,667
CASARRUBUELOS,28977,667
CENICIENTOS,28650,667
CERCEDILLA,28470,667
CERVERA DE BUITRAGO,28193,667
CHAPINERÍA,28694,667
CHINCHÓN,28370,667
CIEMPOZUELOS,28350,667
COBEÑA,28863,667
COLLADO MEDIANO,28450,667
COLLADO VILLALBA,28400,667
COLMENAR DE OREJA,28380,667
COLMENAR DEL ARROYO,28213,667
COLMENAR VIEJO,28120,667
COLMENAREJO,28270,667
CORPA,28811,667
COSLADA,28821,667
CUBAS DE LA SAGRA,28978,667
DAGANZO DE ARRIBA,28814,667
EL ATAZAR,28189,667
EL BERRUECO,28192,667
EL BOALO,28412,667
EL CARDOSO DE LA SIERRA,28190,667
EL ESCORIAL,28211,667
EL MOLAR,28710,667
EL VELLÓN,28722,667
EL ÁLAMO,28607,667
ESTREMERA,28595,667
FRESNEDILLAS DE LA OLIVA,28214,667
FRESNO DE TOROTE,28815,667
FUENTE EL SAZ DE JARAMA,28140,667
FUENTIDUEÑA DE TAJO,28597,667
GALAPAGAR,28250,667
GARGANTA DE LOS MONTES,28739,667
GARGANTILLA DEL LOZOYA Y PINILLA DE BUITRAGO,28739,667
GASCONES,28737,667
GRIÑÓN,28971,667
GUADALIX DE LA SIERRA,28794,667
GUADARRAMA,28440,667
HORCAJO DE LA SIERRA-AOSLOS,28755,667
HORCAJUELO DE LA SIERRA,28191,667
HOYO DE MANZANARES,28240,667
LA ACEBEDA,28755,667
LA CABRERA,28751,667
LA HIRUELA,28191,667
LA SERNA DEL MONTE,28737,667
LOECHES,28890,667
LOS MOLINOS,28460,667
LOS SANTOS DE LA HUMOSA,28817,667
LOZOYA,28742,667
LOZOYUELA-NAVAS-SIETEIGLESIAS,28752,667
MADARCOS,28755,667
MAJADAHONDA,28220,667
MANZANARES EL REAL,28410,667
MECO,28880,667
MEJORADA DEL CAMPO,28840,667
MIRAFLORES DE LA SIERRA,28792,667
MONTEJO DE LA SIERRA,28190,667
MORALEJA DE ENMEDIO,28950,667
MORALZARZAL,28411,667
MORATA DE TAJUÑA,28530,667
NAVACERRADA,28491,667
NAVALAFUENTE,28729,667
NAVALAGAMELLA,28210,667
NAVALCARNERO,28600,667
NAVARREDONDA Y SAN MAMÉS,28739,667
NAVAS DEL REY,28695,667
NUEVO BAZTÁN,28514,667
OLMEDA DE LAS FUENTES,28515,667
ORUSCO DE TAJUÑA,28570,667
PARACUELLOS DE JARAMA,28860,667
PARLA,28981,667
PATONES,28189,667
PEDREZUELA,28723,667
PELAYOS DE LA PRESA,28696,667
PERALES DE TAJUÑA,28540,667
PEZUELA DE LAS TORRES,28812,667
PINILLA DEL VALLE,28749,667
PINTO,28320,667
PIÑUÉCAR-GANDULLAS,28737,667
POZUELO DE ALARCÓN,28024,667
POZUELO DEL REY,28813,667
PRÁDENA DEL RINCÓN,28191,667
PUEBLA DE LA SIERRA,28190,667
PUENTES VIEJAS,28195,667
QUIJORNA,28693,667
RASCAFRÍA,28740,667
REDUEÑA,28721,667
