Words,Link,Score
ZÜRICH,8000,1000
ZURICH,8001,1000
GENÈVE,1200,970
GENEVA,1201,970
BERN,3000,940
BERNE,3000,940
BASEL,4000,900
SUISSE,3000,900
SWITZERLAND,3000,900
SCHWEIZ,3000,900
SVIZZERA,6900,900
LAUSANNE,1001,880
LUZERN,6000,860
LUCERNE,6000,860
LUGANO,6900,840
ST. GALLEN,9000,820
VAUD,1000,780
THUN,3600,760
WINTERTHUR,8400,760
KÖNIZ,3098,740
LA CHAUX-DE-FONDS,2300,740
FRIBOURG,1700,730
SCHAFFHAUSEN,8200,720
TICINO,6500,720
NEUCHÂTEL,2000,710
CHUR,7000,700
MONTREUX,1820,700
ZERMATT,3920,700
DAVOS,7260,700
VALAIS,1950,700
WALLIS,1950,700
SION,1950,690
AARAU,5000,680
INTERLAKEN,3800,680
BELLINZONA,6500,680
LOCARNO,6600,660
GRINDELWALD,3818,650
VEVEY,1800,650
SOLOTHURN,4500,640
MATTERHORN,3920,640
VERBIER,1936,630
GSTAAD,3780,620
SCHWYZ,6430,620
ASCONA,6612,620
JUNGFRAU,3801,620
GRAUBÜNDEN,7000,600
EIGER,3818,590
LAC LÉMAN,1820,580
CHÂTEAU DE CHILLON,1820,580
BADEN,5400,310
BIEL/BIENNE,2500,310
FRAUENFELD,8500,310
ZOFINGEN PF,4807,227
ZUG,6300,227
KRIENS,6010,172
LA CIBOURG,2300,172
OLTEN,4600,172
AQUILA,6719,172
BRUGG AG,5200,101
SINS,5643,101
ZOFINGEN,4800,101
ZOFINGEN POSTFINANCE,4807,101
MURGENTHAL,4853,101
OBEREGG,9413,101
HERISAU,9100,101
REUTE AR,9411,101
LANGENTHAL,4900,101
BURGDORF,3400,101
LYSSACH,3421,101
STEFFISBURG,3612,101
COUSSET,1774,101
FIAUGÈRES,1609,101
PROGENS,1624,101
PORSEL,1699,101
NETSTAL,8754,101
TIEFENCASTEL,7450,101
RIOM,7463,101
RAMOSCH,7556,101
BEVER,7502,101
MADULAIN,7523,101
ZUOZ,7524,101
S. VITTORE,6534,101
VERDABBIO,6538,101
SCHIERS,7220,101
STELS,7226,101
VERSAM,7104,101
SCHNAUS,7130,101
LADIR,7155,101
FLERDEN,7426,101
INNERFERRERA,7445,101
ST-URSANNE,2882,101
EBIKON,6030,101
HOCHDORF,6280,101
HÄMIKON,6289,101
ENTLEBUCH,6160,101
LE LOCLE,2400,101
STANS,6370,101
ENGELBERG,6390,101
GOSSAU SG,9200,101
WITTENBACH,9300,101
RORSCHACH,9400,101
MONTLINGEN,9462,101
BAD RAGAZ,7310,101
WIL SG,9500,101
RICKENBACH B. WIL,9532,101
WOLLERAU,8832,101
LENGWIL,8574,101
BERG TG,8572,101
MEDEGLIA,6809,101
CHIGGIOGNA,6764,101
MURALTO,6600,101
MEZZOVICO,6805,101
TAVERNE,6807,101
CAPOLAGO,6825,101
PONTE CAPRIASCA,6946,101
OGGIO,6955,101
CORTICIASCA,6958,101
PIANDERA PAESE,6959,101
BEDIGLIORA,6981,101
YVERDON-LES-BAINS,1400,101
MAYENS-DE-CHAMOSON,1911,101
FIESCH,3984,101
MÜHLEBACH (GOMS),3995,101
STEINHAUS,3995,101
SAILLON,1913,101
MONTHEY,1870,101
BALTSCHIEDER,3937,101
BAAR,6340,101
WETZIKON ZH,8620,101
URDORF,8901,101
AARAU 1,5001,1
BARMELWEID,5017,1
