Words;Link;Score
Breaking Bad;MacLaren;1000
Um Sonho de Liberdade;Darabont;991
The Shawshank Redemption;Darabont;991
O Cavaleiro das Trevas;Nolan;965
The Dark Knight;Nolan;965
Game of Thrones;Nutter;963
O Poderoso Chefão;Coppola;950
The Godfather;Coppola;950
A Origem;Nolan;918
Inception;Nolan;918
O Senhor dos Anéis;Jackson;913
Clube da Luta;Fincher;913
Fight Club;Fincher;913
Forrest Gump;Zemeckis;909
Pulp Fiction;Tarantino;908
Chernobyl;Renck;903
A Lista de Schindler;Spielberg;900
Schindler's List;Spielberg;900
Interstellar;Nolan;898
The Godfather Part;Coppola;895
Matrix;Wachowski;889
The Matrix;Wachowski;889
Sherlock;McGuigan;871
Band of Brothers;Frankel;870
Sete;Fincher;869
Seven;Fincher;869
Doze Homens e uma Sentença;Lumet;864
12 Angry Men;Lumet;864
O Silêncio dos Inocentes;Demme;858
The Silence of the Lambs;Demme;858
Stranger Things;Duffer;857
Friends;Halvorson;855
GoodFellas;Scorsese;854
O Resgate do Soldado Ryan;Spielberg;854
Saving Private Ryan;Spielberg;854
Django Livre;Tarantino;852
Django Unchained;Tarantino;852
Star Wars;Lucas;851
À Espera de um Milagre;Darabont;851
The Green Mile;Darabont;851
Gladiador;Scott;851
Gladiator;Scott;851
Ataque dos Titãs;Araki;851
Attack on Titan;Araki;851
Better Call Saul;Gilligan;851
Família Soprano;Patten;846
The Sopranos;Patten;846
The Dark Knight Rises;Nolan;844
O Grande Truque;Nolan;840
The Prestige;Nolan;840
Os Infiltrados;Scorsese;838
The Departed;Scorsese;838
Rick and Morty;Archer;837
Terminator 2: Judgment Day;Cameron;836
Bastardos Inglórios;Tarantino;836
Inglourious Basterds;Tarantino;836
Avatar;Seung-hyun;836
Avatar: The Last Airbender;Seung-hyun;836
The Wire;Chappelle;834
The Good, the Bad and the Ugly;Leone;833
De Volta para o Futuro;Zemeckis;833
Back to the Future;Zemeckis;833
Um Estranho no Ninho;Forman;829
One Flew Over the Cuckoo's Nest;Forman;829
Léon;Besson;828
American History;Kaye;824
O Rei Leão;Allers;823
The Lion King;Allers;823
Os Suspeitos;Singer;822
The Usual Suspects;Singer;822
Amnésia;Nolan;821
Memento;Nolan;821
True Detective;Fukunaga;821
Vingadores: Ultimato;Russo;821
Avengers: Endgame;Russo;821
Joker;Phillips;820
Parasita;Ho;818
Parasite;Ho;818
Whiplash;Chazelle;817
Vingadores: Guerra Infinita;Russo;817
Avengers: Infinity War;Russo;817
A Viagem de Chihiro;Miyazaki;816
Spirited Away;Miyazaki;816
WALL·E;Stanton;815
Dexter;Dahl;813
O Lobo de Wall Street;Scorsese;812
The Wolf of Wall Street;Scorsese;812
Alien;Scott;811
Peaky Blinders;Byrne;811
O Iluminado;Kubrick;809
The Shining;Kubrick;809
Gênio Indomável;Sant;809
Good Will Hunting;Sant;809
Batman Begins;Nolan;809
Intocáveis;Nakache;809
The Intouchables;Nakache;809
The Pianist;Polanski;808
Cidade de Deus;Meirelles;808
City of God;Meirelles;808
The Boys;Sgriccia;808
Black Mirror;Haynes;808
Shutter Island;Scorsese;806
A Vida é Bela;Benigni;803
Life Is Beautiful;Benigni;803
Arcane;Charrue;803
Os Caçadores da Arca Perdida;Spielberg;802
Raiders of the Lost Ark;Spielberg;802
American Beauty;Mendes;801
Death Note;Araki;798
Up: Altas Aventuras;Docter;798
Up;Docter;798
Planet Earth;Fothergill;797
Toy Story;Lasseter;795
Brilho Eterno de uma Mente Sem Lembranças;Gondry;795
Eternal Sunshine of the Spotless Mind;Gondry;795
Cães de Aluguel;Tarantino;794
Reservoir Dogs;Tarantino;794
Coração Valente;Gibson;794
Braveheart;Gibson;794
O Show de Truman;Weir;794
The Truman Show;Weir;794
House;Yaitanes;792
Kill Bill;Tarantino;790
Psicose;Hitchcock;789
Psycho;Hitchcock;789
Aspirants;Karki;789
O Mandaloriano;Famuyiwa;788
The Mandalorian;Famuyiwa;788
One Piece;Sakai;786
Scarface;Palma;785
Procurando Nemo;Stanton;785
