Words;Link
ABIDJAN;6 300 000
ABOU DHABI;4 135 985
ABUJA;3 840 000
ACAPULCO;723 507
ACCRA;2 514 000
ADANA;2 237 937
ADÉLAÏDE;1 402 393
ADEN;863 000
AFGHANISTAN;43 356 792
AGADIR;600 000
AJACCIO;73 413
ALANYA;346 244
ALBANIE;2 811 666
ALEP;1 916 000
ALGER;3 415 811
ALGERIE;46 164 219
ALICANTE;337 482
ALLEMAGNE;84 607 016
ALMATY;2 213 500
ALMERIA;197 958
AMMAN;4 061 150
AMSTERDAM;921 402
ANCONE;101 997
ANDORRE;80 856
ANGOLA;36 684 202
ANKARA;5 747 325
ANTALYA;2 619 832
ANVERS;542 374
AQABA;188 160
ARGENTINE;46 654 581
ARKHANGELSK;336 474
ARMENIE;2 777 970
ASHGABAT;1 030 063
ASMARA;963 000
ASSOUAN;489 842
ASTANA;1 453 000
ASTRAKHAN;519 823
ATHENES;3 166 212
ATLANTA;498 715
AUCKLAND;1 695 200
AUSTIN;978 908
AUSTRALIE;26 500 000
AUTRICHE;9 120 813
AVIGNON;93 671
AZERBAIDJAN;10 356 000
BAGDAD;7 682 136
BAHAMAS;403 095
BAHREIN;1 463 265
BAKOU;2 348 432
BALE;180 837
BALI;4 317 404
BALTIMORE;585 708
BAMAKO;2 709 161
BANGALORE;13 193 000
BANGKOK;10 723 000
BANGLADESH;173 562 364
BANJUL;413 397
BARBADE;281 635
BARCELONE;1 602 386
BARI;315 284
BARQUISIMETO;1 334 924
BARRANQUILLA;1 274 250
BASSORAH;1 400 169
BATOUMI;157 200
BEJAIA;177 988
BELEM;1 499 641
BELFAST;345 418
BELGIQUE;11 778 842
BELGRADE;1 688 667
BELIZE;431 000
BENGHAZI;726 679
BERGEN;287 955
BERLIN;3 677 472
BERMUDES;63 903
BERNE;134 794
BEYROUTH;2 424 000
BHOUTAN;777 486
BIARRITZ;24 911
BICHKEK;1 058 849
BIELORUSSIE;9 449 323
BILBAO;345 821
BILLUND;6 982
BIRMANIE;54 577 997
BIRMINGHAM;1 144 900
BIZERTE;130 000
